id,parentId,name,size,realsize,percent
c0,NULL,Total expenditure,572.6,572.6,null
c1,c0,Food and non-alcoholic drinks,60.6,60.6,10.6
c1_1,c1,Food ,55.7,55.7,null
c1_1_1,c1_1,"Bread, rice and cereals",5.5,5.5,null
c1_1_1_1,c1_1_1,Rice,0.4,0.4,null
c1_1_1_2,c1_1_1,Bread,2.6,2.6,null
c1_1_1_3,c1_1_1,Other breads and cereals,2.4,2.4,null
c1_1_2,c1_1,Pasta products,0.4,0.4,null
c1_1_3,c1_1,"Buns, cakes, biscuits etc",3.9,3.9,null
c1_1_3_1,c1_1_3,"Buns, crispbread and biscuits",2.3,2.3,null
c1_1_3_2,c1_1_3,Cakes and puddings,1.6,1.6,null
c1_1_4,c1_1,Pastry (savoury),0.9,0.9,null
c1_1_5,c1_1,"Beef (fresh, chilled or frozen)",2,2,null
c1_1_6,c1_1,"Pork (fresh, chilled or frozen)",0.6,0.6,null
c1_1_7,c1_1,"Lamb (fresh, chilled or frozen)",0.6,0.6,null
c1_1_8,c1_1,"Poultry (fresh, chilled or frozen)",2.3,2.3,null
c1_1_9,c1_1,Bacon and ham,0.9,0.9,null
c1_1_10,c1_1,Other meats and meat preparations,6.4,6.4,null
c1_1_10_1,c1_1_10,Sausages,0.9,0.9,null
c1_1_10_2,c1_1_10,"Offal, pate etc",0.1,0.1,null
c1_1_10_3,c1_1_10,Other preserved or processed meat and meat preparations,5.4,5.4,null
c1_1_10_4,c1_1_10,"Other fresh, chilled or frozen edible meat",0,0,null
c1_1_11,c1_1,Fish and fish products,2.9,2.9,null
c1_1_11_1,c1_1_11,"Fish (fresh, chilled or frozen)",1,1,null
c1_1_11_2,c1_1_11,"Seafood, dried, smoked or salted fish",0.6,0.6,null
c1_1_11_3,c1_1_11,Other preserved or processed fish and seafood,1.3,1.3,null
c1_1_12,c1_1,Milk,2.2,2.2,null
c1_1_12_1,c1_1_12,Whole milk,0.4,0.4,null
c1_1_12_2,c1_1_12,Low fat milk,1.5,1.5,null
c1_1_12_3,c1_1_12,Preserved milk,0.3,0.3,null
c1_1_13,c1_1,Cheese and curd,2,2,null
c1_1_14,c1_1,Eggs,0.7,0.7,null
c1_1_15,c1_1,Other milk products,2.3,2.3,null
c1_1_15_1,c1_1_15,Other milk products,1.2,1.2,null
c1_1_15_2,c1_1_15,Yoghurt,1.2,1.2,null
c1_1_16,c1_1,Butter,0.5,0.5,null
c1_1_17,c1_1,"Margarine, other vegetable fats and peanut butter",0.6,0.6,null
c1_1_18,c1_1,Cooking oils and fats,0.3,0.3,null
c1_1_18_1,c1_1_18,Olive oil,0.2,0.2,null
c1_1_18_2,c1_1_18,Edible oils and other edible animal fats,0.2,0.2,null
c1_1_19,c1_1,Fresh fruit,4,4,null
c1_1_19_1,c1_1_19,Citrus fruits (fresh),0.6,0.6,null
c1_1_19_2,c1_1_19,Bananas (fresh),0.5,0.5,null
