Year ending,Immigration,Immigration IPS Adjustment,Immigration 95% CI,Immigration 60% CI,Immigration 30% CI,Emigration,Emigration 95% CI,Emigration 60%  CI,Emigration 30%  CI,Net Migration,Net Migration IPS Adjustment,Net Migration 95% CI,Net Migration 60% CI,Net Migration 30% CI
,571,,38,16,8,-375,38,16,8,267,,#N/A,#N/A,#N/A
,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A
Dec 2008,590,,39,17,8,-427,41,18,8,229,,#N/A,#N/A,#N/A
,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A
,563,,37,16,7,-397,28,12,6,205,,#N/A,#N/A,#N/A
,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A
Dec 2009,567,,30,13,6,-368,22,9,4,229,,#N/A,#N/A,#N/A
,587,,30,13,6,-365,23,10,5,:,,#N/A,#N/A,#N/A
,582,,30,13,6,-347,21,9,4,244,,#N/A,#N/A,#N/A
,600,,32,14,6,-345,20,9,4,:,,#N/A,#N/A,#N/A
Dec 2010,591,,31,13,6,-339,20,9,4,256,,#N/A,#N/A,#N/A
,578,,30,13,6,-336,18,8,4,:,,#N/A,#N/A,#N/A
,589,,30,13,6,-342,19,8,4,263,,#N/A,#N/A,#N/A
,581,,29,12,6,-339,20,9,4,:,,#N/A,#N/A,#N/A
Dec 2011,566,,28,12,6,-351,22,9,4,205,,#N/A,#N/A,#N/A
,536,,28,12,6,-352,22,9,4,184,,#N/A,#N/A,#N/A
,517,,26,11,5,-349,22,9,4,167,,34,15,7
,497,,26,11,5,-343,22,9,4,154,,34,15,7
Dec 2012,498,,27,12,5,-321,20,9,4,177,,34,15,7
,493,,27,12,5,-318,20,9,4,175,,34,15,7
,502,,29,12,6,-320,19,8,4,182,,34,15,7
,530,,30,13,6,-320,19,8,4,210,,36,15,7
Dec 2013,526,,29,12,6,-317,19,8,4,209,,35,15,7
,552,,31,13,6,-316,20,9,4,236,,37,16,7
,574,,31,13,6,-320,22,9,4,254,,38,16,8
,615,,35,15,7,-323,23,10,5,292,,42,18,8
Dec 2014,632,,36,15,7,-319,22,9,4,313,,43,18,9
,644,,35,15,7,-308,21,9,4,336,,41,18,8
,639,,34,15,7,-303,20,9,4,336,,39,17,8
,619,,32,14,6,-297,19,8,4,322,,37,16,7
Dec 2015,631,,33,14,7,-299,20,9,4,332,,38,16,8
,638,,33,14,7,-311,21,9,4,327,,39,17,8
,652,,34,15,7,-316,21,9,4,336,,40,17,8
,598,632,34,15,7,-325,22,9,4,273,307,41,18,8
Dec 2016,589,611,34,15,7,-340,23,10,5,249,271,41,18,8
Mar 2017p,585,609,35,15,7,-341,23,10,5,243,268,42,18,8
,557,584,34,15,7,-331,23,10,5,226,253,41,18,8
,626,,38,16,8,-352,25,11,5,274,,46,20,9
,631,,39,17,8,-349,26,11,5,282,,47,20,9
Mar 2018p,614,,38,16,8,-344,26,11,5,271,,46,20,9
