year,births_within_marriage,births_outside_marriage
1948,29532,1072
1949,29106,1066
1950,28794,986
1951,28477,895
1952,28760,959
1953,28984,818
1954,28803,827
1955,28965,690
1956,29489,790
1957,30108,731
1958,30301,709
1959,30809,744
1960,31989,815
1961,31915,786
1962,32565,774
1963,33414,879
1964,34345,1015
1965,33890,995
1966,33228,1028
1967,33415,1205
1968,33173,1245
1969,32428,1210
1970,32086,1214
1971,31765,1207
1972,29994,1263
1973,29200,1195
1974,27160,1296
1975,26130,1338
1976,26361,1330
1977,25437,1383
1978,26239,1523
1979,28178,1668
1980,28582,1751
1981,27166,1894
1982,26872,2106
1983,27026,2370
1984,27477,2790
1985,27427,3185
1986,27975,3575
1987,27653,3967
1988,27514,4446
1989,25831,4394
1990,26251,4946
1991,26028,5288
1992,25354,5579
1993,24722,5445
1994,24098,5337
1995,23693,5487
1996,24382,6346
1997,24087,6427
1998,23668,6742
1999,22957,6958
2000,21512,6833
2001,21962,7144
2002,21385,7161
2003,21648,7439
2004,22318,7703
2005,22328,8108
2006,23272,8832
2007,24451,9261
2008,25631,9966
2009,24910,9902
2010,25315,10231
2011,25273,10591
2012,25269,10757
2013,24277,10308
2014,24394,10540
2015,24215,10570
