year,births
1948,775306
1949,730518
1950,697097
1951,677529
1952,673735
1953,684372
1954,673651
1955,667811
1956,700335
1957,723381
1958,740715
1959,748501
1960,785005
1961,811281
1962,838736
1963,854055
1964,875972
1965,862725
1966,849823
1967,832164
1968,819272
1969,797538
1970,784486
1971,783155
1972,725440
1973,675953
1974,639885
1975,603445
1976,584270
1977,569259
1978,596418
1979,638028
1980,656234
1981,634492
1982,625931
1983,629134
1984,636818
1985,656417
1986,661018
1987,681511
1988,693577
1989,687725
1990,706140
1991,699217
1992,689656
1993,673467
1994,664726
1995,648138
1996,649485
1997,643095
1998,635901
1999,621872
2000,604441
2001,594634
2002,596122
2003,621469
2004,639721
2005,645835
2006,669601
2007,690013
2008,708711
2009,706248
2010,723165
2011,723913
2012,729674
2013,698512
2014,695233
2015,697852
2016,696271
