year,percent
1948,9.81
1949,9.84
1950,9.91
1951,9.95
1952,10.05
1953,10.14
1954,10.23
1955,10.22
1956,10.29
1957,10.41
1958,10.44
1959,10.44
1960,10.55
1961,10.62
1962,10.69
1963,10.76
1964,10.93
1965,11.12
1966,11.33
1967,11.58
1968,11.79
1969,11.99
1970,12.18
1971,12.42
1972,12.63
1973,12.85
1974,13.06
1975,13.28
1976,13.45
1977,13.64
1978,13.83
1979,14.01
1980,14.2
1981,14.28
1982,14.24
1983,14.17
1984,14.11
1985,14.39
1986,14.55
1987,14.75
1988,14.9
1989,15.03
1990,15.05
1991,15.16
1992,15.22
1993,15.23
1994,15.23
1995,15.32
1996,15.42
1997,15.52
1998,15.61
1999,15.68
2000,15.79
2001,15.94
2002,16.05
2003,16.15
2004,16.23
2005,16.29
2006,16.32
2007,16.36
2008,16.49
2009,16.64
2010,16.77
2011,16.91
2012,17.42
2013,17.77
2014,18.11
2015,18.3
2016,18.48
2017,18.67
