AREANM,AREACD,time1,time2,time3,time4,time5
Aberdeen City,S12000033,14.91954556,14.99672928,15.61434347,17.2391927,18.75412977
Aberdeenshire,S12000034,13.57881708,15.51895965,19.04577963,21.50980634,24.04789481
Adur,E07000223,22.16742864,21.19859686,23.43860089,24.8341989,28.24197516
Allerdale,E07000026,17.99537931,19.72948246,24.2917346,28.13851294,32.26115966
Amber Valley,E07000032,16.96807812,17.52166378,22.08512923,25.91162141,29.97142348
Angus,S12000041,17.39958102,19.05581273,23.51602896,27.06445561,30.0000839
Antrim and Newtownabbey,N09000001,13.07736643,13.81481318,16.58689611,20.13033387,24.30739663
Ards and North Down,N09000011,13.07736643,16.36561859,20.98356376,25.70886277,30.09620799
Argyll and Bute,S12000035,17.91753027,20.60616172,25.45791792,30.41124115,34.65177563
"Armagh City, Banbridge and Craigavon",N09000002,13.07736643,13.23119993,15.32579756,18.42132474,21.83500641
Arun,E07000224,26.41054669,25.69480931,28.69727893,32.12083095,36.61927173
Ashfield,E07000170,15.953687,16.35448103,19.17012057,22.13317352,25.50052892
Ashford,E07000105,16.36846134,16.09082021,19.31528995,22.26459505,26.08655428
Aylesbury Vale,E07000004,12.60508943,14.19380167,16.74872649,19.6824198,22.98175732
Babergh,E07000200,17.94799252,19.83841394,25.9909629,30.56978645,35.12536284
Barking and Dagenham,E09000002,15.68681046,11.57075592,9.318484137,10.18770332,12.43545411
Barnet,E09000003,14.76138741,13.28048536,14.33697149,16.57888885,19.98678294
Barnsley,E08000016,16.18354846,16.47523205,19.28515206,22.24936273,25.58262001
Barrow-in-Furness,E07000027,16.26543769,17.88271004,21.52911211,24.99634343,28.63557168
Basildon,E07000066,14.72191594,15.36627944,17.17510841,19.02294999,21.38645251
Basingstoke and Deane,E07000084,12.17488068,13.5975956,17.20888413,20.72186115,24.51092923
Bassetlaw,E07000171,16.0668979,17.49683335,21.8351749,25.93322958,29.99179495
Bath and North East Somerset,E06000022,18.40361047,17.64468643,18.8749961,20.95428803,23.08133329
