AREANM,AREACD,time1,time2,time3,time4,time5
Aberdeen City,S12000033,68.01437514,69.93552004,69.0784848,67.60076598,66.92174904
Aberdeenshire,S12000034,64.74670675,65.379193,62.20139978,60.14731537,58.25248671
Adur,E07000223,58.98700365,61.54872285,58.231693,57.29547834,54.79657335
Allerdale,E07000026,62.83402433,62.87193562,59.14772319,56.12191674,52.74149491
Amber Valley,E07000032,63.97337654,64.32120162,61.08558708,58.06112605,54.60806712
Angus,S12000041,63.16057929,62.93824788,59.89227852,56.84309717,54.29513478
Antrim and Newtownabbey,N09000001,62.41079672,65.01520695,62.50877242,60.67803826,57.73364502
Ards and North Down,N09000011,62.41079672,64.61287368,60.28073404,57.18993738,53.90829641
Argyll and Bute,S12000035,62.98461874,62.70047826,59.44354278,55.08571018,51.25988204
"Armagh City, Banbridge and Craigavon",N09000002,62.41079672,64.51656224,62.17618758,60.62488691,58.52178241
Arun,E07000224,56.58255122,58.56740627,55.18654545,52.56037808,49.05899
Ashfield,E07000170,63.75308324,64.61430611,61.90356348,59.69019421,57.03535889
Ashford,E07000105,62.57616739,62.75009602,59.98715975,58.10909718,55.47607876
Aylesbury Vale,E07000004,65.88927132,65.31562941,62.52055674,59.86980731,57.82611542
Babergh,E07000200,62.7398642,61.62159065,57.04860997,53.27885007,49.59252416
Barking and Dagenham,E09000002,60.96312494,63.14278756,63.38644704,63.49738718,63.08378322
Barnet,E09000003,64.79560233,66.08168343,64.22578671,63.54341472,61.82673714
Barnsley,E08000016,63.02732808,64.60128033,62.07284695,60.02742735,57.59584354
Barrow-in-Furness,E07000027,62.71842497,63.34259206,60.94999777,57.62827065,54.69783523
Basildon,E07000066,63.56233407,64.10281691,61.97662782,60.15965515,58.86061516
Basingstoke and Deane,E07000084,66.19362364,66.23281246,62.6669474,60.29221925,57.48661465
Bassetlaw,E07000171,63.98536609,64.08488395,60.33173855,57.12174177,53.8596546
Bath and North East Somerset,E06000022,63.43560574,65.34151471,64.45556099,61.84869937,59.9921999
Bedford,E06000055,64.46989177,64.37884331,61.39736516,59.8129035,57.81166101
Belfast,N09000003,62.41079672,65.8026614,65.45511982,63.44743804,61.68641911
Bexley,E09000004,63.24392792,63.55381819,62.89543715,61.57804982,60.56409025
Birmingham,E08000025,61.56841978,64.10758629,64.27472502,63.39752581,62.34569648
Blaby,E07000129,65.1268064,64.09830621,60.70941337,58.2934552,56.17602228
Blackburn with Darwen,E06000008,61.26117735,63.65819657,62.37864404,61.24743343,59.45177054
Blackpool,E06000009,61.69095198,63.18385682,60.97412153,59.15347842,56.7708493
Blaenau Gwent,W06000019,61.08679796,63.97737038,62.53066143,59.01566867,55.76810229
Bolsover,E07000033,62.68386,64.07444909,62.31233497,59.80436853,56.69420382
Bolton,E08000001,63.06376063,64.29904953,61.44295866,59.97224395,58.11741845
