Figure 8: London continues to see net outflow of residents to other parts of the UK,,,,
"Mid-2019 internal migration rates per 1,000 population (mid-2018)",,,,
,,,,
Code,Area,In rate,Out rate,Net rate
E12000001,North East, 20.67 , 19.49 , 1.19 
E12000002,North West, 19.69 , 18.31 , 1.38 
E12000003,Yorkshire and The Humber, 23.85 , 23.58 , 0.27 
E12000004,East Midlands, 31.98 , 29.47 , 2.51 
E12000005,West Midlands, 23.35 , 23.67 ,-0.32 
E12000006,East, 29.98 , 27.89 , 2.09 
E12000007,London, 28.66 , 39.21 ,-10.55 
E12000008,South East, 30.96 , 29.84 , 1.11 
E12000009,South West, 30.63 , 25.95 , 4.68 
W92000004,Wales, 22.61 , 19.84 , 2.77 
S92000003,Scotland, 8.73 , 6.88 , 1.84 
N92000002,Northern Ireland, 6.08 , 5.49 , 0.59 
,,,,
"Source: Office for National Statistics, National Records of Scotland and Northern Ireland Statistical and Research Agency - Population Estimates",,,,
