year,debt
1948,20.49
1949,20.52
1950,20.65
1951,20.82
1952,21.04
1953,21.24
1954,21.43
1955,21.41
1956,21.55
1957,21.78
1958,21.82
1959,21.81
1960,22.01
1961,22.16
1962,22.28
1963,22.41
1964,22.76
1965,23.17
1966,23.60
1967,24.11
1968,24.54
1969,24.94
1970,25.33
1971,25.85
1972,26.28
1973,26.73
1974,27.18
1975,27.62
1976,27.97
1977,28.34
1978,28.74
1979,29.11
1980,29.48
1981,29.66
1982,29.57
1983,29.42
1984,29.30
1985,29.87
1986,30.20
1987,30.64
1988,30.95
1989,31.24
1990,31.30
1991,31.52
1992,31.64
1993,31.67
1994,31.68
1995,31.88
1996,32.08
1997,32.31
1998,32.50
1999,32.63
2000,32.87
2001,33.17
2002,33.37
2003,33.57
2004,33.73
2005,33.81
2006,33.85
2007,33.89
2008,34.10
2009,34.38
2010,34.62
2011,34.87
2012,35.92
2013,36.61
2014,37.30
2015,37.66
2016,38.02
2017,38.35
