AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7
Hartlepool,E06000001,56.7,56.7,56.3,55.8,57,57.6,57.4
Middlesbrough,E06000002,58,57.7,57.6,57.9,58.8,57.8,58.1
Redcar and Cleveland,E06000003,59.2,58.4,58.7,60.2,59,58.8,58.8
Stockton-on-Tees,E06000004,61.4,60.2,61.4,61.1,61,59.5,56.6
Darlington,E06000005,64.1,64,63.4,62.2,61.8,61.1,60.7
Halton,E06000006,59.4,59.5,58.5,59.4,60,60,59.4
Warrington,E06000007,60.5,60.5,62.2,62.7,65.4,64.1,64.9
Blackburn with Darwen,E06000008,56.6,56.5,57.9,58,58,57.3,57.3
Blackpool,E06000009,54.9,54.4,54.7,55.1,56.3,55.2,54.7
"Kingston upon Hull, City of",E06000010,57.9,58,56.9,56.5,56.3,56.4,56.4
East Riding of Yorkshire,E06000011,64.6,64.8,65.7,65,62.8,61.9,63.7
North East Lincolnshire,E06000012,61.9,61.9,64,62.6,60.8,59.9,60.4
North Lincolnshire,E06000013,61.3,61.8,62.4,60.1,62,59.4,60.4
York,E06000014,62.2,63.4,62.6,65,65.8,66.2,65.3
Derby,E06000015,63.2,61.8,61,60.9,60.8,60.1,60.7
Leicester,E06000016,56.3,57.8,56.9,58.8,59.1,60.4,60.3
Rutland,E06000017,65.7,64.4,65.5,68.9,71.2,68.7,69.8
Nottingham,E06000018,58.5,58.6,58.6,57.3,56.7,57.4,57
"Herefordshire, County of",E06000019,66,66.7,66.7,67,68,67.4,66.4
Telford and Wrekin,E06000020,59.9,60,60.1,59.7,59.4,61.8,60.9
Stoke-on-Trent,E06000021,59.5,59.9,60.8,60.6,60.1,58.7,59.5
Bath and North East Somerset,E06000022,65.4,65.1,66.2,66.4,65,62.5,63.4
"Bristol, City of",E06000023,63.1,62,62.1,62.4,59.8,59,62
North Somerset,E06000024,65.8,65.4,66.1,66.5,66.1,66.2,66.2
South Gloucestershire,E06000025,67.5,67.4,67.6,67.4,65.8,65.4,63.6
Plymouth,E06000026,61.2,60.9,58.5,59.2,59.1,60.6,60.7
Torbay,E06000027,63.5,64.1,62.8,63.2,63.1,62.7,62
Bournemouth,E06000028,63.2,63.5,63.3,62.3,62.6,63.7,63.7
Poole,E06000029,65.2,64.9,64.8,66.2,66.1,64.2,64.7
Swindon,E06000030,64.1,63.5,64.2,64.3,64.1,64.5,64.1
Peterborough,E06000031,61.5,60.4,60.7,61.1,61.7,63.6,62
Luton,E06000032,60,59.3,58.9,60.3,62,61.5,61.3
Southend-on-Sea,E06000033,63.5,64.2,62.4,61.8,61.6,60.7,61.2
Thurrock,E06000034,64,64.2,65.1,65.7,63.9,63.8,62.6
Medway,E06000035,63,61.8,62.6,62.1,61.7,62.1,63.1
Bracknell Forest,E06000036,66.5,66.2,68,68.4,68.4,68.3,67.8
West Berkshire,E06000037,67.9,68.1,68.6,69.7,68.7,66.5,66.3
Reading,E06000038,64.6,64.5,66.4,66.5,66.4,67.1,65.3
Slough,E06000039,61.2,61.1,60.1,60.7,60.2,59.6,59.4
Windsor and Maidenhead,E06000040,67.4,68,68.1,69.1,69.3,69.6,69.5
Wokingham,E06000041,68.4,68.4,70.4,70.4,70.5,69.7,69.8
Milton Keynes,E06000042,61.1,61.4,62.7,62.9,64.1,66.2,64.1
Brighton and Hove,E06000043,63.9,64.6,63.7,63,62.4,61.6,62.2
Portsmouth,E06000044,62.1,63,64.2,62.1,61.5,61.3,60.9
Southampton,E06000045,60.6,61.1,60.1,61.2,60.8,61.9,61.4
Isle of Wight,E06000046,61.4,62.4,63.6,64.1,63.1,62.1,61.5
County Durham,E06000047,59.2,59,58.4,59.4,58,59.1,58.9
Cheshire East,E06000049,65.2,64.2,67.7,67.6,65.4,64.6,66.9
Cheshire West and Chester,E06000050,62.9,64.9,64.2,63.3,65.3,66.2,66.9
Shropshire,E06000051,65.3,64.4,64.3,64.7,64.7,65.4,64.5
Cornwall,E06000052,62.9,63.9,63.6,63.3,64.6,64.2,63
Wiltshire,E06000054,66.4,67.4,68.8,67.3,64.7,65.1,66
Bedford,E06000055,67.7,67.4,67.3,67.4,65.6,63.9,63.2
Central Bedfordshire,E06000056,66,65.7,63.2,64.4,64.6,67.3,66.4
Northumberland,E06000057,62.8,63.1,62.8,62.3,63.9,63.2,65
Bolton,E08000001,61.3,60.4,61.7,61.6,62.4,61.3,62.9
Bury,E08000002,60.9,60.9,61.7,61.4,60.5,58.5,59.8
Manchester,E08000003,55.3,56.6,58.4,56.2,55.6,54.3,56.5
Oldham,E08000004,60.2,62,59.9,60.7,60.1,59.1,60.3
Rochdale,E08000005,59.8,59.4,59.3,59.8,59.2,57.7,57.6
Salford,E08000006,56.8,57.3,57.6,56.4,58.3,58.2,57.9
Stockport,E08000007,65.5,67.4,65.4,65.9,65,63.6,61.7
Tameside,E08000008,57.9,58.2,58.5,58.4,56.3,57.6,58.1
Trafford,E08000009,64.4,64.3,65.5,65.1,62.9,62.7,64
Wigan,E08000010,58.9,59.5,60.9,59.4,59.2,61,60.5
