date,Inflation,Total_pay_growth
2014 JAN,1.8,1.3
2014 FEB,1.6,1.7
2014 MAR,1.5,1.8
2014 APR,1.7,0.6
2014 MAY,1.5,0
2014 JUN,1.8,-0.3
2014 JUL,1.6,0.5
2014 AUG,1.5,0.6
2014 SEP,1.3,0.9
2014 OCT,1.3,1.4
2014 NOV,1.1,1.8
2014 DEC,0.7,2.1
2015 JAN,0.5,2
2015 FEB,0.4,1.9
2015 MAR,0.3,2.4
2015 APR,0.3,2.8
2015 MAY,0.4,3.2
2015 JUN,0.3,2.7
2015 JUL,0.5,3
2015 AUG,0.4,3.1
2015 SEP,0.2,3.1
2015 OCT,0.2,2.5
2015 NOV,0.4,2.1
2015 DEC,0.5,2
2016 JAN,0.6,2.3
2016 FEB,0.6,2.1
2016 MAR,0.8,2.2
2016 APR,0.7,2.2
2016 MAY,0.7,2.4
2016 JUN,0.8,2.6
2016 JUL,0.9,2.5
2016 AUG,1,2.4
2016 SEP,1.3,2.4
2016 OCT,1.3,2.5
2016 NOV,1.5,2.8
2016 DEC,1.8,2.6
2017 JAN,1.9,2.2
2017 FEB,2.3,2.2
2017 MAR,2.3,2.3
2017 APR,2.6,2.1
