id,name,rank1,rank2,rank3,rank4,rank5,trade_val1,trade_val2,trade_val3,trade_val4,trade_val5,eu_row_split
c0,Total,United States,Germany,France,Netherlands,Irish Republic,51461,37135,24248,22043,20309,0.48
c1,Food & live animals,Irish Republic,France,Netherlands,Germany,United States,3667,1693,1188,1064,787,0.7
c1_1,Live animals,Irish Republic,France,Hong Kong,United Arab Emirates,Japan,240,61,33,22,22,0.67
c1_2,Meat & meat preparations,Irish Republic,France,Netherlands,Germany,Hong Kong,499,302,178,161,149,0.8
c1_3,Dairy products & eggs,Irish Republic,Netherlands,France,China,Belgium,573,203,156,113,106,0.74
c1_4,Fish & shellfish,France,United States,Spain,Irish Republic,China,533,285,219,171,136,0.69
c1_5,Cereals,Irish Republic,France,Netherlands,United States,Belgium,668,152,147,132,109,0.68
c1_6,Animal feeding stuffs,Irish Republic,Germany,Netherlands,France,Philippines,254,118,91,73,69,0.53
c1_7,Vegetables & fruit,Irish Republic,Netherlands,France,Germany,Egypt,411,143,115,78,62,0.77
c1_8,Sugar,Irish Republic,Netherlands,Germany,Italy,United States,129,37,31,23,22,0.75
c1_9,"Coffee, tea, cocoa etc",Irish Republic,France,Germany,Netherlands,Belgium,375,140,130,119,55,0.71
c1_10,Miscellaneous foods,Irish Republic,Germany,Netherlands,France,United States,347,286,160,140,107,0.66
c2,Beverages & tobacco,United States,France,Irish Republic,Singapore,Spain,1772,670,399,373,362,0.37
c2_1,Beverages,United States,France,Irish Republic,Singapore,Spain,1772,668,399,362,358,0.37
c2_2,Tobacco,South Korea,Poland,Russia,Turkey,Singapore,21,21,20,15,11,0.32
c3,Crude materials,China,Turkey,India,United States,Germany,1300,771,570,557,526,0.34
c3_1,Wood & cork,Irish Republic,India,Belgium,Germany,Taiwan,88,14,6,5,4,0.83
c3_2,Pulp & waste paper,China,Netherlands,India,Indonesia,Vietnam,400,56,53,41,41,0.18
c3_3,Textile fibres,Ghana,China,Pakistan,Poland,Italy,92,79,71,52,50,0.37
c3_4,Metal ores & scrap,Turkey,China,United States,India,Germany,730,696,461,438,296,0.25
c3_5,"Hides, skins & furskins",China,Italy,Irish Republic,Thailand,Netherlands,74,74,12,8,6,0.53
c3_6,Oil-seeds & oleaginous fruits,Germany,Sweden,Irish Republic,France,Belgium,28,19,11,9,6,0.98
c3_7,Crude rubber,Belgium,India,Germany,Singapore,Netherlands,116,30,25,25,24,0.62
c3_8,Crude minerals & fertilisers,Germany,Irish Republic,United States,Netherlands,France,67,59,38,28,27,0.61
c3_9,Other crude animal & vegetable materials,Irish Republic,Netherlands,Germany,France,United States,85,54,43,35,26,0.76
c4,Animal & vegetable oils & fats,Netherlands,Irish Republic,Belgium,France,Germany,173,95,65,46,41,0.83
c4_1,Animal oils & fats,Netherlands,Irish Republic,France,Belgium,United States,90,19,15,13,10,0.84
c4_2,Vegetable oils & fats,Irish Republic,Netherlands,Belgium,Germany,France,65,50,32,22,14,0.83
c4_3,Processed oils & fats,Netherlands,Norway,Belgium,France,Germany,33,21,20,17,12,0.8
c5,Fuels,Netherlands,China,United States,Belgium,Germany,7991,3235,2881,2829,2115,0.61
c5_1,Crude oil,Netherlands,China,South Korea,Germany,France,4979,2981,2106,1916,933,0.61
c5_2,Refined oil,United States,Netherlands,Belgium,Irish Republic,Nigeria,2548,2481,1443,989,453,0.53
c5_3,"Coal, coke & briquettes",Irish Republic,Spain,Norway,Belgium,France,35,9,9,7,6,0.86
c5_4,Gas,Belgium,Netherlands,Irish Republic,Morocco,France,1373,522,331,214,153,0.87
c5_5,Electricity,France,Irish Republic,Netherlands,Data surpressed5,Data surpressed5,112,54,9,0,0,1
c6,Chemicals,United States,Germany,Netherlands,France,Irish Republic,10829,7951,4181,3506,3447,0.54
c6_1,Organic chemicals,United States,Netherlands,Germany,Belgium,France,1904,1071,1026,962,405,0.55
c6_2,Inorganic chemicals,United States,France,Spain,Germany,South Korea,273,232,228,180,97,0.62
c6_3,"Dyeing, tanning & colouring materials",Germany,Netherlands,France,United States,Italy,283,166,164,154,153,0.61
c6_4,Medicinal & pharmaceutical products,United States,Germany,Netherlands,Irish Republic,France,6773,4041,1914,1335,1286,0.47
c6_5,Toilet & cleansing preparations,Irish Republic,Germany,United States,Belgium,France,952,679,497,467,452,0.64
c6_6,Plastics in primary forms,Germany,Belgium,France,United States,Netherlands,576,383,308,246,230,0.68
c6_7,Plastics in non-primary forms,Germany,United States,France,Irish Republic,Netherlands,412,325,280,245,159,0.63
c6_8,Processed fertilisers,Brazil,Irish Republic,United States,China,France,71,50,23,17,17,0.51
c6_9,Other chemicals,Germany,United States,France,Irish Republic,Netherlands,744,634,362,310,265,0.52
c7,Material manufactures,Germany,United States,Irish Republic,France,Belgium,4030,3365,2578,2224,2146,0.56
c7_1,Leather manufactures,United States,Germany,Italy,Hong Kong,Poland,79,46,33,31,14,0.49
