"Figure 1. Long-Term International Migration, UK, year ending September 2008 to year ending September 2018 ",,,,,,,,,,,,
"UK, 2008 to 2018",,,,,,,,,,,,
Units:,Thousands,,,,,,,,,,,
Year Ending,Immigration,Immigration 95% CI,Immigration 60% CI,Immigration 30% CI,Emigration ,Emigration 95% CI,Emigration 60% CI,Emigration 30% CI,Net migration ,Net Migration 95% CI,Net Migration 60% CI,Net Migration 30% CI
,,,,,,,,,,,,
Dec-08,590,39,17,8,427,41,18,8,229,,,
,,,,,,,,,,,,
,563,37,16,7,397,28,12,6,205,,,
Sep-09,,,,,,,,,,,,
,567,30,13,6,368,22,9,4,229,,,
,587,30,13,6,365,23,10,5,,,,
,582,30,13,6,347,21,9,4,244,,,
Sep-10,600,32,14,6,345,20,9,4,,,,
,591,31,13,6,339,20,9,4,256,,,
,578,30,13,6,336,18,8,4,,,,
,589,30,13,6,342,19,8,4,263,,,
Sep-11,581,29,12,6,339,20,9,4,,,,
,566,28,12,6,351,22,9,4,205,,,
,536,28,12,6,352,22,9,4,184,35,15,7
,517,26,11,5,349,22,9,4,167,34,15,7
Sep-12,497,26,11,5,343,22,9,4,154,34,15,7
,498,27,12,5,321,20,9,4,177,34,15,7
,493,27,12,5,318,20,9,4,175,34,15,7
,502,29,12,6,320,19,8,4,182,34,15,7
Sep-13,530,30,13,6,320,19,8,4,210,36,15,7
,526,29,12,6,317,19,8,4,209,35,15,7
,552,31,13,6,316,20,9,4,236,37,16,7
,574,31,13,6,320,22,9,4,254,38,16,8
Sep-14,615,35,15,7,323,23,10,5,292,42,18,8
,632,36,15,7,319,22,9,4,313,43,18,9
,644,35,15,7,308,21,9,4,336,41,18,8
,639,34,15,7,303,20,9,4,336,39,17,8
Sep-15,619,32,14,6,297,19,8,4,322,37,16,7
,631,33,14,7,299,20,9,4,332,38,16,8
,638,33,14,7,311,21,9,4,327,39,17,8
,652,34,15,7,316,21,9,4,336,40,17,8
Sep-16,631,,,,325,22,9,4,306,,,
,622,,,,340,23,10,5,281,,,
,617,,,,341,23,10,5,276,,,
,599,,,,340,23,10,5,259,,,
Sep-17,640,39,17,8,363,25,11,5,277,47,20,9
,644,40,17,8,360,26,11,5,285,48,21,10
,621,40,17,8,354,26,11,5,266,48,21,10
,625,41,18,8,351,28,12,6,273,49,21,10
Sep-18,627,42,18,8,345,31,13,6,283,52,22,10
