topic,topic_text,topic_code,color,measure,change1,change3,measure_code,graphic,url,link_to,period,two_series,markers,data_start,text,tickNo,centreline,margin_t,margin_r,margin_b,margin_l,svg,ymin,ymax,rolling
"<h2><a name=""section1""></a>Personal Well-being</h2>","<p>Includes individual&#39;s feelings of satisfaction with life, whether they feel the things they do in their life are worthwhile and their positive and negative emotions.</p>",perwel,#365e94,Life Satisfaction,,up,lifsat,line,none,https://www.ons.gov.uk/releases/personalwellbeingintheukjanuarytodecember2017,quarters,no,no,"2012, 01, 01","<p class=""blurb"">In the year ending December 2017, 3 in 10 people aged 16 and over in the UK (30.1%) reported a very high rating of satisfaction with their lives overall (9 and 10 out of 10). While there was no change over the short term (29.6% in the year ending December 2016) there was an improvement over the long-term (26.2% in the year ending December 2012).  </p><p class= ""updatedDate"">Updated: 17 May 2018</p>",1,yes,30,20,35,30,none,25,45,none
,,perwel,#365e94,Worthwhile,,up,worthw,line,none,https://www.ons.gov.uk/releases/personalwellbeingintheukjanuarytodecember2017,quarters,no,no,"2012, 01, 01","<p class=""blurb"">In the year ending December 2017, 35.7% of people in the UK aged 16 and over reported a very high rating that the things they do were worthwhile (9 and 10 out of 10). This was an improvement for both the short-term (34.9% in the year ending December 2016) and the long-term (31.5% in the year ending December 2012).  </p><p class= ""updatedDate"">Updated: 17 May 2018</p>",1,yes,30,20,35,30,none,25,45,none
,,perwel,#365e94,Happiness,,up,happin,line,none,https://www.ons.gov.uk/releases/personalwellbeingintheukjanuarytodecember2017,quarters,no,no,"2012, 01, 01","<p class=""blurb"">In the year ending December 2017, 35.1% of people aged 16 and over in the UK reported their happiness yesterday as very high (9 and 10 out of 10). While there was no overall change on the previous year (34.6% in the year ending December 2016) there was an improvement over the long-term (31.5% in the year ending December 2012).  </p>  <p class= ""updatedDate"">Updated: 17 May 2018</p>",1,yes,30,20,35,30,none,25,45,none
,,perwel,#365e94,Anxiety,,up,anxiou,line,none,https://www.ons.gov.uk/releases/personalwellbeingintheukjanuarytodecember2017,quarters,no,no,"2012, 01, 01","<p class=""blurb"">In the year ending December 2017, 40.2% of people aged 16 and over in the UK rated their anxiety as very low. While there was no overall change on the previous year (40.3% in the year ending December 2016) there was an improvement over the long-term (38.1% in the year ending December 2012).  </p><p class= ""updatedDate"">Updated: 17 May 2018</p>",1,yes,30,20,35,30,none,25,45,none
,,perwel,#365e94,Mental well-being,,no,mental,vbar,vbar,https://www.understandingsociety.ac.uk,other,no,no,"2008, 01, 00","<p class=""blurb"">In 2015 to 2016, the average rating of positive mental well-being for people aged 16 and over in the UK was 25.2 out of 35. While there was an improvement over the short-term (24.6 out of 35 in 2012 to 2013), there was no overall change over the long-term (25.2 out of 35 in 2009 to 2010).</p><p class= ""updatedDate"">Updated: 25 April 2018</p>",1,no,30,20,25,30,none,0,35,none
"<h2><a name=""section2""></a>Our Relationships</h2>",<p>Positive relationships have one of the biggest impacts on our quality of life and happiness. This domain includes satisfaction with personal relationships and feelings of loneliness.</p>,relati,#ce3f6d,Unhappy relationships,,up,unhapp,vbar,vbar,https://www.understandingsociety.ac.uk,other,no,yes,"2008, 01, 01","<p class=""blurb"">The proportion of people in the UK aged 16 and over who reported that they were fairly or extremely unhappy with their relationship in 2015 to 2016 was 3.6%. This was an improvement for both the short-term (8.3% in 2013 to 2014) and the long-term (4.3% in 2009 to 2010).</p><p class= ""updatedDate"">Updated: 25 April 2018</p>",2,no,30,20,25,30,none,auto,10,none
,,relati,#ce3f6d,Loneliness,,no,lonely,vbar,vbar,https://www.gov.uk/government/collections/community-life-survey--2,other,no,yes,"2007, 07, 01","<p class=""blurb"">The proportion of people aged 16 and over in England who reported feelings of loneliness often or always was 5.4% in the year ending March 2017. There was no overall change over the short-term (5.1% in the year ending March 2016), or over the long-term (5.1% in the year ending March 2014).  </p><p class= ""updatedDate"">Updated: 10 October 2017</p>",2,no,30,20,25,30,none,auto,10,none
,,relati,#ce3f6d,People to rely on,,down,relyon,vbar,vbar,https://www.understandingsociety.ac.uk,other,no,no,"2008, 01, 01","<p class=""blurb"">In 2013 to 2014, 84.0% of people in the UK aged 16 and over reported having someone to rely on if they had a serious problem. This has fallen over the long-term with 86.1% reporting they had someone to rely on in 2010 to 2011.</p><p class= ""updatedDate"">Updated: 6 April 2017</p>",1,no,30,20,25,30,none,auto,100,none
"<h2><a name=""section3""></a>Health</h2>",<p>An individual&#39;s health is recognised as an important component of their well-being. This domain contains both subjective and objective measures of physical and mental health.</p>,health,#6E4A75,Healthy life expectancy,,m_up_f_nochange,lifexp,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandlifeexpectancies,years,yes,no,"2007, 07, 01","<p class=""blurb"">The healthy life expectancy at birth for males and females in the UK in 2014 to 2016 was 63.1 and 63.7 years respectively. This represented no overall change since 2011 to 2013 for both males (62.9) and females (63.7). There was an improvement since 2009 to 2011 for males (62.7) and no overall change for females (63.9).</p> <p class= ""updatedDate"">Updated: 25 April 2018</p>",1,yes,30,20,35,30,none,60,65,none
,,health,#6E4A75,Disability,,null,disabi,line,none,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/datasets/labourmarketstatusofdisabledpeoplea08,quarters,no,no,"2000, 01, 01","<p class=""blurb"">17.4% of people aged between 16 and 64 reported they had an illness or disability in April to June 2017, the same proportion as the same period in the previous year. This change has not been assessed. </p> <p class= ""updatedDate"">Updated: 10 October 2017</p>",1,yes,30,20,35,30,none,16,18,none
