AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8
Hartlepool,E06000001,7.449078683,7.314462688,7.371752487,7.551676893,7.608212515,8.022048634,7.671587978,8.381644433
Middlesbrough,E06000002,8.046469724,7.161899889,7.188224515,7.756868839,8.923258452,8.857577912,8.821931502,8.617080517
Redcar and Cleveland,E06000003,8.683358336,7.544778453,7.985063742,9.012539148,8.924787241,8.375266695,9.894529314,10.68686301
Stockton-on-Tees,E06000004,8.742330484,8.220304625,8.979358749,9.086389662,9.900382874,9.312130191,8.149039647,8.1804941
Darlington,E06000005,10.27951137,10.33531927,10.70516999,10.82759373,10.51926963,10.04981926,9.208137461,8.902153001
Halton,E06000006,8.419058202,8.300710623,7.934511909,7.838693687,7.931062023,8.35293931,8.795188526,8.092794895
Warrington,E06000007,8.682193851,8.752443964,9.118777244,10.98125382,11.36225049,11.52739972,11.49777042,11.57261426
Blackburn with Darwen,E06000008,7.535904658,7.547767792,8.804907494,8.155334939,8.109876654,7.331936998,7.833985976,7.956902583
Blackpool,E06000009,6.788394137,7.150809906,7.208873277,7.641656487,7.391826464,7.794485678,8.157170642,8.150835998
"Kingston upon Hull, City of",E06000010,7.569498231,7.471449949,6.788506472,7.607783719,6.624453079,7.328106238,7.449832055,8.390202685
East Riding of Yorkshire,E06000011,10.60930182,10.65621713,11.30027439,10.80008279,8.922224024,9.389584754,10.28274014,10.23244002
North East Lincolnshire,E06000012,9.967530891,10.39519452,11.77034758,11.60084421,10.55941525,10.56667834,10.81104295,10.63079427
North Lincolnshire,E06000013,8.617197213,8.237376591,8.590921307,7.762098884,9.02445988,7.814282986,8.813900242,9.734576486
York,E06000014,9.21890939,9.965753179,10.12621516,11.5328451,11.28302787,11.61679284,11.31049409,11.02819106
Derby,E06000015,10.55041677,9.898716452,9.368853218,8.662884554,9.174318162,9.072132875,9.819626159,10.04338562
Leicester,E06000016,7.242586871,7.955611137,7.662588356,8.898238465,8.526135985,8.53114131,8.355828786,7.570235501
Rutland,E06000017,9.604280096,8.667059072,8.525698192,11.9594763,13.22280092,12.15181226,12.32564642,12.76926465
Nottingham,E06000018,8.530246687,7.772574212,7.501136599,7.182999654,6.878962034,7.405695269,7.271323765,7.498995958
"Herefordshire, County of",E06000019,11.15839173,11.55511104,10.92959537,11.41239049,12.28381796,11.86996162,11.09521853,10.89660308
Telford and Wrekin,E06000020,9.817894971,10.13051088,10.13512975,9.460300461,8.510159617,8.295159015,9.867855739,10.254229
Stoke-on-Trent,E06000021,8.828168346,9.298831662,9.834989053,9.122325809,9.516987651,9.479591879,10.29521756,8.360717855
Bath and North East Somerset,E06000022,10.98303442,11.01602327,12.02945255,11.95955759,12.05528483,10.05360763,9.760794951,11.86944674
"Bristol, City of",E06000023,8.890808941,7.999787267,8.428305701,8.833220247,9.343661266,8.337964992,9.373193528,9.173924012
North Somerset,E06000024,11.53487903,11.62767704,11.37204403,11.66063027,11.8007806,12.40657403,11.39851092,11.79544857
South Gloucestershire,E06000025,11.12085387,11.10530543,11.47773527,12.02012532,11.30986328,11.16445874,9.774119987,12.55848362
Plymouth,E06000026,10.14945511,10.07484256,9.139203462,8.40644547,8.45875259,9.397228269,11.34847817,11.23781225
Torbay,E06000027,10.69141231,11.11849188,10.46612781,10.90068729,11.08788555,10.69636422,10.71010976,11.07251375
Bournemouth,E06000028,10.23718282,10.90304833,11.14178204,10.2073648,10.12721573,null,null,null
Poole,E06000029,11.07660607,10.98700409,10.4465775,11.88828519,11.78095116,null,null,null
