AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8
Hartlepool,E06000001,59.1348983,57.84895534,56.80775112,57.07553318,55.11763541,57.38159492,57.02200763,57.3393828
Middlesbrough,E06000002,59.16066729,59.19220328,59.32415002,61.06140549,59.74162446,58.72067841,57.58783984,58.46186978
Redcar and Cleveland,E06000003,60.43377294,60.20608842,59.49597321,60.27044668,61.43300712,60.47124658,61.43103636,60.29397428
Stockton-on-Tees,E06000004,61.99639267,61.02133373,62.49700919,61.93380832,62.3058999,62.24884416,60.8594411,59.4701473
Darlington,E06000005,62.54400142,63.11400341,62.9128722,61.74494114,61.41533871,63.43209583,64.25904092,63.252702
Halton,E06000006,60.03929696,60.27891597,60.04466138,59.81323314,59.55983213,59.62326659,57.69994675,57.47605146
Warrington,E06000007,60.99130203,61.67421725,61.80075611,62.51159027,63.85073028,63.43933513,63.97009581,64.00827306
Blackburn with Darwen,E06000008,59.47401569,59.73110088,58.95448521,59.68243626,59.99918547,59.95918835,58.61932861,58.59685343
Blackpool,E06000009,57.35423169,58.40614837,58.09817286,58.62134267,58.66579698,57.63906917,57.79270253,57.14646379
"Kingston upon Hull, City of",E06000010,56.76001561,55.32402152,56.06761442,55.02892321,55.38731239,56.01792441,56.93674413,56.5943299
East Riding of Yorkshire,E06000011,66.64082229,65.3062999,65.98137475,65.60905964,65.58881019,65.3787237,63.12333528,65.40097031
North East Lincolnshire,E06000012,63.20762239,62.99415056,62.13757335,60.11843567,57.95224897,57.49224729,60.09816219,60.99977646
North Lincolnshire,E06000013,61.63388707,63.19624413,62.48854288,64.69397029,64.27057796,63.02266723,61.18309812,59.00404985
York,E06000014,66.54780153,67.40296274,66.97711329,66.12601882,65.62484156,65.85186398,64.66000518,65.25272126
Derby,E06000015,61.60973446,59.92566797,58.71054896,58.89240534,59.56252822,58.4262067,60.15423703,60.63458817
Leicester,E06000016,57.72637238,57.07403698,57.66849477,56.96017721,59.94367618,59.33668863,59.24097996,57.68207426
Rutland,E06000017,71.01009371,70.95400161,70.78981744,68.84690809,70.56923892,70.24924884,68.4162277,66.41763431
Nottingham,E06000018,59.54827828,58.8842877,59.82321777,58.60501194,57.25964129,55.14781439,53.48658884,54.2170195
"Herefordshire, County of",E06000019,68.26244864,68.61716895,67.07899329,66.39732073,68.16975018,66.46972733,67.48992568,67.42929888
Telford and Wrekin,E06000020,58.93136121,58.35888569,57.32564322,57.94823895,58.39727559,60.60541441,62.40606936,62.44781741
Stoke-on-Trent,E06000021,59.17045819,58.72937018,59.08826178,58.94748395,59.54122128,58.12132277,58.72587444,55.83468454
