name,group,Region,quadrant,jobdensity,imd
Carlton in Lindrick BUA,Small,East Midlands,Most Deprived Residential,0.357,0.22
Dorchester (West Dorset) BUA,Small,South West,Mid Deprived Working,1.778,0.58
Ely BUA,Small,East of England,Least Deprived Working,0.898,0.76
Market Weighton BUA,Small,Yorkshire and The Humber,Least Deprived Residential,0.492,0.74
Downham Market BUA,Small,East of England,Mid Deprived Residential,0.548,0.4
Penrith BUA,Small,North West,Least Deprived Working,1.184,0.66
Bolsover BUA,Small,East Midlands,Most Deprived Residential,0.319,0.16
March BUA,Medium,East of England,Most Deprived Residential,0.377,0.29
Southam BUA,Small,West Midlands,Least Deprived Working,0.860,0.72
Royston BUA,Small,East of England,Least Deprived Working,0.714,0.87
Studley BUA,Small,West Midlands,Mid Deprived Working,0.763,0.54
Irthlingborough BUA,Small,East Midlands,Mid Deprived Residential,0.408,0.44
Freshwater BUA,Small,South East,Most Deprived Working,0.762,0.3
Barnoldswick BUA,Small,North West,Mid Deprived Mixed,0.577,0.5
Wirksworth BUA,Small,East Midlands,Mid Deprived Residential,0.467,0.59
Dalton-in-Furness BUA,Small,North West,Mid Deprived Working,0.292,0.52
Bedlington BUA,Small,North East,Most Deprived Residential,0.307,0.21
Brigg BUA,Small,Yorkshire and The Humber,Most Deprived Working,0.952,0.26
Widnes BUA,Medium,North West,Most Deprived Mixed,0.686,0.18
Hethersett BUA,Small,East of England,Least Deprived Residential,0.419,0.85
Coningsby Airfield BUA,Small,East Midlands,Mid Deprived Mixed,0.560,0.45
Amble BUA,Small,North East,Most Deprived Residential,0.375,0.18
Skelton (Redcar and Cleveland) BUA,Small,North East,Most Deprived Working,0.305,0.12
Seaford BUA,Medium,South East,Mid Deprived Residential,0.383,0.59
Ryhill BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.128,0.1
Budleigh Salterton BUA,Small,South West,Least Deprived Residential,0.430,0.75
Great Dunmow BUA,Small,East of England,Least Deprived Working,0.761,0.69
Wideopen BUA,Small,North East,Mid Deprived Residential,0.436,0.45
Frodsham BUA,Small,North West,Least Deprived Residential,0.477,0.63
Rothwell BUA,Small,East Midlands,Most Deprived Residential,0.360,0.33
Chard BUA,Small,South West,Most Deprived Working,0.708,0.31
Hook (Hart) BUA,Small,South East,Least Deprived Working,1.107,0.97
Rainworth BUA,Small,East Midlands,Most Deprived Mixed,0.255,0.35
Beverley BUA,Medium,Yorkshire and The Humber,Least Deprived Working,0.908,0.6
Haverhill BUA,Medium,East of England,Mid Deprived Residential,0.553,0.49
St Leonards BUA,Small,South West,Least Deprived Residential,0.501,0.97
Upton (Wakefield) BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.122,0.18
Wincanton BUA,Small,South West,Mid Deprived Working,0.772,0.47
Chinnor BUA,Small,South East,Least Deprived Residential,0.327,0.96
Thurcroft BUA,Small,Yorkshire and The Humber,Mid Deprived Working,0.276,0.05
Exmouth BUA,Medium,South West,Mid Deprived Residential,0.463,0.53
Bolton-le-Sands BUA,Small,North West,Least Deprived Residential,0.486,0.91
Crediton BUA,Small,South West,Mid Deprived Mixed,0.690,0.5
Henley-on-Thames BUA,Small,South East,Least Deprived Working,1.154,0.88
Snodland BUA,Small,South East,Most Deprived Residential,0.439,0.35
Meltham BUA,Small,Yorkshire and The Humber,Mid Deprived Residential,0.385,0.55
Minehead BUA,Small,South West,Mid Deprived Working,0.838,0.41
Daventry BUA,Medium,East Midlands,Most Deprived Working,0.924,0.35
Keyworth BUA,Small,East Midlands,Least Deprived Residential,0.465,0.87
Deal BUA,Medium,South East,Most Deprived Working,0.292,0.3
Hythe BUA,Medium,South East,Least Deprived Residential,0.334,0.64
Ibstock BUA,Small,East Midlands,Mid Deprived Residential,0.343,0.5
Market Deeping BUA,Small,East Midlands,Least Deprived Residential,0.544,0.71
Horncastle BUA,Small,East Midlands,Most Deprived Working,0.779,0.36
Glastonbury BUA,Small,South West,Most Deprived Mixed,0.676,0.17
Witham BUA,Medium,East of England,Most Deprived Working,0.846,0.31
Holmes Chapel BUA,Small,North West,Least Deprived Mixed,0.680,0.96
Whaley Bridge BUA,Small,East Midlands,Least Deprived Residential,0.543,0.82
Gerrards Cross BUA,Medium,South East,Least Deprived Working,1.005,0.97
Ulverston BUA,Small,North West,Mid Deprived Working,0.861,0.54
Chapeltown BUA,Medium,Yorkshire and The Humber,Mid Deprived Mixed,0.578,0.5
Hornsea BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.532,0.26
Wem BUA,Small,West Midlands,Mid Deprived Residential,0.426,0.43
Loughborough BUA,Medium,East Midlands,Mid Deprived Working,0.700,0.46
Maghull BUA,Medium,North West,Least Deprived Residential,0.384,0.7
Southport BUA,Large,North West,Most Deprived Working,0.769,0.29
Thornbury BUA,Small,South West,Least Deprived Mixed,0.658,0.79
Street BUA,Small,South West,Mid Deprived Working,0.846,0.56
Bishop's Waltham BUA,Small,South East,Least Deprived Residential,0.486,0.85
