CountryName,CountryId,Year,Total,Live animals,Meat & meat preparations,Dairy products & eggs,Fish & shellfish,Cereals,Vegetables & fruit,Sugar,"Coffee, tea, cocoa etc",Animal feeding stuffs,Miscellaneous foods,Beverages,Tobacco,"Hides, skins & furskins",Oil-seeds & oleaginous fruits,Crude rubber,Wood & cork,Pulp & waste paper,Textile fibres,Crude minerals & fertilisers,Metal ores & scrap,Other crude animal & vegetable materials,"Coal, coke & briquettes",Crude oil,Refined oil,Gas,Electricity,Animal oils & fats,Vegetable oils & fats,Processed oils & fats,Organic chemicals,Inorganic chemicals,"Dyeing, tanning & colouring materials",Medicinal & pharmaceutical products,Toilet & cleansing preparations,Processed fertilisers,Plastics in primary forms,Plastics in non-primary forms,Other chemicals,Leather manufactures,Rubber manufactures,Wood & cork manufactures,Paper & paperboard,Textile fabrics,Mineral manufactures,Iron & steel,Non-ferrous metals,Miscellaneous metal manufactures,Electric motors (intermediate),Electric motors (capital),Mechanical power generators (consumer),Mechanical power generators (intermediate),Mechanical power generators (capital),Specialised machinery (consumer),Specialised machinery (intermediate),Specialised machinery (capital),Metal working machinery (intermediate),Metal working machinery (capital),General industrial machinery (consumer),General industrial machinery (intermediate),General industrial machinery (capital),Office machinery (consumer),Office machinery (intermediate),Office machinery (capital),Telecoms & sound equipment (consumer),Telecoms & sound equipment (intermediate),Telecoms & sound equipment (capital),Miscellaneous electrical goods (consumer),Miscellaneous electrical goods (intermediate),Miscellaneous electrical goods (capital),Road vehicles other than cars (consumer),Road vehicles other than cars (intermediate),Road vehicles other than cars (capital),Cars,Railway equipment (intermediate),Railway equipment (capital),Aircraft,Ships,"Plumbing, heating & lighting fixtures (consumer)","Plumbing, heating & lighting fixtures (intermediate)","Plumbing, heating & lighting fixtures (capital)",Furniture (consumer),Furniture (intermediate),Furniture (capital),"Travel goods, handbags etc",Clothing,Footwear,Scientific instruments (consumer),Scientific instruments (intermediate),Scientific instruments (capital),Photographic & optical goods & clocks (consumer),Photographic & optical goods & clocks (intermediate),Photographic & optical goods & clocks (capital),Works of art,Jewellery,Other manufactures (intermediate),Other manufactures (capital),Other manufactures (consumer),Unspecified goods
Andorra,AD,2014,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,AE,2014,5965,7,1,15,12,47,16,5,23,8,32,148,0,0,2,0,1,0,15,6,1,1,0,0,17,0,0,0,1,0,13,3,31,253,159,1,19,24,48,3,18,3,47,39,35,57,48,120,6,86,0,1739,41,1,56,60,4,12,4,169,122,0,10,63,5,18,276,11,155,66,1,48,11,581,1,0,198,30,1,32,0,23,25,11,9,117,13,0,41,238,24,7,1,30,142,20,7,154,14
Afghanistan,AF,2014,27,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Antigua & Barbuda,AG,2014,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Anguilla,AI,2014,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,AL,2014,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Armenia,AM,2014,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Angola,AO,2014,629,0,0,9,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,3,2,3,0,6,2,7,0,5,0,0,3,0,70,1,46,1,10,0,29,4,0,33,33,2,7,0,115,17,0,11,4,0,1,8,1,17,2,0,2,4,13,0,0,13,2,0,1,0,0,0,0,0,2,0,0,53,50,2,0,0,0,0,2,0,3,1
Antarctica,AQ,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,AR,2014,312,0,0,0,0,0,0,0,3,1,1,11,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,9,3,1,76,7,1,6,4,9,0,1,0,1,2,1,2,49,15,0,14,0,9,2,0,4,5,1,1,0,10,12,0,0,1,0,0,2,0,5,3,0,6,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,1,0,6,1
