id,unique,SOC2010,value
"Managers,  directors &  senior officials",Chief executives and senior officials,1115,0.286879927
"Managers,  directors &  senior officials",Production managers and directors in manufacturing,1121,0.368188024
"Managers,  directors &  senior officials",Production managers and directors in construction,1122,0.361368239
"Managers,  directors &  senior officials",Production managers and directors in mining and energy,1123,0.354381591
"Managers,  directors &  senior officials",Financial managers and directors,1131,0.331122667
"Managers,  directors &  senior officials",Marketing and sales directors,1132,0.324620336
"Managers,  directors &  senior officials",Purchasing managers and directors,1133,0.325155109
"Managers,  directors &  senior officials",Advertising and public relations directors,1134,0.294307828
"Managers,  directors &  senior officials",Human resource managers and directors,1135,0.314447016
"Managers,  directors &  senior officials",Information technology and telecommunications directors,1136,0.306843996
"Managers,  directors &  senior officials",Functional managers and directors n.e.c.,1139,0.322366208
"Managers,  directors &  senior officials",Financial institution managers and directors,1150,0.358187318
"Managers,  directors &  senior officials",Managers and directors in transport and distribution,1161,0.392061025
"Managers,  directors &  senior officials",Managers and directors in storage and warehousing,1162,0.410692662
"Managers,  directors &  senior officials",Senior police officers,1172,0.309434682
"Managers,  directors &  senior officials","Senior officers in fire, ambulance, prison and related services",1173,0.325387448
"Managers,  directors &  senior officials",Health services and public health managers and directors,1181,0.2868146
"Managers,  directors &  senior officials",Social services managers and directors,1184,0.2982741
"Managers,  directors &  senior officials",Managers and directors in retail and wholesale,1190,0.415665925
"Managers,  directors &  senior officials",Managers and proprietors in agriculture and horticulture,1211,0.399276853
"Managers,  directors &  senior officials","Managers and proprietors in forestry, fishing and related services",1213,0.388835371
"Managers,  directors &  senior officials",Hotel and accommodation managers and proprietors,1221,0.397384793
"Managers,  directors &  senior officials",Restaurant and catering establishment managers and proprietors,1223,0.423081696
"Managers,  directors &  senior officials",Publicans and managers of licensed premises,1224,0.438795954
"Managers,  directors &  senior officials",Leisure and sports managers,1225,0.384701282
"Managers,  directors &  senior officials",Travel agency managers and proprietors,1226,0.389144987
"Managers,  directors &  senior officials",Health care practice managers,1241,0.355356693
"Managers,  directors &  senior officials","Residential, day and domiciliary  care managers and proprietors",1242,0.346245229
"Managers,  directors &  senior officials","Property, housing and estate managers",1251,0.365341187
"Managers,  directors &  senior officials",Garage managers and proprietors,1252,0.432319999
"Managers,  directors &  senior officials",Hairdressing and beauty salon managers and proprietors,1253,0.423318237
"Managers,  directors &  senior officials",Shopkeepers and proprietors – wholesale and retail,1254,0.430700809
"Managers,  directors &  senior officials",Waste disposal and environmental services managers,1255,0.393516153
"Managers,  directors &  senior officials",Managers and proprietors in other services n.e.c.,1259,0.362622052
Professional ,Chemical scientists,2111,0.306773901
Professional ,Biological scientists and biochemists,2112,0.28467828
Professional ,Physical scientists,2113,0.283978939
Professional ,Social and humanities scientists,2114,0.300141752
Professional ,Natural and social science professionals n.e.c.,2119,0.262620747
Professional ,Civil engineers,2121,0.330205381
Professional ,Mechanical engineers,2122,0.366485864
Professional ,Electrical engineers,2123,0.378086627
Professional ,Electronics engineers,2124,0.351998329
Professional ,Design and development engineers,2126,0.338449299
Professional ,Production and process engineers,2127,0.379578352
Professional ,Engineering professionals n.e.c.,2129,0.360755265
Professional ,IT specialist managers,2133,0.340802997
Professional ,IT project and programme managers,2134,0.332368582
Professional ,"IT business analysts, architects and systems designers",2135,0.334367514
Professional ,Programmers and software development professionals,2136,0.319476247
