year,debt
Q1 2008,0.4
Q2 2008,-0.7
Q3 2008,-1.6
Q4 2008,-2.2
Q1 2009,-1.7
Q2 2009,-0.2
Q3 2009,0.1
Q4 2009,0.3
Q1 2010,0.5
Q2 2010,0.9
Q3 2010,0.6
Q4 2010,0.1
Q1 2011,0.7
Q2 2011,0.1
Q3 2011,0.3
Q4 2011,0.2
Q1 2012,0.6
Q2 2012,-0.1
Q3 2012,1.2
Q4 2012,-0.2
Q1 2013,0.6
Q2 2013,0.5
Q3 2013,0.9
Q4 2013,0.5
Q1 2014,0.8
Q2 2014,0.8
Q3 2014,0.7
Q4 2014,0.7
Q1 2015,0.4
Q2 2015,0.6
Q3 2015,0.4
Q4 2015,0.7
Q1 2016,0.3
Q2 2016,0.2
Q3 2016,0.5
Q4 2016,0.7
Q1 2017,0.4
Q2 2017,0.3
Q3 2017,0.4
Q4 2017,0.4
Q1 2018,0.1
Q2 2018,0.4
Q3 2018,0.6
