,Very high rating of satisfaction with their lives overall,Very high rating of how worthwhile they feel the things they do are,Very high rating of happiness with their lives overall,Rated how anxious they were yesterday as very low
April 2011 to March 2012,26.2,31.5,31.9,36.7
July 2011 to June 2012,26.1,31.5,31.4,37.3
October 2011 to September 2012,26.2,31.5,31.5,37.7
January 2012 to December 2012,26.2,31.5,31.5,38.1
April 2012 to March 2013,26.0,31.4,31.1,38.1
July 2012 to June 2013,26.3,31.8,31.4,38.5
October 2012 to September 2013,26.5,32.1,31.8,39.1
January 2013 to December 2013,26.7,32.3,32.3,39.2
April 2013 to March 2014,26.9,32.7,32.7,39.6
July 2013 to June 2014,27.5,33.1,33.4,40.0
October 2013 to September 2014,27.8,33.4,33.5,40.0
January 2014 to December 2014,28.2,33.9,33.7,40.5
April 2014 to March 2015,28.8,34.4,34.1,40.9
July 2014 to June 2015,28.9,34.4,34.2,41.2
October 2014 to September 2015,29.1,34.5,34.2,41.3
January 2015 to December 2015,29.1,34.5,34.2,41.0
April 2015 to March 2016,29.2,34.4,34.2,40.8
July 2015 to June 2016,29.2,34.5,34.1,40.4
October 2015 to September 2016,29.3,34.6,34.4,40.4
January 2016 to December 2016,29.6,34.9,34.6,40.3
April 2016 to March 2017,30.0,35.1,34.9,40.2
July 2016 to June 2017,30.1,35.6,35.1,40.1
October 2016 to September 2017,30.2,35.6,34.9,39.9
January 2017 to December 2017,30.1,35.7,35.1,40.2
April 2017 to March 2018,30.0,35.8,34.9,40.5
