"Figure 5: Non-EU work-related long-term immigration trends by data source, UK, year ending June 2008 to year ending June 2018 ",,,,,,,,,,,,,,,,,
"UK, year ending June 2008 to year ending June 2018",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Units: ,Thousands,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Year ending ,Visas,NINos,IPS,IPS 95%  CI,IPS 60%  CI,IPS 30%  CI,,,,,,,,,,,
Jun-08, 111 , 300 ,74,10,4,2,,,,,,,,,,,
, 111 , 297 ,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,
, 113 , 287 ,66,10,4,2,,,,,,,,,,,
, 110 , 308 ,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,
Jun-09, 103 , 291 ,59,8,3,2,,,,,,,,,,,
, 93 , 292 ,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,
, 85 , 304 ,54,8,3,2,,,,,,,,,,,
, 80 , 298 ,51,7,3,1,,,,,,,,,,,
Jun-10, 80 , 319 ,48,7,3,1,,,,,,,,,,,
, 83 , 327 ,49,6,3,1,,,,,,,,,,,
, 81 , 340 ,52,7,3,1,,,,,,,,,,,
, 81 , 344 ,51,7,3,1,,,,,,,,,,,
Jun-11, 77 , 332 ,50,7,3,1,,,,,,,,,,,
, 72 , 326 ,51,7,3,1,,,,,,,,,,,
, 70 , 298 ,47,7,3,1,,,,,,,,,,,
, 68 , 250 ,48,7,3,1,,,,,,,,,,,
Jun-12, 65 , 226 ,48,7,3,1,,,,,,,,,,,
, 62 , 193 ,45,7,3,1,,,,,,,,,,,
, 59 , 176 ,44,7,3,1,,,,,,,,,,,
, 54 , 176 ,44,7,3,1,,,,,,,,,,,
Jun-13, 55 , 174 ,42,7,3,1,,,,,,,,,,,
, 58 , 176 ,42,7,3,1,,,,,,,,,,,
, 59 , 177 ,44,7,3,1,,,,,,,,,,,
, 60 , 163 ,48,6,3,1,,,,,,,,,,,
Jun-14, 62 , 144 ,55,7,3,1,,,,,,,,,,,
, 64 , 161 ,66,11,5,2,,,,,,,,,,,
, 67 , 176 ,67,12,5,2,,,,,,,,,,,
, 72 , 193 ,65,9,4,2,,,,,,,,,,,
Jun-15, 74 , 218 ,67,10,4,2,,,,,,,,,,,
, 79 , 206 ,68,10,4,2,,,,,,,,,,,
, 82 , 197 ,73,11,5,2,,,,,,,,,,,
, 82 , 195 ,72,10,4,2,,,,,,,,,,,
Jun-16, 80 , 193 ,74,10,4,2,,,,,,,,,,,
, 76 , 195 ,68,9,4,2,,,,,,,,,,,
, 73 , 198 ,66,9,4,2,,,,,,,,,,,
, 72 , 191 ,71,11,5,2,,,,,,,,,,,
Jun-17p, 73 , 194 ,65,10,4,2,,,,,,,,,,,
, 76 , 192 ,83,13,6,3,,,,,,,,,,,
, 77 , 185 ,90,14,6,3,,,,,,,,,,,
, 78 , 192 ,88,14,6,3,,,,,,,,,,,
Jun-18p, 79 , 194 ,91,14,6,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"*A change to the process of recording NINOs during the quarter April-June 2014, means that the volume of NINo registrations recorded were lower in that quarter and then higher in the subsequent quarter July to September 2014 than would otherwise be the case. Therefore, comparisons of NINo registrations over time should be viewed with caution.",,,,,,,,,,,,,,,,,
