,Transport,Recreation and culture,"Housing (net), fuel and power",Other expenditure items,Food and non-alcoholic drinks,Restaurants and hotels,Miscellaneous goods and services,Household goods and services,Clothing and footwear,Communication,"Alcoholic drinks, tobacco and narcotics",Health,Education
2001-02,91.4,55.7,65.4,77.6,60.7,53.9,43.6,37.5,16.1,12.2,20.8,7,18.6
2002-03,92.1,57.2,65.7,74.1,62.2,55.3,45.9,37.3,16.8,12.3,20.5,7.2,16.3
2003-04,91.7,59,68.1,75.9,62.2,52.9,45.3,38.7,17.8,13,20.7,7.3,15.4
2004-05,86.9,61.5,67.6,78.1,63.7,53.1,45,39.1,19.7,13.8,19.6,7.1,18.3
2005-06,86.4,60.7,69.4,81.8,63.7,52.2,42.9,37.3,19.7,14.2,18.3,7.6,17.5
2006,83.6,61.3,69.4,78,63.5,52.2,42.9,37.4,20.5,13.9,18.4,7.9,17.6
2007,82.3,61.7,72.1,73.6,63.2,50,41.5,37.7,20.4,14.7,18,7.5,15.1
2008,80.2,65,67.9,77.1,61.1,48.8,40.8,36.2,21.4,15.2,16.7,6.5,12.3
2009,73.3,61.8,70.4,79.2,59.6,48.5,39.3,32.5,22.5,14.6,16.5,6.6,12.9
2010,75.1,60.9,73.9,73,58.7,48.2,39.3,35.5,25.4,15.6,16.6,6.1,17.6
2011,70.6,66.9,73.4,73.7,57.4,46.6,41.3,29.4,23.1,15.3,15.5,7.7,11.7
2012,67.3,64.3,75.1,71,57.6,46.2,40.2,29.9,24.6,15.3,15.3,7.2,10.4
2013,73.2,66.2,79,74.7,57.5,44.8,40.6,34.5,23.6,15.5,13.8,6.9,11.5
2014,77.5,70.6,74.9,71,57.6,46,41.4,36.6,24.6,16.4,13.4,7.6,11.6
2014-15,76.4,71.1,74.9,67.8,57.5,45.8,41.9,37.9,24.5,16.4,13,7.5,10.5
2015-16,77.1,70.2,74.2,74.3,57.5,47.8,40.8,36.6,24.2,16.6,12.1,7.6,7.6
2016-17,82.8,75.2,74.1,73,59.7,51.6,42.4,40.6,25.9,17.4,12.5,7.5,5.9
2017-18,80.8,74.6,76.1,76.4,60.6,49.6,43.5,40.7,24.3,17.9,12.4,6.9,8.7
