topic,unit_pre,unit_suf,topic_text,topic_code,color,measure,change,change_val,measure_code,graphic,url,link_to,period,two_series,markers,data_start,start_label,end_label,text,updated,tickNo,centreline,margin_t,margin_r,margin_b,margin_l,svg,unit,ymin,ymax,rolling
"<h2><a name=""section1""></a>Personal Well-being</h2>",Change since last year,%,"<p>Includes individual&#39;s feelings of satisfaction with life, whether they feel the things they do in their life are worthwhile and their positive and negative emotions.</p>",perwel,#3B7A9E,Life Satisfaction,up,,lifsat,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/january2018todecember2018,years,no,no,"2012, 01, 01",2012,2018,"In the year ending December 2018, 30.5% of people aged 16 and over in the UK reported a very high rating of satisfaction with their lives overall (9 and 10 out of 10). An improvement over the short term (30.1% in the year ending December 2017) and the long-term (26.7% in the year ending December 2013).",15-May-19,4,no,17,20,17,20,none,,25,45,none
,Change since last year,%,,perwel,#3B7A9E,Worthwhile,up,,worthw,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/january2018todecember2018,years,no,no,"2012, 01, 01",2012,2018,"In the year ending December 2018, 36.0% of people in the UK aged 16 and over reported a very high rating that the things they do were worthwhile (9 and 10 out of 10). No change over the short term (35.7% in the year ending December 2017) and an improvement over the long-term (32.3% in the year ending December 2013).",15-May-19,4,no,17,20,17,30,none,,25,45,none
,Change since last year,%,,perwel,#3B7A9E,Happiness,up,,happin,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/january2018todecember2018,years,no,no,"2012, 01, 01",2012,2018,"In the year ending December 2018, 35.1% of people aged 16 and over in the UK reported their happiness yesterday as very high (9 and 10 out of 10). No change over the short term (35.1% in the year ending December 2017) and an improvement over the long-term (32.3% in the year ending December 2013).",15-May-19,4,no,17,20,17,30,none,,25,45,none
,Change from financial year ending 2016 to 2017,%,,perwel,#3B7A9E,Anxiety,up,,anxiou,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/january2018todecember2018,years,no,no,"2012, 01, 01",2012,2018,"In the year ending December 2018, 41.2% of people aged 16 and over in the UK rated their anxiety as very low (0 to 1 out of 10). An improvement over the short term (40.2% in the year ending December 2017) and over the long-term (39.2% in the year ending December 2013).",15-May-19,4,no,17,20,17,30,none,,25,45,none
,Change since last quarter,%,,perwel,#3B7A9E,Mental well-being,no,,mental,line,none,https://www.understandingsociety.ac.uk,other,no,no,"2008, 01, 00",2008,2015/16,"In 2015 to 2016, the average rating of positive mental well-being for people aged 16 and over in the UK was 25.2 out of 35. While there was an improvement over the short-term (24.6 out of 35 in 2012 to 2013), there was no overall change over the long-term (25.2 out of 35 in 2009 to 2010).",25-Apr-18,3,no,17,20,17,30,none,,20,30,none
"<h2><a name=""section2""></a>Our Relationships</h2>",Change from 2015 to 2016,%,<p>Positive relationships have one of the biggest impacts on our quality of life and happiness. This domain includes satisfaction with personal relationships and feelings of loneliness.</p>,relati,#D2376D,Unhappy relationships,up,,unhapp,vbar,vbar,https://www.understandingsociety.ac.uk,other,no,no,"2008, 01, 01",2009/10,2015/16,The proportion of people in the UK aged 16 and over who reported that they were fairly or extremely unhappy with their relationship in 2015 to 2016 was 3.6%. This was an improvement for both the short-term (8.3% in 2013 to 2014) and the long-term (4.3% in 2009 to 2010).,25-Apr-18,5,no,17,20,17,30,none,,0,10,none
,Change from 2015 to 2016,%,,relati,#D2376D,Loneliness,no,,lonely,line,none,https://www.gov.uk/government/collections/community-life-survey--2,other,no,no,"2007, 07, 01",2013/14,2017/18,"The proportion of people aged 16 and over in England who reported feelings of loneliness often or always was 5.5% in the year ending March 2018. No change over the short-term (5.4% in the year ending March 2016), or long-term (5.1% in the year ending March 2014).",26-Sep-18,5,no,17,20,17,30,none,,0,10,none
,Change in aggregate balance from last quarter,,,relati,#D2376D,People to rely on,down,,relyon,vbar,vbar,https://www.understandingsociety.ac.uk,other,no,no,"2008, 01, 01",2010/11,2013/14,"In 2013 to 2014, 84.0% of people in the UK aged 16 and over reported having someone to rely on if they had a serious problem. This has fallen over the long-term with 86.1% reporting they had someone to rely on in 2010 to 2011.",06-Apr-17,1,no,17,20,17,30,none,,auto,100,none
"<h2><a name=""section3""></a>Health</h2>",Change since last quarter,p.p,<p>An individual&#39;s health is recognised as an important component of their well-being. This domain contains both subjective and objective measures of physical and mental health.</p>,health,#6E2585,Healthy life expectancy,m_up_f_nochange,,lifexp,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandlifeexpectancies,years,yes,no,"2007, 07, 01",2009-2011,2014-2016,The healthy life expectancy at birth for males and females in the UK in 2014 to 2016 was 63.1 and 63.7 years respectively. This represented no overall change since 2011 to 2013 for both males (62.9) and females (63.7). There was an improvement since 2009 to 2011 for males (62.7) and no overall change for females (63.9).,25-Apr-18,5,no,17,25,17,30,none,,60,65,none
,Change since last quarter,p.p,,health,#6E2585,Disability,null,,disabi,line,none,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/datasets/labourmarketstatusofdisabledpeoplea08,quarters,no,no,"2000, 01, 01",Q2 2013,Q2 2017,"17.4% of people aged between 16 and 64 reported they had an illness or disability in April to June 2017, the same proportion as the same period in the previous year. This change has not been assessed.",10-Oct-17,5,no,17,20,17,30,none,,16,18,none
