Category,Household spending per week (£'s)
Total expenditure,585.6
Food and non-alcoholic drinks,61.9
Food ,56.6
"Bread, rice and cereals",5.5
Rice,0.5
Bread,2.6
Other breads and cereals,2.5
Pasta products,0.4
"Buns, cakes, biscuits etc",3.9
"Buns, crispbread and biscuits",2.3
Cakes and puddings,1.6
Pastry (savoury),1
"Beef (fresh, chilled or frozen)",1.9
"Pork (fresh, chilled or frozen)",0.5
"Lamb (fresh, chilled or frozen)",0.6
"Poultry (fresh, chilled or frozen)",2.3
Bacon and ham,0.8
Other meats and meat preparations,6.6
Sausages,0.9
"Offal, pate etc",0.1
Other preserved or processed meat and meat preparations,5.5
"Other fresh, chilled or frozen edible meat",0
Fish and fish products,3
"Fish (fresh, chilled or frozen)",1
"Seafood, dried, smoked or salted fish",0.7
Other preserved or processed fish and seafood,1.3
Milk,2.2
Whole milk,0.4
Low fat milk,1.5
Preserved milk,0.3
Cheese and curd,2.1
Eggs,0.7
Other milk products,2.3
Other milk products,1.1
Yoghurt,1.2
Butter,0.5
"Margarine, other vegetable fats and peanut butter",0.6
Cooking oils and fats,0.3
Olive oil,0.2
Edible oils and other edible animal fats,0.2
Fresh fruit,4.1
Citrus fruits (fresh),0.6
Bananas (fresh),0.5
Apples (fresh),0.6
Pears (fresh),0.1
Stone fruits (fresh),0.6
Berries (fresh),1.6
"Other fresh, chilled or frozen fruits",0.5
Dried fruit and nuts,0.9
Preserved fruit and fruit based products,0.2
Fresh vegetables,4.4
Leaf and stem vegetables (fresh or chilled),1
Cabbages (fresh or chilled),0.4
"Vegetables grown for their fruit (fresh, chilled or frozen)",1.6
"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen)",1.4
Dried vegetables,0.1
Other preserved or processed vegetables,1.7
Potatoes,0.7
Other tubers and products of tuber vegetables,1.8
Sugar and sugar products,0.4
Sugar,0.2
Other sugar products,0.2
"Jams, marmalades",0.3
Chocolate,2.1
Confectionery products,0.8
Edible ices and ice cream,0.8
Other food products,2.7
"Sauces, condiments",1.3
"Baker's yeast, dessert preparations, soups",1.1
"Salt, spices, culinary herbs and other food products",0.4
Non-alcoholic drinks,5.3
Coffee,1
Tea,0.5
Cocoa and powdered chocolate,0.1
Fruit and vegetable juices,1.1
Mineral or spring waters,0.4
Soft drinks (inc. fizzy and ready to drink fruit drinks),2.3
"Alcoholic drink, tobacco and narcotics",13
Alcoholic drinks,9.1
Spirits and liqueurs (brought home),2
"Wines, fortified wines (brought home)",4.6
Wine from grape or other fruit (brought home),3.8
Fortified wine (brought home),0.1
Champagne and sparkling wines (brought home),0.6
