category,subcat,boys,girls,all
average,11-16 yr olds (average),14.3,14.4,14.4
ethnicity,White background,16.4,17.4,16.9
ethnicity,Black and Minority Ethnic background,7.9,5.1,6.5
famfunc,Healthy functioning,11.5,10.8,11.2
famfunc,Unhealthy functioning,25,25.4,25.2
pmental,Good mental health,11.4,10.3,10.9
pmental,Poor mental health,27.7,31.2,29.6
benefits,No welfare benefits,9.9,10.3,10.1
benefits,Receives welfare benefits,18.9,22.5,20.7
income,"£43,625 or more",7.2,9.3,8.2
income,"£27,274 to £43,624",11.3,13.4,12.3
income,"£17,529 to £27,273",17.9,15.4,16.6
income,"£10,636 to £17,528",14.8,18.4,16.6
income,"£0 to £10,635",13.9,14.1,14
