category,subcat,boys,girls,all
average,5-10 yr olds (average),12.2,6.6,9.5
ethnicity,White background,14.3,7.9,11.2
ethnicity,Black and Minority Ethnic background,6,2.3,4.2
famfunc,Healthy functioning,10,5.2,7.6
famfunc,Unhealthy functioning,23.7,13.8,19
pmental,Good mental health,9.3,4.7,7
pmental,Poor mental health,27.9,18,23.4
benefits,No welfare benefits,6.7,3.9,5.3
benefits,Receives welfare benefits,22.5,11.2,16.9
income,"£43,625 or more",6.1,2.7,4.4
income,"£27,274 to £43,624",8.7,4.7,6.8
income,"£17,529 to £27,273",12.3,6.3,9.3
income,"£10,636 to £17,528",17.7,9.9,14
income,"£0 to £10,635",17.1,10.3,13.7
