AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7
Hartlepool,E06000001,7.4,7.3,7.4,7.6,7.6,8,7.7
Middlesbrough,E06000002,8,7.2,7.2,7.8,8.9,8.9,8.8
Redcar and Cleveland,E06000003,8.7,7.5,8,9,8.9,8.4,9.9
Stockton-on-Tees,E06000004,8.7,8.2,9,9.1,9.9,9.3,8.1
Darlington,E06000005,10.3,10.3,10.7,10.8,10.5,10,9.2
Halton,E06000006,8.4,8.3,7.9,7.8,7.9,8.4,8.8
Warrington,E06000007,8.7,8.8,9.1,11,11.4,11.5,11.5
Blackburn with Darwen,E06000008,7.5,7.5,8.8,8.2,8.1,7.3,7.8
Blackpool,E06000009,6.8,7.2,7.2,7.6,7.4,7.8,8.2
"Kingston upon Hull, City of",E06000010,7.6,7.5,6.8,7.6,6.6,7.3,7.4
East Riding of Yorkshire,E06000011,10.6,10.7,11.3,10.8,8.9,9.4,10.3
North East Lincolnshire,E06000012,10,10.4,11.8,11.6,10.6,10.6,10.8
North Lincolnshire,E06000013,8.6,8.2,8.6,7.8,9,7.8,8.8
York,E06000014,9.2,10,10.1,11.5,11.3,11.6,11.3
Derby,E06000015,10.6,9.9,9.4,8.7,9.2,9.1,9.8
Leicester,E06000016,7.2,8,7.7,8.9,8.5,8.5,8.4
Rutland,E06000017,9.6,8.7,8.5,12,13.2,12.2,12.3
Nottingham,E06000018,8.5,7.8,7.5,7.2,6.9,7.4,7.3
"Herefordshire, County of",E06000019,11.2,11.6,10.9,11.4,12.3,11.9,11.1
Telford and Wrekin,E06000020,9.8,10.1,10.1,9.5,8.5,8.3,9.9
Stoke-on-Trent,E06000021,8.8,9.3,9.8,9.1,9.5,9.5,10.3
Bath and North East Somerset,E06000022,11,11,12,12,12.1,10.1,9.8
"Bristol, City of",E06000023,8.9,8,8.4,8.8,9.3,8.3,9.4
North Somerset,E06000024,11.5,11.6,11.4,11.7,11.8,12.4,11.4
South Gloucestershire,E06000025,11.1,11.1,11.5,12,11.3,11.2,9.8
Plymouth,E06000026,10.1,10.1,9.1,8.4,8.5,9.4,11.3
Torbay,E06000027,10.7,11.1,10.5,10.9,11.1,10.7,10.7
Bournemouth,E06000028,10.2,10.9,11.1,10.2,10.1,11.4,11.5
Poole,E06000029,11.1,11,10.4,11.9,11.8,10.8,10.8
Swindon,E06000030,10.7,10.5,11.9,12.1,12.1,11.9,11.5
Peterborough,E06000031,9,9.3,9,8.7,9,10.2,10.3
Luton,E06000032,8.4,8.3,7.8,8.3,9.8,9.1,10.1
Southend-on-Sea,E06000033,11.2,10.8,10.6,10.7,10.6,10.5,10.2
Thurrock,E06000034,10,10.8,10.6,12.1,10,9.7,9.6
Medway,E06000035,9.9,9,8.4,8.4,9.8,10.6,9.9
Bracknell Forest,E06000036,11,10.3,11.6,12.4,13.1,12.9,12.6
West Berkshire,E06000037,12.5,12.2,12,13.3,11.6,11.7,12
Reading,E06000038,9.3,8.8,11.7,11.7,11.5,11.9,11.3
Slough,E06000039,9.8,8.7,8.4,8.5,7.5,7.1,7.2
Windsor and Maidenhead,E06000040,10.7,11.3,11.1,11.7,12.5,12.5,13.6
Wokingham,E06000041,11.6,11.3,12.7,12.9,13.4,12.6,12.4
Milton Keynes,E06000042,9.5,8.3,9.6,9.1,10.9,11.7,10.7
Brighton and Hove,E06000043,10.5,11.4,11.5,11,10.8,10.2,10.7
Portsmouth,E06000044,9.7,9.9,10.9,10.2,10.5,9.4,9
Southampton,E06000045,9.7,9.7,9.6,8.8,8.7,9.2,10
Isle of Wight,E06000046,10.1,9.6,10.2,10.9,11.4,11.3,10.4
County Durham,E06000047,8.1,8.1,7.1,7.6,7.9,8.1,7.8
Cheshire East,E06000049,10.9,9.8,13.7,13.5,10.7,11.7,12
Cheshire West and Chester,E06000050,9.6,9.6,10.6,9.6,12.1,12.6,11.2
Shropshire,E06000051,10.9,10.2,9.8,10.6,10.6,11.7,11.9
Cornwall,E06000052,10.7,11.7,11.3,11.2,11.9,11.7,11
Wiltshire,E06000054,11.1,12,13.5,12.7,11,12,12
Bedford,E06000055,12.7,11.5,11.4,11.6,9.7,10.1,9.3
Central Bedfordshire,E06000056,10.8,10.2,9.5,10.2,10.9,11.2,11.5
Northumberland,E06000057,10.5,10.2,9.6,9.3,10.5,11.1,11.5
Bolton,E08000001,10.1,9.9,10.5,9.8,10.1,10.3,10.8
Bury,E08000002,8.7,8.6,8.6,9,7.7,7.9,8.3
