AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7
Hartlepool,E06000001,7.6,7.1,7.6,7.3,7.6,7.7,8.2
Middlesbrough,E06000002,8.9,8.6,8.2,9.4,9.7,9.7,8.3
Redcar and Cleveland,E06000003,10.1,10,9.3,10.6,12.1,11.6,11
Stockton-on-Tees,E06000004,9.9,9.3,9.6,9,10,10.4,10.3
Darlington,E06000005,10.7,11.3,10.6,10.3,10,10.8,10.5
Halton,E06000006,9.3,9.4,8.6,7.9,7.8,7.6,7.6
Warrington,E06000007,8.4,8.4,8.8,8.9,10.4,9.8,10.4
Blackburn with Darwen,E06000008,8.4,8.8,8.1,9.5,10.2,9.7,8.1
Blackpool,E06000009,9.3,9.2,8.9,9,8.9,9.2,9.4
"Kingston upon Hull, City of",E06000010,7.6,7.6,8.4,8.4,9.7,9.6,9.7
East Riding of Yorkshire,E06000011,11,10.2,10.6,10.6,10.3,10.8,9.6
North East Lincolnshire,E06000012,8.8,8.8,8.7,8.1,8.4,8.7,10.7
North Lincolnshire,E06000013,8.8,9.8,10,10.4,10.3,10.5,10.5
York,E06000014,11.6,12,12,11.4,11.5,11.8,11.7
Derby,E06000015,10.5,9.3,9.6,10.3,10.6,8.5,9.4
Leicester,E06000016,8.1,7.3,7.9,7,8.9,8.1,8.6
Rutland,E06000017,14.1,13.3,12.3,11.3,13.1,14.5,14.2
Nottingham,E06000018,9.3,9.3,8.9,7.4,7.7,7.1,6.8
"Herefordshire, County of",E06000019,12.7,12.9,11.6,11.4,12.5,12.8,13.2
Telford and Wrekin,E06000020,9,8.7,8.9,8.6,7.8,9.6,10.2
Stoke-on-Trent,E06000021,9,9,9.6,9.5,10.5,10.8,9.8
Bath and North East Somerset,E06000022,13.5,13.5,13.3,13.7,13.1,12.4,12.6
"Bristol, City of",E06000023,9.4,9.4,9.9,9.6,11.7,12.3,10.5
North Somerset,E06000024,10.9,11.5,12.3,13.4,13.4,12.9,11.1
South Gloucestershire,E06000025,12.6,11.8,10.7,11.1,11.4,11.9,12.2
Plymouth,E06000026,9.3,9.1,9.4,8.5,9.4,11,10.8
Torbay,E06000027,11.4,11,10.6,10.5,11,10.8,11.3
Bournemouth,E06000028,10.5,9.9,10.8,9.5,10.2,12,11.8
Poole,E06000029,12,12,11.4,11.9,12.1,11.6,12.4
Swindon,E06000030,10,10.9,11,11,10.3,9.4,9.9
Peterborough,E06000031,9.3,8.9,9.8,10.3,11.2,11.1,9.5
Luton,E06000032,8.4,8.4,8.2,7.7,8.8,9,10.8
Southend-on-Sea,E06000033,12.5,11.9,11.2,12.1,13.1,12.4,11.3
Thurrock,E06000034,10.4,10.3,11.1,10.6,10.5,9.5,11.9
Medway,E06000035,9.4,9.4,9.1,10.4,9.9,9.2,9.9
Bracknell Forest,E06000036,12.5,12.5,12.4,13,13.8,14.7,13.5
West Berkshire,E06000037,12.2,12,11.7,12,13.2,14.1,13.4
Reading,E06000038,10.9,11.4,9.5,8.8,11.5,11.9,12.2
Slough,E06000039,8.6,9.3,8.3,7.3,6.5,8,8
Windsor and Maidenhead,E06000040,12.8,13.3,13.9,12.8,12.4,13.3,13.6
Wokingham,E06000041,12.7,12.5,12.5,13.6,13.2,14.2,14.5
Milton Keynes,E06000042,10.4,10.4,10.4,10.3,9.6,11.1,11.2
Brighton and Hove,E06000043,10.6,11.6,9.8,10.9,11.2,10.8,12.4
Portsmouth,E06000044,10.6,10,10.6,10.5,9.2,9.5,11
Southampton,E06000045,11,11.1,9.8,9.7,8.8,9.5,8.6
Isle of Wight,E06000046,10.8,10.8,10.7,11.2,11.5,12.5,11.8
County Durham,E06000047,8.4,9.7,9.1,8.6,7,8.5,7.6
Cheshire East,E06000049,11,11.7,11.4,9.8,9.2,13,14.2
Cheshire West and Chester,E06000050,10.2,9.3,11.5,13.6,13,11.9,10
Shropshire,E06000051,10.9,11.6,11.2,11.8,11.2,12,11.6
Cornwall,E06000052,12.1,11.7,9.7,11.3,11.3,11.2,11.6
Wiltshire,E06000054,12.4,12.5,12.4,12,11.9,12.2,13.5
Bedford,E06000055,12.3,11.2,11,9.6,10,11.7,10.8
Central Bedfordshire,E06000056,11,11.5,10.4,12.3,10.4,11.7,12.7
Northumberland,E06000057,9.1,10.2,10.4,9.6,10.9,11.3,10.9
Bolton,E08000001,10.4,10.8,9.1,9.8,10.6,9.7,11
Bury,E08000002,9.5,9.7,10.3,9.9,11.7,11.1,11.5
Manchester,E08000003,7.4,6.7,5.8,6.6,6.7,6.9,8.3
Oldham,E08000004,9.3,8.8,7.3,7,7.9,10.3,9.1
Rochdale,E08000005,9.1,9.1,9,9.5,9.8,11.2,10.3
Salford,E08000006,7.9,7.8,8.5,7.7,8.6,9.8,8
Stockport,E08000007,10.6,12.4,12.6,12.1,11.8,12.1,11.1
Tameside,E08000008,8.8,9.3,9.4,9.1,8.6,8.5,9.3
Trafford,E08000009,10.1,9.8,10.4,11.2,12.5,13.4,11.9
Wigan,E08000010,8.6,8.4,9.2,8.6,8,8.6,10.9
Knowsley,E08000011,8.9,8.2,8.2,6.9,7.5,7.7,8.5
Liverpool,E08000012,8.2,8.6,9.2,8.6,8.3,8.7,8.4
St. Helens,E08000013,8.4,8.6,9.7,9.8,9.5,8.2,7.9
Sefton,E08000014,9.4,10.2,10.2,9.8,9.4,9.7,10.5
Wirral,E08000015,9.6,9.9,9.7,9.3,10.6,9.9,10
