North East	North West	Yorkshire and The Humber	East Midlands	West Midlands	East	London	South East	South West	England	Wales	Scotland	Northern Ireland	United Kingdom	toplevel	secondlevel	name
2.80	3.30	3.40	3.30	3.40	3.80	3.80	4.00	3.30	3.50	2.50	3.50	5.10	3.50	Miscellaneous goods and services	Personal care	Hairdressing, beauty treatment
0.80	0.70	0.80	0.90	0.80	0.90	0.90	0.90	0.80	0.80	0.70	0.80	1.00	0.80	Miscellaneous goods and services	Personal care	Toilet paper
1.80	2.20	2.00	2.30	2.50	2.50	2.70	2.60	2.30	2.40	2.20	2.30	3.00	2.40	Miscellaneous goods and services	Personal care	Toiletries and soap
0.50	0.60	0.60	0.60	0.70	0.70	0.90	0.70	0.60	0.70	0.50	0.60	0.70	0.70	Miscellaneous goods and services	Personal care	Baby toiletries and accessories (disposable)
3.40	3.70	3.30	3.60	3.50	3.90	4.30	4.10	3.70	3.80	3.20	4.10	5.30	3.80	Miscellaneous goods and services	Personal care	Hair products, cosmetics and electrical personal appliances
4.30	2.60	2.20	4.00	2.40	5.30	3.80	5.40	3.20	3.70	1.50	3.30	3.10	3.60	Miscellaneous goods and services	Personal effects	Personal effects
1.90	2.70	3.10	3.10	3.30	5.20	4.10	3.60	4.10	3.60	3.20	3.90	3.90	3.60	Miscellaneous goods and services	Social protection	Social protection
3.80	4.80	4.70	4.70	4.70	5.40	5.60	6.10	5.40	5.20	4.80	4.90	4.30	5.10	Miscellaneous goods and services	Insurance	Household insurances - structural, contents and appliances
0.60	1.40	1.50	1.40	1.20	2.20	3.50	3.20	1.90	2.10	1.10	0.90	1.00	1.90	Miscellaneous goods and services	Insurance	Medical insurance premiums
7.70	10.20	9.60	9.60	10.30	10.30	9.60	11.00	9.90	10.00	9.00	7.30	9.50	9.70	Miscellaneous goods and services	Insurance	Vehicle insurance including boat insurance
0.10	0.10	0.10	0.10	0.10	0.10	0.30	0.20	0.10	0.20	0.00	0.10	0.00	0.10	Miscellaneous goods and services	Insurance	Non-package holiday, other travel insurance
1.40	1.50	1.60	2.40	1.50	2.80	2.10	3.40	2.60	2.20	0.50	1.00	0.60	2.00	Miscellaneous goods and services	Other services	Moving house
0.40	0.40	0.40	0.50	0.50	0.50	0.80	0.60	0.70	0.50	0.30	0.50	0.20	0.50	Miscellaneous goods and services	Other services	Bank, building society, post office, credit card charges
