year,debt,divorce
1952,64.4 ,68.7 
1962,66.2 ,72.0 
1972,67.3 ,73.7 
1982,69.1 ,75.3 
1992,71.4 ,77.1 
1993,71.5 ,77.1 
1994,71.7 ,77.3 
1995,71.9 ,77.4 
1996,72.1 ,77.7 
1997,72.2 ,77.9 
1998,72.4 ,78.0 
1999,72.6 ,78.2 
2000,72.8 ,78.4 
2001,73.1 ,78.5 
2002,73.3 ,78.8 
2003,73.5 ,78.9 
2004,73.8 ,79.1 
2005,74.2 ,79.2 
2006,74.6 ,79.5 
2007,74.8 ,79.7 
2008,75.0 ,79.8 
2009,75.3 ,80.1 
2010,75.8 ,80.3 
2011,76.2 ,80.6 
2012,76.5 ,80.8 
2013,76.8 ,80.9 
2014,77.1 ,81.1 
2015,77.1 ,81.1 
2016,77.1 ,81.2 
