id,unique,SOC2010,value
"Managers, directors  and senior officials",Chief executives and senior officials,1115,0.236206919
"Managers, directors  and senior officials",Elected officers and representatives,1116,0.319550246
"Managers, directors  and senior officials",Production managers and directors in manufacturing,1121,0.298128814
"Managers, directors  and senior officials",Production managers and directors in construction,1122,0.299436659
"Managers, directors  and senior officials",Production managers and directors in mining and energy,1123,0.274528623
"Managers, directors  and senior officials",Financial managers and directors,1131,0.300672263
"Managers, directors  and senior officials",Marketing and sales directors,1132,0.276657283
"Managers, directors  and senior officials",Purchasing managers and directors,1133,0.2988258
"Managers, directors  and senior officials",Advertising and public relations directors,1134,0.2607131
"Managers, directors  and senior officials",Human resource managers and directors,1135,0.283163726
"Managers, directors  and senior officials",Information technology and telecommunications directors,1136,0.251764297
"Managers, directors  and senior officials",Functional managers and directors n.e.c.,1139,0.275744081
"Managers, directors  and senior officials",Financial institution managers and directors,1150,0.303406239
"Managers, directors  and senior officials",Managers and directors in transport and distribution,1161,0.313880831
"Managers, directors  and senior officials",Managers and directors in storage and warehousing,1162,0.351351172
"Managers, directors  and senior officials",Officers in armed forces,1171,0.230446339
"Managers, directors  and senior officials",Senior police officers,1172,0.229961649
"Managers, directors  and senior officials","Senior officers in fire, ambulance, prison and related services",1173,0.243469208
"Managers, directors  and senior officials",Health services and public health managers and directors,1181,0.237800971
"Managers, directors  and senior officials",Social services managers and directors,1184,0.242219135
"Managers, directors  and senior officials",Managers and directors in retail and wholesale,1190,0.370123833
"Managers, directors  and senior officials",Managers and proprietors in agriculture and horticulture,1211,0.364374191
"Managers, directors  and senior officials","Managers and proprietors in forestry, fishing and related services",1213,0.350839496
"Managers, directors  and senior officials",Hotel and accommodation managers and proprietors,1221,0.362990916
"Managers, directors  and senior officials",Restaurant and catering establishment managers and proprietors,1223,0.387543857
"Managers, directors  and senior officials",Publicans and managers of licensed premises,1224,0.391756058
"Managers, directors  and senior officials",Leisure and sports managers,1225,0.31591773
"Managers, directors  and senior officials",Travel agency managers and proprietors,1226,0.316491693
"Managers, directors  and senior officials",Health care practice managers,1241,0.302666813
"Managers, directors  and senior officials","Residential, day and domiciliary  care managers and proprietors",1242,0.299099058
"Managers, directors  and senior officials","Property, housing and estate managers",1251,0.314797759
"Managers, directors  and senior officials",Garage managers and proprietors,1252,0.364730954
"Managers, directors  and senior officials",Hairdressing and beauty salon managers and proprietors,1253,0.365543485
"Managers, directors  and senior officials",Shopkeepers and proprietors – wholesale and retail,1254,0.420545548
"Managers, directors  and senior officials",Waste disposal and environmental services managers,1255,0.304165751
"Managers, directors  and senior officials",Managers and proprietors in other services n.e.c.,1259,0.302388519
Professional  occupations,Chemical scientists,2111,0.259506017
Professional  occupations,Biological scientists and biochemists,2112,0.228161231
Professional  occupations,Physical scientists,2113,0.221268892
Professional  occupations,Social and humanities scientists,2114,0.233513817
Professional  occupations,Natural and social science professionals n.e.c.,2119,0.221383512
Professional  occupations,Civil engineers,2121,0.252381444
Professional  occupations,Mechanical engineers,2122,0.29163757
Professional  occupations,Electrical engineers,2123,0.295017749
Professional  occupations,Electronics engineers,2124,0.287290037
Professional  occupations,Design and development engineers,2126,0.277615786
Professional  occupations,Production and process engineers,2127,0.308938056
Professional  occupations,Engineering professionals n.e.c.,2129,0.288824409
Professional  occupations,IT specialist managers,2133,0.244145036
Professional  occupations,IT project and programme managers,2134,0.244920313
Professional  occupations,"IT business analysts, architects and systems designers",2135,0.284349263
Professional  occupations,Programmers and software development professionals,2136,0.273858935
Professional  occupations,Web design and development professionals,2137,0.29557386
Professional  occupations,Information technology and telecommunications professionals n.e.c.,2139,0.279661477
Professional  occupations,Conservation professionals,2141,0.242087513
Professional  occupations,Environment professionals,2142,0.237091467
Professional  occupations,Research and development managers,2150,0.22232379
Professional  occupations,Medical practitioners,2211,0.181066126
Professional  occupations,Psychologists,2212,0.20866923
Professional  occupations,Pharmacists,2213,0.241812482
Professional  occupations,Ophthalmic opticians,2214,0.266083717
Professional  occupations,Dental practitioners,2215,0.207848176
Professional  occupations,Veterinarians,2216,0.235013276
Professional  occupations,Medical radiographers,2217,0.209850505
