Category,Household spending per week (£'s)
Total expenditure,572.6
Food and non-alcoholic drinks,60.6
Food ,55.7
"Bread, rice and cereals",5.5
Rice,0.4
Bread,2.6
Other breads and cereals,2.4
Pasta products,0.4
"Buns, cakes, biscuits etc",3.9
"Buns, crispbread and biscuits",2.3
Cakes and puddings,1.6
Pastry (savoury),0.9
"Beef (fresh, chilled or frozen)",2
"Pork (fresh, chilled or frozen)",0.6
"Lamb (fresh, chilled or frozen)",0.6
"Poultry (fresh, chilled or frozen)",2.3
Bacon and ham,0.9
Other meats and meat preparations,6.4
Sausages,0.9
"Offal, pate etc",0.1
Other preserved or processed meat and meat preparations,5.4
"Other fresh, chilled or frozen edible meat",0
Fish and fish products,2.9
"Fish (fresh, chilled or frozen)",1
"Seafood, dried, smoked or salted fish",0.6
Other preserved or processed fish and seafood,1.3
Milk,2.2
Whole milk,0.4
Low fat milk,1.5
Preserved milk,0.3
Cheese and curd,2
Eggs,0.7
Other milk products,2.3
Other milk products,1.2
Yoghurt,1.2
Butter,0.5
"Margarine, other vegetable fats and peanut butter",0.6
Cooking oils and fats,0.3
Olive oil,0.2
Edible oils and other edible animal fats,0.2
Fresh fruit,4
Citrus fruits (fresh),0.6
Bananas (fresh),0.5
Apples (fresh),0.6
Pears (fresh),0.2
Stone fruits (fresh),0.6
Berries (fresh),1.5
"Other fresh, chilled or frozen fruits",0.5
Dried fruit and nuts,0.8
Preserved fruit and fruit based products,0.1
Fresh vegetables,4.3
Leaf and stem vegetables (fresh or chilled),1
Cabbages (fresh or chilled),0.4
"Vegetables grown for their fruit (fresh, chilled or frozen)",1.5
"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen)",1.4
Dried vegetables,0.1
Other preserved or processed vegetables,1.7
Potatoes,0.8
Other tubers and products of tuber vegetables,1.6
Sugar and sugar products,0.4
Sugar,0.2
Other sugar products,0.2
"Jams, marmalades",0.3
Chocolate,2.1
Confectionery products,0.8
Edible ices and ice cream,0.7
Other food products,2.6
"Sauces, condiments",1.2
"Baker's yeast, dessert preparations, soups",1.1
"Salt, spices, culinary herbs and other food products",0.3
Non-alcoholic drinks,4.9
Coffee,0.9
Tea,0.4
Cocoa and powdered chocolate,0.1
Fruit and vegetable juices,1.1
Mineral or spring waters,0.4
Soft drinks (inc. fizzy and ready to drink fruit drinks),2
"Alcoholic drink, tobacco and narcotics",12.4
Alcoholic drinks,8.7
Spirits and liqueurs (brought home),2
"Wines, fortified wines (brought home)",4.5
Wine from grape or other fruit (brought home),3.8
Fortified wine (brought home),0.1
Champagne and sparkling wines (brought home),0.5
"Beer, lager, ciders and perry (brought home)",2.2
Beer and lager (brought home),1.8
Ciders and perry (brought home),0.4
Alcopops (brought home),0
Tobacco and narcotics,3.8
Cigarettes,2.6
"Cigars, other tobacco products and narcotics",1.1
Cigars,0.1
Other tobacco,1.1
Narcotics,0
Clothing and footwear,24.3
Clothing,19.6
Men's outer garments,5.1
Men's under garments,0.5
Women's outer garments,8.4
Women's under garments,1.2
Boys' outer garments (5-15),1
Girls' outer garments (5-15),1
Infants' outer garments (under 5),0.7
Children's under garments (under 16),0.4
Accessories,0.8
Men's accessories,0.3
Women's accessories,0.3
Children's accessories,0.1
Protective head gear (crash helmets),0.1
"Haberdashery, clothing materials and clothing hire",0.3
"Dry cleaners, laundry and dyeing",0.2
Dry cleaners and dyeing,0.2
"Laundry, launderettes",0
Footwear,4.8
Footwear for men,1.6
Footwear for women,2.3
Footwear for children (5 to 15 years) and infants (under 5),0.9
Repair and hire of footwear,0
"Housing(net), fuel and power",76.1
Actual rentals for housing,50.1
Net rent (the amount spent on rent after removing housing benefit and related allowances),36.1
Second dwelling - rent,0
Maintenance and repair of dwelling,8.2
Central heating repairs,1.3
House maintenance etc,5
"Paint, wallpaper, timber",1.3
"Equipment hire, small materials",0.6
Water supply and miscellaneous services relating to the dwelling,9.3
Water charges,7.5
Other regular housing payments including service charge for rent,1.7
"Refuse collection, including skip hire",0.1
"Electricity, gas and other fuels",22.5
Electricity,11.4
Gas,9.8
Other fuels,1.3
Coal and coke,0.1
Oil for central heating,1
"Paraffin, wood, peat, hot water etc",0.2
Household goods and services ,40.7
"Furniture and furnishings, carpets and other floor coverings",22.6
Furniture and furnishings,18.8
Furniture,17.2
"Fancy, decorative goods",1
Garden furniture,0.6
Floor coverings,3.8
Soft floor coverings,3.5
Hard floor coverings,0.3
Household textiles,2.2
"Bedroom textiles, including duvets and pillows",1
"Other household textiles, including cushions, towels, curtains",1.2
Household appliances,4.3
Gas cookers,0
"Electric cookers, combined gas/electric cookers",0.2
Clothes washing machines and drying machines,0.7
"Refrigerators, freezers and fridge-freezers",0.5
"Other major electrical appliances, dishwashers, micro-waves vacuum cleaners, heaters etc",1.9
"Fire extinguisher, water softener, safes etc",0
"Small electric household appliances, excluding hairdryers",0.5
Repairs to gas and electrical appliances and spare parts,0.5
Rental/hire of major household appliances,0
"Glassware, tableware and household utensils",1.9
"Glassware, china, pottery, cutlery and silverware",0.7
Kitchen and domestic utensils,0.8
"Repair of glassware, tableware and household utensils",0
Storage and other durable household articles,0.5
Tools and equipment for house and garden,2.9
Electrical tools,0.4
"Garden tools, equipment and accessories eg lawn mowers etc",0.4
Small tools,0.4
"Door, electrical and other fittings",0.8
Electrical consumables,0.9
Goods and services for routine household maintenance,6.7
Cleaning materials,2.4
"Detergents, washing-up liquid, washing powder",1
"Disinfectants, polishes, other cleaning materials etc",1.4
Household goods and hardware,1.7
Kitchen disposables,1
"Household hardware and appliances, matches",0.3
"Kitchen gloves, cloths etc",0.1
"Pins, needles, tape measures, nails, nuts and bolts etc",0.2
"Domestic services, carpet cleaning, hire/repair of furniture/furnishings",2.7
"Domestic services, including cleaners, gardeners, au pairs",2.1
"Carpet cleaning, ironing service, window cleaner",0.5
Hire/repair of household furniture and furnishings,0
Health,6.9
"Medical products, appliances and equipment",3.8
"Medicines, prescriptions and healthcare products",2.1
NHS prescription charges and payments,0.3
Medicines and medical goods (not NHS),1.6
"Other medical products (eg plasters, condoms, hot water bottle etc)",0.2
