id,unique,value
"Managers,  directors &  senior officials",Chief executives and senior officials,97708
"Managers,  directors &  senior officials",Production managers and directors in manufacturing,48604
"Managers,  directors &  senior officials",Production managers and directors in construction,47287
"Managers,  directors &  senior officials",Production managers and directors in mining and energy,46223
"Managers,  directors &  senior officials",Financial managers and directors,66353
"Managers,  directors &  senior officials",Marketing and sales directors,80411
"Managers,  directors &  senior officials",Purchasing managers and directors,49100
"Managers,  directors &  senior officials",Human resource managers and directors,47800
"Managers,  directors &  senior officials",Information technology and telecommunications directors,69409
"Managers,  directors &  senior officials",Functional managers and directors n.e.c.,57538
"Managers,  directors &  senior officials",Financial institution managers and directors,49495
"Managers,  directors &  senior officials",Managers and directors in transport and distribution,39504
"Managers,  directors &  senior officials",Managers and directors in storage and warehousing,30001
"Managers,  directors &  senior officials",Senior police officers,58854
"Managers,  directors &  senior officials","Senior officers in fire, ambulance, prison and related services",44258
"Managers,  directors &  senior officials",Health services and public health managers and directors,50000
"Managers,  directors &  senior officials",Social services managers and directors,39696
"Managers,  directors &  senior officials",Managers and directors in retail and wholesale,29109
"Managers,  directors &  senior officials",Managers and proprietors in agriculture and horticulture,32415
"Managers,  directors &  senior officials","Managers and proprietors in forestry, fishing and related services",29257
"Managers,  directors &  senior officials",Hotel and accommodation managers and proprietors,31168
"Managers,  directors &  senior officials",Restaurant and catering establishment managers and proprietors,25371
"Managers,  directors &  senior officials",Publicans and managers of licensed premises,28037
"Managers,  directors &  senior officials",Leisure and sports managers,31510
"Managers,  directors &  senior officials",Health care practice managers,33070
"Managers,  directors &  senior officials","Residential, day and domiciliary  care managers and proprietors",33664
"Managers,  directors &  senior officials","Property, housing and estate managers",35070
"Managers,  directors &  senior officials",Hairdressing and beauty salon managers and proprietors,24404
"Managers,  directors &  senior officials",Shopkeepers and proprietors – wholesale and retail,27582
"Managers,  directors &  senior officials",Waste disposal and environmental services managers,42549
"Managers,  directors &  senior officials",Managers and proprietors in other services n.e.c.,31693
Professional,Chemical scientists,32145
Professional,Biological scientists and biochemists,38526
Professional,Physical scientists,43605
Professional,Social and humanities scientists,32033
Professional,Natural and social science professionals n.e.c.,38236
Professional,Civil engineers,41117
Professional,Mechanical engineers,41099
Professional,Electrical engineers,49674
Professional,Electronics engineers,44383
Professional,Design and development engineers,42434
Professional,Production and process engineers,40647
Professional,Engineering professionals n.e.c.,42857
Professional,IT specialist managers,47807
Professional,IT project and programme managers,48051
Professional,"IT business analysts, architects and systems designers",47948
Professional,Programmers and software development professionals,42984
Professional,Web design and development professionals,32000
Professional,Information technology and telecommunications professionals n.e.c.,42473
Professional,Conservation professionals,33243
Professional,Environment professionals,34774
Professional,Research and development managers,48020
Professional,Medical practitioners,72019
Professional,Psychologists,42732
Professional,Pharmacists,42674
Professional,Ophthalmic opticians,45770
Professional,Veterinarians,37601
Professional,Medical radiographers,38069
Professional,Podiatrists,35618
