id,parentId,name,size,realsize,percent
c0,NULL,Total,305683,305683,null
c1,c0,Head and neck ,9946,9946,3.3
c1_1,c1,Lip,195,195,0.1
c1_2,c1,Tongue,1112,1112,0.4
c1_3,c1,Other and unspecified parts of tongue,1233,1233,0.4
c1_4,c1,Gum,416,416,0.1
c1_5,c1,Floor of mouth,462,462,0.2
c1_6,c1,Palate,428,428,0.1
c1_7,c1,Other and unspecified parts of mouth,533,533,0.2
c1_8,c1,Parotid gland,402,402,0.1
c1_9,c1,Other and unspecified major salivary glands,126,126,0.04
c1_10,c1,Tonsil,1632,1632,0.5
c1_11,c1,Propharynx,238,238,0.1
c1_12,c1,Nasopharynx,218,218,0.1
c1_13,c1,Pyriform sinus,285,285,0.1
c1_14,c1,Hypopharynx,277,277,0.1
c1_15,c1,"Other and ill-defined sites in the lip, oral cavity and pharynx",30,30,0.01
c1_16,c1,Nasal cavity and middle ear,335,335,0.1
c1_17,c1,Sinuses,194,194,0.1
c1_18,c1,Larynx,1830,1830,0.6
c2,c0,Colorectal,34825,34825,11.4
c2_1,c2,Colon,23243,23243,7.6
c2_2,c2,Rectosigmoid junction,1968,1968,0.6
c2_3,c2,Rectum,9614,9614,3.1
c3,c0,Rest of Digestive tract,31360,31360,10.3
c3_1,c3,Oesophagus,7569,7569,2.5
c3_2,c3,Stomach,5143,5143,1.7
c3_3,c3,Small intestine,1473,1473,0.5
c3_4,c3,Anus and anal canal,1226,1226,0.4
c3_5,c3,Liver ,4975,4975,1.6
c3_6,c3,Gallbladder,892,892,0.3
c3_7,c3,Other and unspecified parts of biliary tract,955,955,0.3
c3_8,c3,Pancreas,8829,8829,2.9
c3_9,c3,Other and ill-defined digestive organs,298,298,0.1
c4,c0,Lung,38906,38906,12.7
c4_1,c4,Trachea,18,18,0.01
c4_2,c4,Bronchus and lung,38888,38888,12.7
c7,c0,Melanoma of the skin,13740,13740,4.5
c8,c0,Gynecological,18026,18026,5.9
c8_1,c8,Vulva,1107,1107,0.4
c8_2,c8,Vagina,207,207,0.1
