year,debt
1948,26766
1949,23882
1950,20817
1951,20223
1952,18555
1953,18324
1954,17160
1955,16613
1956,16554
1957,16720
1958,16685
1959,16629
1960,17118
1961,17393
1962,18189
1963,18042
1964,17445
1965,16395
1966,16147
1967,15266
1968,14982
1969,14391
1970,14267
1971,13720
1972,12498
1973,11407
1974,10459
1975,9488
1976,8334
1977,7841
1978,7881
1979,8178
1980,7899
1981,7021
1982,6775
1983,6381
1984,6037
1985,6141
1986,6313
1987,6272
1988,6270
1989,5808
1990,5564
1991,5158
1992,4539
1993,4258
1994,4098
1995,3968
1996,3989
1997,3824
1998,3605
1999,3635
2000,3399
2001,3267
2002,3168
2003,3306
2004,3271
2005,3248
2006,3368
2007,3345
2008,3369
2009,3312
2010,3140
2011,3154
2012,3040
2013,2767
2014,2689
2015,2721
2016,2711
