date,net migration,immigration,emigration
1964,-131000,71000,202000
1965,-148000,71000,219000
1966,-152000,78000,230000
1967,-155000,83000,238000
1968,-115000,93000,208000
1969,-139000,82000,221000
1970,-119000,95000,215000
1971,-79000,92000,171000
1972,-49000,111000,160000
1973,-93000,83000,176000
1974,-120000,79000,199000
1975,-84000,85000,169000
1976,-50000,87000,137000
1977,-71000,73000,143000
1978,-53000,74000,126000
1979,-48000,78000,126000
1980,-83000,67000,150000
1981,-104000,60000,164000
1982,-88000,98000,186000
1983,-26000,96000,122000
1984,-7000,95000,103000
1985,1000,110000,108000
1986,-11000,120000,132000
1987,-32000,98000,130000
1988,-54000,89000,143000
1989,-17000,105000,122000
1990,-30000,106000,135000
1991,-44000,110000,154000
1992,-62000,93000,155000
1993,-62000,86000,149000
1994,-16000,109000,125000
1995,-51000,84000,135000
1996,-62000,94000,156000
1997,-59000,90000,149000
1998,-22000,104000,126000
1999,-24000,115000,139000
2000,-62000,99000,161000
2001,-48000,110000,159000
2002,-88000,98000,186000
2003,-91000,100000,191000
2004,-104000,92000,196000
2005,-88000,99000,186000
2006,-124000,83000,207000
2007,-97000,74000,171000
2008,-87000,85000,173000
2009,-44000,96000,140000
2010,-43000,93000,136000
2011,-70000,78000,149000
2012,-63000,80000,143000
2013,-57000,77000,134000
2014,-55000,81000,137000
2015,-40000,84000,124000
