Year,occ1,proportion female,median hourly earnings
2011,"Managers, directors and senior officials",27.0,24.6
2011,Professional occupations,41.6,23.5
2011,Associate professional and technical occupations,35.4,19.1
2011,Administrative and secretarial occupations,73.0,12.9
2011,Skilled trades occupations,7.1,13.7
2011,"Caring, leisure and other service occupations",73.4,10.4
2011,Sales and customer service occupations,57.3,10.0
2011,"Process, plant and machine operatives",8.7,11.5
2011,Elementary occupations,28.5,9.8
2019,"Managers, directors and senior officials",32.4,25.3
2019,Professional occupations,44.0,23.5
2019,Associate professional and technical occupations,38.3,18.6
2019,Administrative and secretarial occupations,70.5,12.7
2019,Skilled trades occupations,8.1,13.5
2019,"Caring, leisure and other service occupations",73.8,10.5
2019,Sales and customer service occupations,52.2,10.6
2019,"Process, plant and machine operatives",10.6,11.8
2019,Elementary occupations,30.4,10.0
