name,group,Region,quadrant,jobdensity,imd
Carlton in Lindrick BUA,Small,East Midlands,Most Deprived Residential,0.357,22
Dorchester (West Dorset) BUA,Small,South West,Mid Deprived Working,1.778,58
Ely BUA,Small,East of England,Least Deprived Working,0.898,76
Market Weighton BUA,Small,Yorkshire and The Humber,Least Deprived Residential,0.492,74
Downham Market BUA,Small,East of England,Mid Deprived Residential,0.548,40
Penrith BUA,Small,North West,Least Deprived Working,1.184,66
Bolsover BUA,Small,East Midlands,Most Deprived Residential,0.319,16
March BUA,Medium,East of England,Most Deprived Residential,0.377,29
Southam BUA,Small,West Midlands,Least Deprived Working,0.86,72
Royston BUA,Small,East of England,Least Deprived Working,0.714,87
Studley BUA,Small,West Midlands,Mid Deprived Working,0.763,54
Irthlingborough BUA,Small,East Midlands,Mid Deprived Residential,0.408,44
Freshwater BUA,Small,South East,Most Deprived Working,0.762,30
Barnoldswick BUA,Small,North West,Mid Deprived Mixed,0.577,50
Wirksworth BUA,Small,East Midlands,Mid Deprived Residential,0.467,59
Dalton-in-Furness BUA,Small,North West,Mid Deprived Working,0.292,52
Bedlington BUA,Small,North East,Most Deprived Residential,0.307,21
Brigg BUA,Small,Yorkshire and The Humber,Most Deprived Working,0.952,26
Widnes BUA,Medium,North West,Most Deprived Mixed,0.686,18
Hethersett BUA,Small,East of England,Least Deprived Residential,0.419,85
Coningsby Airfield BUA,Small,East Midlands,Mid Deprived Mixed,0.56,45
Amble BUA,Small,North East,Most Deprived Residential,0.375,18
Skelton (Redcar and Cleveland) BUA,Small,North East,Most Deprived Working,0.305,12
Seaford BUA,Medium,South East,Mid Deprived Residential,0.383,59
Ryhill BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.128,10
Budleigh Salterton BUA,Small,South West,Least Deprived Residential,0.43,75
Great Dunmow BUA,Small,East of England,Least Deprived Working,0.761,69
Wideopen BUA,Small,North East,Mid Deprived Residential,0.436,45
Frodsham BUA,Small,North West,Least Deprived Residential,0.477,63
Rothwell BUA,Small,East Midlands,Most Deprived Residential,0.36,33
Chard BUA,Small,South West,Most Deprived Working,0.708,31
Hook (Hart) BUA,Small,South East,Least Deprived Working,1.107,97
Rainworth BUA,Small,East Midlands,Most Deprived Mixed,0.255,35
Beverley BUA,Medium,Yorkshire and The Humber,Least Deprived Working,0.908,60
Haverhill BUA,Medium,East of England,Mid Deprived Residential,0.553,49
St Leonards BUA,Small,South West,Least Deprived Residential,0.501,97
Upton (Wakefield) BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.122,18
Wincanton BUA,Small,South West,Mid Deprived Working,0.772,47
Chinnor BUA,Small,South East,Least Deprived Residential,0.327,96
Thurcroft BUA,Small,Yorkshire and The Humber,Mid Deprived Working,0.276,5
Exmouth BUA,Medium,South West,Mid Deprived Residential,0.463,53
Bolton-le-Sands BUA,Small,North West,Least Deprived Residential,0.486,91
Crediton BUA,Small,South West,Mid Deprived Mixed,0.69,50
Henley-on-Thames BUA,Small,South East,Least Deprived Working,1.154,88
Snodland BUA,Small,South East,Most Deprived Residential,0.439,35
Meltham BUA,Small,Yorkshire and The Humber,Mid Deprived Residential,0.385,55
Minehead BUA,Small,South West,Mid Deprived Working,0.838,41
Daventry BUA,Medium,East Midlands,Most Deprived Working,0.924,35
Keyworth BUA,Small,East Midlands,Least Deprived Residential,0.465,87
Deal BUA,Medium,South East,Most Deprived Working,0.292,30
Hythe BUA,Medium,South East,Least Deprived Residential,0.334,64
Ibstock BUA,Small,East Midlands,Mid Deprived Residential,0.343,50
Market Deeping BUA,Small,East Midlands,Least Deprived Residential,0.544,71
Horncastle BUA,Small,East Midlands,Most Deprived Working,0.779,36
Glastonbury BUA,Small,South West,Most Deprived Mixed,0.676,17
Witham BUA,Medium,East of England,Most Deprived Working,0.846,31
Holmes Chapel BUA,Small,North West,Least Deprived Mixed,0.68,96
Whaley Bridge BUA,Small,East Midlands,Least Deprived Residential,0.543,82
Gerrards Cross BUA,Medium,South East,Least Deprived Working,1.005,97
Ulverston BUA,Small,North West,Mid Deprived Working,0.861,54
Chapeltown BUA,Medium,Yorkshire and The Humber,Mid Deprived Mixed,0.578,50
