AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16
Hartlepool,E06000001,14.72054601,15.03893689,15.13782504,15.35752327,15.51527677,15.6447127,15.9064716,16.24243693,16.9604962,17.17798465,17.46785052,17.4677508,17.29751201,17.16632793,17.11736496,17.66067666
Middlesbrough,E06000002,15.25880296,15.18353737,15.22369305,15.36560907,15.73407309,16.04312193,16.25620904,16.43614707,16.48732752,16.6139644,16.82721418,16.92267963,17.01688077,16.67659011,16.47961491,16.49541759
Redcar and Cleveland,E06000003,15.78237636,15.76399142,15.94831398,16.29617374,16.78661386,16.83947298,17.20575048,17.50275975,18.00495092,18.00901157,18.01807508,18.08962462,18.0386037,18.01476986,17.95176212,18.11632357
Stockton-on-Tees,E06000004,15.47255386,15.86220156,15.92495677,16.38236948,16.49619456,16.63876491,16.64647535,16.87934844,17.34056761,17.68121024,18.09518292,18.15675028,18.13820994,17.97073041,18.10554021,18.20517236
Darlington,E06000005,15.16245699,15.47819627,15.95911105,16.37404033,16.90167487,17.1883642,17.36225713,17.47739928,17.67862482,17.82520134,18.12126166,18.02579909,17.97122985,17.98129365,18.24265043,18.78394753
Halton,E06000006,14.79537032,15.02809795,15.28530154,15.51595403,15.82120397,15.6673048,15.87180198,16.08916579,16.65357287,16.90740883,17.0274284,17.13483242,17.30489664,17.35255068,17.50678175,17.39335914
Warrington,E06000007,15.42067342,15.53858067,15.89890493,16.07490987,16.13218982,16.35834187,16.95005568,17.30505558,17.67724964,17.52741156,17.72308322,17.71683423,17.80524896,18.07578307,18.22260002,18.33154476
Blackburn with Darwen,E06000008,15.08702508,15.12668429,15.49421821,15.75437647,15.85556315,16.1653634,16.11027539,16.63508154,16.79540716,17.30825442,17.24643761,17.32703698,17.53560596,17.43369235,17.37454271,17.34143764
Blackpool,E06000009,15.06751277,15.29741321,15.38590577,15.70084681,15.94385298,16.21077334,16.06796132,15.98316308,16.10170979,16.42144517,16.5810073,16.75330929,16.49359005,16.52001948,16.53537413,16.70600778
"Kingston upon Hull, City of",E06000010,15.18883899,15.37919181,15.48537552,15.70516534,15.80019434,15.85241006,15.9570605,16.31477341,16.43253403,16.76101422,16.77336703,16.79197489,16.70071639,16.55677828,16.46341535,16.47098395
East Riding of Yorkshire,E06000011,16.44559784,16.64083494,16.94664613,17.37245385,17.81872319,17.92816608,18.11386396,18.1108694,18.31385466,18.50343368,18.64737892,18.83641566,18.74791588,18.79921046,18.82024891,19.05263756
North East Lincolnshire,E06000012,15.51890683,15.7759153,16.12664759,16.47232601,16.4774793,16.47589018,16.63009127,16.88993347,17.49043217,17.65866076,17.73175066,17.79540585,17.92092628,17.91877819,17.7343005,17.71414984
North Lincolnshire,E06000013,15.83214525,16.07518229,16.32128786,16.78083125,17.10379692,17.27006931,17.2705055,17.61086715,17.83727401,17.8903526,17.70296102,17.92786773,18.11043117,18.07449413,18.07477792,18.07842915
