AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16
Hartlepool,E06000001,73.41968437,73.38168743,74.17051966,74.48323534,75.0306907,75.22031654,75.38799868,75.95474187,76.49901943,77.2436626,77.61941275,77.58048093,76.81966445,76.43001002,76.08439931,76.81525379
Middlesbrough,E06000002,73.68191984,73.92399365,73.94739283,74.35008932,74.75542171,75.12375002,75.29871831,75.65571413,75.77068108,76.24457013,76.61045718,76.15494555,76.07659929,75.72981775,75.70143237,75.27491069
Redcar and Cleveland,E06000003,75.12934313,74.86875412,75.11938712,75.84926118,76.48059321,76.93832842,77.33763284,77.8232595,78.24232295,78.45755489,78.43034701,78.42992562,78.05656032,77.77351682,77.69951876,77.98792968
Stockton-on-Tees,E06000004,75.27650359,75.39974992,75.55434041,75.74409596,76.1788841,76.07617985,76.62626325,77.19872306,77.91511972,78.18509062,78.3130507,78.27896931,78.12667784,78.0450266,78.14028316,78.13823453
Darlington,E06000005,74.79984761,74.79249148,75.25235989,75.27142159,76.35364205,76.4186527,76.73210686,77.19871433,77.85830614,78.53662173,78.26577894,78.12529941,77.92610674,78.20003169,78.4112454,78.71823745
Halton,E06000006,73.92212286,74.14945155,74.51072685,74.3946468,74.62063688,74.96117236,75.33837377,75.84407595,76.44668928,77.04677314,77.25733473,77.22734481,77.4868819,77.49141431,77.44086413,77.08129896
Warrington,E06000007,75.65222294,75.7648651,75.91290842,76.10496188,76.2565558,76.68566134,77.40034499,77.79243534,77.99603629,78.06713174,78.25065641,78.54803073,78.50480873,78.92106056,78.93543309,79.21144646
Blackburn with Darwen,E06000008,74.03893464,74.00810865,74.46582921,74.38344144,74.37443175,74.63064149,74.81551218,75.30655799,75.68763811,76.42771648,76.7364285,76.74242459,76.51982355,76.22311162,76.6217631,76.94144108
Blackpool,E06000009,72.01533134,72.85176657,73.18696131,73.34887489,73.17946146,73.58301811,73.72484764,73.71453308,73.71847678,73.93876602,74.28575705,74.64127129,74.29221187,74.2661205,74.15714471,74.46270908
"Kingston upon Hull, City of",E06000010,73.71431011,74.24304802,74.30698587,74.57647122,74.62985722,74.78170247,74.92863077,75.44343202,75.87735258,76.54938684,76.51469536,76.60664791,76.52702792,76.30322592,75.94179649,75.99082739
East Riding of Yorkshire,E06000011,77.17032138,77.35919194,77.56373884,77.92830454,78.40870454,78.57569383,78.96461148,78.90307172,79.28703361,79.46270865,79.91799949,80.16965368,80.22299692,80.10127489,79.99734277,80.10575846
North East Lincolnshire,E06000012,74.57162548,75.03494223,75.31770589,75.80339829,75.90881521,75.81179577,75.85445826,76.44120451,77.55259628,77.78827938,77.83986482,77.84674273,77.88789632,77.76236412,77.21220271,77.56571242
North Lincolnshire,E06000013,75.48126761,75.90281844,76.19378081,76.78223771,77.08846164,77.22167675,77.4906982,77.80680501,78.41037532,78.23695622,78.02944698,78.21412839,78.69091791,78.9487729,78.95760877,78.97058702
York,E06000014,76.84242712,77.27303103,77.25010031,77.78414516,78.31119118,78.97334774,79.14747634,79.35954093,79.22716391,79.46453555,79.33823974,80.04513169,80.20268344,80.36913774,80.16616483,80.09988506
Derby,E06000015,75.86277042,76.02334151,76.38012216,76.60061772,76.7071374,76.83432212,77.01997009,77.39487955,78.08254136,78.48419689,78.42846877,78.18122792,78.03371689,78.20873378,78.48008273,78.57524504
Leicester,E06000016,74.23544275,74.56973498,74.76155304,75.47588865,75.57201532,75.74034458,75.60679674,75.69427048,76.18307773,76.93526932,77.17873721,77.33740293,77.12510444,77.25045477,77.00376259,77.15362219
Rutland,E06000017,79.21432542,79.58718892,79.44768757,80.41979913,79.97336668,79.67994802,80.00847171,80.76393856,81.59556651,80.79379895,81.06609838,81.39241869,81.81057763,82.18443359,82.39544068,82.78983337
Nottingham,E06000018,72.93541141,73.32529556,73.57335154,74.39945724,74.70116846,75.20462298,75.32363519,75.87791482,76.16754412,76.84269264,76.98151131,77.08208318,76.76814694,76.95584734,77.02490875,77.18975019
"Herefordshire, County of",E06000019,77.14583399,77.35398652,77.47800139,77.7058773,77.96343203,78.33389351,78.87126893,79.04301713,79.32694432,79.62220265,80.00261652,80.51796018,80.45185058,80.08626638,79.77134177,79.69695321
Telford and Wrekin,E06000020,75.76274031,76.2998248,76.40818378,76.8479768,76.80110067,77.18095099,77.15350338,77.26609819,77.37128899,77.78666593,78.13449444,78.58881551,78.35996472,78.63609369,78.50030495,78.62245643
Stoke-on-Trent,E06000021,73.33420353,73.16996199,73.68040076,74.50262733,74.91395894,75.33989468,75.41580404,76.09493524,76.4022164,76.58257905,76.4623793,76.50297034,76.45212006,76.43213434,76.49571404,76.38713114
Bath and North East Somerset,E06000022,77.92326953,78.30535064,78.70024914,79.23184205,79.48242144,79.71424871,79.71582363,79.78819021,79.90883343,80.43984233,80.71130067,81.16229223,80.9638149,80.68249484,80.55835896,80.65182466
"Bristol, City of",E06000023,75.27751832,75.841625,76.33957936,76.86918307,76.88318195,76.76016759,77.02235475,77.32394594,77.93514297,78.23209414,78.18896535,78.31467954,78.43877913,78.78436358,78.72491499,78.44745537
North Somerset,E06000024,77.2398683,77.67395621,78.17517619,78.67442522,78.92757927,78.80997453,78.90284344,78.89792155,79.25421636,79.47177612,80.02501309,80.19649587,80.34994133,79.89146746,80.04621453,79.9758216
South Gloucestershire,E06000025,78.61322469,78.982516,79.12499829,79.25907119,79.30582387,79.66901434,80.19070192,80.32067877,80.45351557,80.84172066,81.0606493,81.37128688,81.20661654,81.33893632,81.11264152,81.19209213
Plymouth,E06000026,75.69286172,75.85570912,76.00032289,76.45149779,76.74397387,77.18080033,77.25611388,77.66318705,77.86967094,78.19756328,78.11010123,78.36299258,78.55745812,78.91194974,78.95076532,78.96341057
Torbay,E06000027,76.36335471,76.35690673,76.35077928,76.74626,77.07536396,77.73233554,77.55831279,77.79492788,78.24528285,79.00307716,79.07261643,79.05229688,78.87138023,78.75482068,78.66094477,78.58595797
