AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16
Hartlepool,E06000001,17.71077673,17.67570656,17.7665751,17.8340082,17.95813451,18.58576742,18.91306251,19.35439621,19.54673419,19.81399351,19.94515741,20.15963114,19.93104944,19.99938393,19.87685411,19.99925974
Middlesbrough,E06000002,17.83557114,17.88132692,18.1575097,18.45641293,18.46631384,18.34277842,18.31108125,18.56103209,18.95367595,18.89518145,19.03131035,18.90202388,19.00374869,18.8489296,18.91238955,19.19988158
Redcar and Cleveland,E06000003,18.49649048,18.9409064,19.11597423,19.13969897,19.24671087,19.36663494,19.82928179,20.05719215,20.20718289,20.22690968,20.18300502,20.58192214,20.46294627,20.39859745,20.25097674,20.35625398
Stockton-on-Tees,E06000004,18.39097677,18.58099396,18.58284764,18.58283266,18.76525312,19.0223222,19.21808058,19.73346226,20.09446035,20.46148515,20.37997641,20.44822369,20.2595221,20.111198,19.93427426,19.9676259
Darlington,E06000005,18.3449911,18.47357709,18.66981103,18.94832052,19.16914696,19.24258139,19.38790635,19.72987964,20.41711738,20.52622229,20.50592312,20.4804273,20.34786251,20.41231963,20.29289254,20.35936059
Halton,E06000006,17.45201277,17.54212815,17.73586026,17.96059406,18.11466094,17.99664127,18.4092066,18.84254265,19.35294634,19.18978478,18.78932908,18.89053336,18.79292455,19.05829042,19.31048268,19.74238446
Warrington,E06000007,18.38061666,18.67033201,18.96076358,19.29104678,19.16614713,18.9967138,19.38433679,19.73592448,20.159414,20.18059348,20.03820309,20.00386952,19.98799679,20.06406632,20.16393363,20.31049256
Blackburn with Darwen,E06000008,17.565114,17.63550372,17.91034448,18.33511897,18.28887432,18.43678594,18.39250112,18.73492489,18.93681235,19.27799135,19.50449606,19.60209431,19.50913774,19.24047028,19.06539776,19.07325651
Blackpool,E06000009,17.97177298,18.09532965,18.32841563,18.56021396,18.58287877,18.63738847,19.09708096,19.25452755,19.51104047,19.25721126,19.37894066,19.39171721,19.26468467,19.2648772,19.113773,19.14748328
"Kingston upon Hull, City of",E06000010,18.1393026,18.02594836,18.12959511,18.29006982,18.32370233,18.45914922,18.76404205,19.1028625,19.27823086,19.29050556,19.32163827,19.1410205,18.97424571,18.93055022,18.85428311,18.88747854
East Riding of Yorkshire,E06000011,19.57166349,19.55462755,19.69304949,20.01734957,20.13121442,20.27344484,20.4320839,20.71490475,20.77895844,20.69464796,20.7724822,20.93959959,21.00345006,21.1294803,21.13616856,21.29287496
North East Lincolnshire,E06000012,19.15648734,19.09917162,19.36218727,19.5756342,19.57264556,19.32124189,19.46222136,19.71977258,20.28845115,20.19328404,20.31920515,20.33104321,20.64244335,20.67023379,20.47599903,20.58769493
North Lincolnshire,E06000013,19.22215602,19.39241056,19.5044313,19.6275875,19.57277045,19.55645797,19.58898817,20.16006982,20.286789,20.78585163,20.62771189,20.81484216,20.56925894,20.61724717,20.55931698,20.66618689
York,E06000014,19.69398663,19.88222744,20.35990181,20.63825094,20.77595471,20.61002779,20.80616509,20.73263178,21.06757837,21.16638313,21.51323842,21.41998469,21.46040195,21.43164031,21.54748363,21.56832944
Derby,E06000015,19.00639709,19.21126538,19.64615137,19.86608817,19.95762024,19.91277306,20.0643556,20.30101761,20.76291789,20.97510004,20.82124086,20.96556498,20.96786738,21.16517935,20.98899238,20.81465266
Leicester,E06000016,18.36846142,18.35452508,18.31394242,18.51409315,18.85552042,19.01983916,19.28613684,19.48655552,19.87616884,20.10556772,20.12941693,20.14824078,19.98149662,20.07470209,20.06879947,20.27547508
Rutland,E06000017,20.90095861,20.84438615,21.40579742,21.90296755,22.47512462,21.90597308,21.81626442,21.57864982,21.88226437,21.95802402,22.5731908,23.0407917,23.01403413,23.00049237,22.76256684,22.82934659
Nottingham,E06000018,18.3966019,18.60730807,18.81092625,19.21519733,19.38930432,19.35786298,19.37975282,19.70170393,20.09879131,20.1992581,20.3333726,20.25636508,20.06819189,19.76553636,19.65296152,19.94591888
"Herefordshire, County of",E06000019,20.24465921,20.26563155,20.21732117,20.59667772,20.6917029,20.89000826,20.78773259,21.20853074,21.55019383,21.77208928,21.80464976,21.84819502,21.66905446,21.56639307,21.57574746,21.60894994
Telford and Wrekin,E06000020,18.6783401,18.73788638,19.15003602,19.39966983,19.80032584,19.86435699,20.03762252,20.05794125,20.2192954,20.15189332,20.120334,20.308053,20.21573673,20.29229329,19.90347146,20.15882045
Stoke-on-Trent,E06000021,17.96392435,18.07231675,18.48378028,18.80664846,18.91759389,18.63387448,18.66969813,18.86633253,19.39534735,19.60309955,19.65641682,19.76019095,19.74826591,19.83968218,19.48403944,19.25286181
Bath and North East Somerset,E06000022,20.62115514,20.42103419,20.4415225,20.6579347,20.95030713,21.18530835,21.25029359,21.25668784,21.59508323,21.6859903,21.77305394,21.88862704,21.84813638,22.01483005,21.94347944,22.12857078
"Bristol, City of",E06000023,19.12410439,19.23072973,19.37771526,19.74051817,19.88451255,20.08970634,20.19110413,20.49155238,20.63343896,20.92452015,20.75549289,20.79765338,20.93183823,21.09549893,21.06297092,20.83164254
North Somerset,E06000024,19.87657,20.23498298,20.38299897,20.51637379,20.63570306,20.80284537,21.12353656,21.28612762,21.42875543,21.50326368,21.52997451,21.91137354,21.64244741,21.59299203,21.41743949,21.67623138
South Gloucestershire,E06000025,19.99123983,20.2224231,20.4426726,21.04333865,20.99751194,21.0849376,21.10620491,21.33552414,21.56090354,21.68314333,21.8494861,21.99185536,21.99200411,22.01007934,21.94979519,22.02876829
Plymouth,E06000026,19.23426403,19.22608502,19.54056057,19.93546191,20.08878278,20.17083945,20.15453096,20.24339964,20.49805716,20.4478405,20.57754041,20.61433747,20.85899436,20.77186754,20.40613085,20.29250371
Torbay,E06000027,19.64024553,19.9985311,20.14823515,20.89542585,20.85578006,20.91825094,20.85521339,21.02288322,20.96802236,20.98100744,21.06384646,21.21715155,20.97119659,20.83527145,20.78533474,21.02791424
Swindon,E06000030,18.82204315,18.90452909,19.11187446,19.29515181,19.37825898,19.7700469,20.14107473,20.58599236,20.65324877,20.72286118,20.67843493,20.93848953,20.90547557,21.04472853,20.75142278,20.83190683
Peterborough,E06000031,18.65054425,19.2316239,19.27009553,19.65207891,19.45806985,19.76996749,20.01607323,20.25245697,20.73141822,20.74921558,20.91492205,20.81457802,20.87089275,20.82904962,20.79270536,20.69718793
Luton,E06000032,18.28321411,18.56541217,18.81377119,18.939264,19.12834714,19.31396403,19.55156796,20.08621258,20.38079565,20.34996577,20.43049223,20.46309068,20.66479328,20.57608884,20.57103993,20.68482987
Southend-on-Sea,E06000033,19.08957813,19.28448873,19.37456499,19.5579156,19.86136063,19.96316673,20.2812703,20.30998524,20.69693145,20.82220848,20.85235559,20.9469877,20.89803275,20.97455505,20.58215569,20.3300736
Thurrock,E06000034,18.74220691,18.80421637,19.1568622,19.47571758,19.6471483,19.61785148,19.83429917,19.97228786,20.24262195,20.17865388,20.37594153,20.39419972,20.55559157,20.34025117,20.18586303,20.18173843
