AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16
Hartlepool,E06000001,78.39706272,78.29934183,78.37000211,78.36936289,78.13854045,78.95207751,79.71152779,80.88697864,80.97321288,81.34066796,81.5061926,81.6348281,81.33056139,81.26273808,81.39238789,81.33116982
Middlesbrough,E06000002,78.08626236,77.94954691,78.62856347,79.04201884,79.43690666,79.56186524,79.50827355,79.90590616,80.04473836,80.15629762,80.07798963,79.8298746,79.77845853,79.57933658,79.87309146,80.02233647
Redcar and Cleveland,E06000003,79.5183343,79.93511851,80.13204575,80.22018029,80.46239298,80.66324973,81.26316124,81.38735655,81.74704398,81.83686013,81.89203469,81.94442542,81.76520015,81.6864568,81.54869375,81.77703128
Stockton-on-Tees,E06000004,79.715707,79.88681228,79.92613651,80.14571792,80.6339208,80.67885022,80.86574657,81.32887709,81.60956357,82.12852691,82.10900636,82.148596,81.736467,81.34962623,81.38811389,81.41221436
Darlington,E06000005,79.57470225,79.83693548,80.03968357,80.02902842,80.37557257,80.47649782,80.79004643,81.42245907,82.12190869,82.51049725,82.35887232,82.17504586,81.92480984,82.1044289,82.30758491,82.387183
Halton,E06000006,78.25136626,78.20622424,78.32545108,78.45936338,78.75541108,79.04514385,79.47732702,79.9337592,80.52143011,80.44999612,80.34094592,80.56059865,80.53881191,80.63897089,80.71090373,81.11666393
Warrington,E06000007,79.99520104,80.4620515,80.66613073,80.95162467,80.72737567,80.51948873,81.04425004,81.46197788,81.86110597,81.90775571,81.74404236,81.74756086,81.76138772,81.89959998,82.40019144,82.68723864
Blackburn with Darwen,E06000008,77.69614297,78.2919952,78.55330577,79.31594004,79.3897817,79.65153197,79.58747964,79.87851988,80.38899966,80.81080055,81.17279604,81.11382706,80.79838338,80.56706851,80.11980659,80.34663506
Blackpool,E06000009,78.40886501,78.40154608,78.82933107,78.80252748,79.09018832,78.867263,79.49234463,79.47145925,79.85504991,79.90912539,80.09423909,79.93651847,79.46112735,79.47455293,79.55913093,79.51779092
"Kingston upon Hull, City of",E06000010,79.41847801,79.09561996,78.96875694,78.96259886,79.03769083,79.40890691,79.86504748,80.10437267,80.24742543,80.38383631,80.62236827,80.46756697,80.20953767,80.11123563,79.93618738,80.15736657
East Riding of Yorkshire,E06000011,81.11348546,81.14732262,81.1620247,81.71297322,81.87655802,82.22489586,82.29828729,82.66431718,82.84396938,82.87666938,82.94963192,83.19904488,83.31319214,83.50839458,83.56286802,83.77775771
North East Lincolnshire,E06000012,80.4386166,80.48657987,80.78941804,80.7697371,80.687911,80.72581607,81.14756108,81.54913532,81.63916402,81.79229919,81.62955097,82.06810416,82.24386526,82.56406601,82.17296346,82.16561839
North Lincolnshire,E06000013,80.72641314,81.0598498,81.02213378,80.84242235,80.96179766,80.8801555,81.20122978,81.78801916,82.01396542,82.55776086,82.39434578,82.66827309,82.4707494,82.5944829,82.5759212,82.44936953
York,E06000014,81.81754136,82.03706603,82.60898193,82.98129182,83.17316046,82.93892526,82.90461937,82.71234367,82.92602332,83.04545599,83.36904949,83.38710124,83.42848796,83.45819503,83.48834729,83.35652144
Derby,E06000015,80.25160417,80.60367774,81.28388971,81.56516936,81.61786947,81.19997452,81.14580146,81.44583832,82.15401882,82.53414249,82.45089138,82.51301327,82.65148544,82.70381854,82.66543329,82.28488317
Leicester,E06000016,79.08320532,79.12724965,79.33183838,79.6837263,80.14541125,80.18785103,80.27279656,80.44365563,81.09600537,81.65131612,81.71765392,81.68920969,81.61164062,81.66495041,81.85400351,81.93216208
Rutland,E06000017,83.54061419,83.96197977,83.70224623,83.9186488,84.54170789,84.39915382,83.7336355,83.08146894,83.72402702,84.68528679,85.57237299,85.67140511,85.20431322,85.45952397,85.79171124,85.88074513
Nottingham,E06000018,78.50705046,78.97612744,79.31030578,79.8369045,80.19696043,80.17575476,80.43395704,80.80846026,81.38141376,81.28872339,81.50921168,81.39451527,81.37959076,81.11499383,81.07585758,81.30729185
"Herefordshire, County of",E06000019,82.40000155,82.43754924,82.23890395,82.56957833,82.72909149,83.00227261,82.82517796,83.01933244,83.29471408,83.52646643,83.77056291,84.0691027,83.88507477,83.61544435,83.63425587,83.68035392
Telford and Wrekin,E06000020,79.7248798,80.11612197,80.63834115,80.57868494,81.07866693,81.01595961,81.65232972,81.66821733,81.92459547,81.56439819,81.49946105,81.825795,81.99322544,82.37763027,81.88923073,81.92724414
Stoke-on-Trent,E06000021,78.85649488,78.64020515,79.06058681,79.42985131,79.77044748,79.53882296,79.62958899,79.88583084,80.31305279,80.37365599,80.44276706,80.8469765,80.95693821,81.14464769,80.77162057,80.27653982
Bath and North East Somerset,E06000022,83.01805504,82.78364606,82.78967204,82.90397277,83.04847047,83.3641249,83.54295561,83.79086362,84.10038827,84.27239174,84.35723333,84.62508527,84.35848877,84.52158171,84.48206913,85.00223085
"Bristol, City of",E06000023,80.46265519,80.62257859,80.82199511,81.13966814,81.39626857,81.59328137,81.8307101,82.14012904,82.45014388,82.80899943,82.69905824,82.81101195,82.72347188,82.81352453,82.75487084,82.63796508
North Somerset,E06000024,81.5128937,82.0242598,82.24636909,82.6573376,82.68577053,82.97941172,83.3645927,83.41792219,83.43968075,83.38116802,83.4235257,83.7821959,83.45278351,83.56610914,83.58219038,84.02412428
South Gloucestershire,E06000025,81.96880405,82.24517233,82.76704951,83.49608264,83.43215161,83.39105074,83.6142648,83.99306999,84.38189373,84.43945322,84.33474077,84.60768662,84.66848266,84.97989667,84.62541613,84.46552106
Plymouth,E06000026,80.42066015,80.63451646,80.87933801,81.54533068,81.69392406,81.78463977,81.72358018,81.71961422,82.02766414,82.0804261,82.37036289,82.47240876,82.79130786,82.65318652,82.19408286,82.11929442
Torbay,E06000027,81.0170746,81.64574642,81.73145609,82.6906409,82.16878143,82.2267323,81.74977767,82.18122444,82.10824868,82.3856853,82.77749044,83.05666371,83.28652811,82.66518976,82.75084668,82.30863463
Swindon,E06000030,80.04525378,80.35879211,80.76219198,81.15997573,81.38994129,81.86255304,82.25674403,82.54499115,82.47926484,82.5419473,82.63328055,82.85441547,82.81883285,83.00915349,83.0097456,83.29716186
Peterborough,E06000031,79.6813916,80.33289422,80.39060154,80.7769362,80.72572096,81.17029992,81.61964634,82.06699326,82.4291324,82.33524876,82.44039402,82.33658327,82.40639163,82.24615639,82.410467,82.33669863
Luton,E06000032,79.28518802,79.76116949,79.95492463,80.07633897,80.39522432,80.52579224,80.72237134,81.07693647,81.78344423,81.98887016,82.24938999,82.1608592,82.25756565,82.15171031,82.25093117,82.4586379
Southend-on-Sea,E06000033,80.28000056,80.593338,80.8869749,80.95811529,81.56134804,81.77818078,82.29385517,82.0658153,82.3549568,82.49922544,82.87556082,83.13225331,83.0537221,82.9332141,82.35259212,82.122519
Thurrock,E06000034,80.6227727,80.60807878,80.92144345,81.20729691,81.14058024,81.26473006,81.41321037,81.75323897,82.03681586,82.27119246,82.55461749,82.50142703,82.64315786,82.30045211,82.28381291,82.47367772
Medway,E06000035,79.99119216,80.16323066,80.39708979,80.7805711,80.97666265,81.16979734,81.5053919,81.63987822,81.94118185,82.09230627,82.41590119,82.13698898,81.97599623,82.15679731,82.4531295,82.64001028
Bracknell Forest,E06000036,81.40312573,81.73695493,82.05444266,82.40715706,82.67013137,82.79782309,83.0693508,83.51681683,83.58216936,83.75671603,84.02711907,84.85746584,85.09467476,84.9574948,84.51121531,84.87170165
West Berkshire,E06000037,81.81406721,82.05391236,82.31384863,82.54844605,82.67896285,82.88704863,83.32214066,83.86034375,84.08976358,84.26969586,83.98502008,84.19072279,84.25838394,84.51586427,84.35896845,84.64277692
Reading,E06000038,80.93686691,81.0708477,81.08951528,81.52270418,81.61922528,81.78668122,82.17947374,82.37508393,82.77527171,82.6566187,82.91870481,82.88546274,83.20262944,83.1722179,83.19465097,83.13461936
Slough,E06000039,80.05783993,80.31303514,80.48423521,81.31652179,82.00807343,82.16114689,81.88848093,82.01597481,82.38600225,82.49269875,82.36598273,82.70522358,82.75837098,82.711292,82.45186817,82.40067011
Windsor and Maidenhead,E06000040,81.80621643,82.24196285,82.61982443,82.76257166,82.79526393,82.94195049,83.25148917,83.63283765,84.11393557,84.44805444,84.63089213,84.73567462,84.76288497,84.57750938,84.69326195,84.62689131
Wokingham,E06000041,82.50268792,82.65751966,83.10644777,83.31547559,83.4900095,83.59927591,83.95635165,84.05864611,84.25355913,84.44346599,84.63867725,84.6590418,84.85498907,85.11860151,85.61155022,85.78894219
