xcategory,amount,ycategory
Health and social care,7.5,Highest paid decile
Health and social care,9.3,9th
Health and social care,11.2,8th
Health and social care,10.9,7th
Health and social care,10.9,6th
Health and social care,9.8,5th
Health and social care,13.7,4th
Health and social care,14,3rd
Health and social care,12.5,2nd
Health and social care,8,Lowest paid decile
Education and childcare,3.3,Highest paid decile
Education and childcare,6.9,9th
Education and childcare,6.5,8th
Education and childcare,4.5,7th
Education and childcare,4.1,6th
Education and childcare,3.6,5th
Education and childcare,4.5,4th
Education and childcare,8,3rd
Education and childcare,6.8,2nd
Education and childcare,7.7,Lowest paid decile
Food and necessary goods,0.8,Highest paid decile
Food and necessary goods,0.7,9th
Food and necessary goods,1.2,8th
Food and necessary goods,1.7,7th
Food and necessary goods,2.4,6th
Food and necessary goods,3.6,5th
Food and necessary goods,6.2,4th
Food and necessary goods,8,3rd
Food and necessary goods,9.6,2nd
Food and necessary goods,8.6,Lowest paid decile
Utilities and communication,7.2,Highest paid decile
Utilities and communication,3.2,9th
Utilities and communication,3.2,8th
Utilities and communication,3.2,7th
Utilities and communication,2.8,6th
Utilities and communication,3.8,5th
Utilities and communication,2,4th
Utilities and communication,1.7,3rd
Utilities and communication,1.1,2nd
Utilities and communication,0.2,Lowest paid decile
Public safety and national security,0.7,Highest paid decile
Public safety and national security,4.8,9th
Public safety and national security,1.9,8th
Public safety and national security,2.1,7th
Public safety and national security,2,6th
Public safety and national security,1,5th
Public safety and national security,0.8,4th
Public safety and national security,0.5,3rd
Public safety and national security,0.3,2nd
Public safety and national security,0.4,Lowest paid decile
Transport,1.3,Highest paid decile
Transport,0.9,9th
Transport,1.7,8th
Transport,2.7,7th
Transport,2.2,6th
Transport,1.6,5th
Transport,1.2,4th
Transport,0.8,3rd
Transport,0.4,2nd
Transport,0.1,Lowest paid decile
Key public services,1.6,Highest paid decile
Key public services,1.3,9th
Key public services,1.3,8th
Key public services,1.5,7th
Key public services,1.9,6th
Key public services,1.5,5th
Key public services,1.3,4th
Key public services,0.8,3rd
Key public services,0.7,2nd
Key public services,0.4,Lowest paid decile
National and local government,0.8,Highest paid decile
National and local government,0.8,9th
National and local government,1.2,8th
National and local government,1.3,7th
National and local government,1,6th
National and local government,0.8,5th
National and local government,0.5,4th
National and local government,0.4,3rd
National and local government,0.3,2nd
National and local government,0.3,Lowest paid decile
Total key workers,23.2,Highest paid decile
Total key workers,27.9,9th
Total key workers,28.1,8th
Total key workers,27.8,7th
Total key workers,27.2,6th
Total key workers,25.8,5th
Total key workers,30.2,4th
Total key workers,34,3rd
Total key workers,31.6,2nd
Total key workers,25.8,Lowest paid decile
