id,parentId,name,size
c0,NULL,Total,350651
c1,c0,Food & live animals,15297
c1_1,c1,Live animals,554
c1_2,c1,Meat & meat preparations,1933
c1_3,c1,Dairy products & eggs,1950
c1_4,c1,Fish & shellfish,1862
c1_5,c1,Cereals,2228
c1_6,c1,Animal feeding stuffs,1220
c1_7,c1,Vegetables & fruit,1303
c1_8,c1,Sugar,468
c1_9,c1,"Coffee, tea, cocoa etc",1597
c1_10,c1,Miscellaneous foods,2182
c2,c0,Beverages & tobacco,8168
c2_1,c2,Beverages,8090
c2_2,c2,Tobacco,78
c3,c0,Crude materials,7676
c3_1,c3,Wood & cork,149
c3_2,c3,Pulp & waste paper,616
c3_3,c3,Textile fibres,704
c3_4,c3,Metal ores & scrap,4739
c3_5,c3,"Hides, skins & furskins",140
c3_6,c3,Oil-seeds & oleaginous fruits,81
c3_7,c3,Crude rubber,349
c3_8,c3,Crude minerals & fertilisers,539
c3_9,c3,Other crude animal & vegetable materials,359
c4,c0,Animal & vegetable oils & fats,560
c4_1,c4,Animal oils & fats,144
c4_2,c4,Vegetable oils & fats,318
c4_3,c4,Processed oils & fats,98
c5,c0,Fuels,37390
c5_1,c5,Crude oil,20201
c5_2,c5,Refined oil,14048
c5_3,c5,"Coal, coke & briquettes",141
c5_4,c5,Gas,2870
c5_5,c5,Electricity,130
c6,c0,Chemicals,57116
c6_1,c6,Organic chemicals,9135
c6_2,c6,Inorganic chemicals,1748
c6_3,c6,"Dyeing, tanning & colouring materials",2461
c6_4,c6,Medicinal & pharmaceutical products,24742
c6_5,c6,Toilet & cleansing preparations,6172
c6_6,c6,Plastics in primary forms,3767
c6_7,c6,Plastics in non-primary forms,3080
c6_8,c6,Processed fertilisers,238
c6_9,c6,Other chemicals,5773
c7,c0,Material manufactures,32947
c7_1,c7,Leather manufactures,279
c7_2,c7,Rubber manufactures,1888
c7_3,c7,Wood & cork manufactures,317
c7_4,c7,Paper & paperboard,2447
c7_5,c7,Textile fabrics,3036
c7_6,c7,Mineral manufactures,4261
c7_7,c7,Iron & steel,4833
c7_8,c7,Non-ferrous metals,9551
c7_9,c7,Miscellaneous metal manufactures,6335
c8,c0,Machinery & transport equipment,140202
c8_1,c8,Mechanical power generators (consumer),0
c8_2,c8,Specialised machinery (consumer),216
c8_3,c8,General industrial machinery (consumer),76
c8_4,c8,Mechanical power generators (intermediate),24678
c8_5,c8,Specialised machinery (intermediate),2097
c8_6,c8,Metal working machinery (intermediate),383
c8_7,c8,General industrial machinery (intermediate),6915
c8_8,c8,Mechanical power generators (capital),2387
c8_9,c8,Specialised machinery (capital),6769
c8_10,c8,Metal working machinery (capital),679
c8_11,c8,General industrial machinery (capital),8062
c8_12,c8,Office machinery (consumer),11
c8_13,c8,Telecoms & sound equipment (consumer),216
c8_14,c8,Miscellaneous electrical goods (consumer),833
c8_15,c8,Electric motors (intermediate),220
c8_16,c8,Office machinery (intermediate),1200
c8_17,c8,Telecoms & sound equipment (intermediate),795
c8_18,c8,Miscellaneous electrical goods (intermediate),9222
c8_19,c8,Electric motors (capital),1604
c8_20,c8,Office machinery (capital),4671
c8_21,c8,Telecoms & sound equipment (capital),6020
c8_22,c8,Miscellaneous electrical goods (capital),4326
c8_23,c8,Cars,33274
c8_24,c8,Road vehicles other than cars (consumer),455
c8_25,c8,Road vehicles other than cars (intermediate),5958
c8_26,c8,Road vehicles other than cars (capital),2279
c8_27,c8,Railway equipment (intermediate),243
c8_28,c8,Railway equipment (capital),8
c8_29,c8,Aircraft,15211
c8_30,c8,Ships,1394
c9,c0,Miscellaneous manufactures,48065
c9_1,c9,Clothing,6972
c9_2,c9,Footwear,1798
c9_3,c9,Scientific instruments (consumer),7
c9_4,c9,Photographic & optical goods & clocks (consumer),1774
c9_5,c9,Scientific instruments (intermediate),1614
c9_6,c9,Photographic & optical goods & clocks (intermediate),734
c9_7,c9,Scientific instruments (capital),9261
c9_8,c9,Photographic & optical goods & clocks (capital),19
c9_9,c9,Works of art,5807
c9_10,c9,Jewellery,3700
c9_11,c9,"Plumbing, heating & lighting fixtures (consumer)",37
c9_12,c9,Furniture (consumer),807
c9_13,c9,"Travel goods, handbags etc",785
c9_14,c9,Other manufactures (consumer),8912
c9_15,c9,"Plumbing, heating & lighting fixtures (intermediate)",745
c9_16,c9,Furniture (intermediate),1127
c9_17,c9,Other manufactures (intermediate),2744
c9_18,c9,"Plumbing, heating & lighting fixtures (capital)",223
c9_19,c9,Furniture (capital),449
c9_20,c9,Other manufactures (capital),550
c10,c0,Unspecified goods,3230
