name,Smokingprevalence,Obesity,PhysicallyActiveAdults,fiveaday,Alcoholrelatedadmissionsper100000,MaleHLE,FemaleHLE,name2
Barking and Dagenham,18.6,31.5,46,43.2,528.5,59.8,58.5,BarkingandDagenham
Barnet,14.4,17.6,59.5,56.7,488.4,68.5,69.1,Barnet
Barnsley,21.3,33.8,50.7,52.6,756.2,57,57.4,Barnsley
Bath and North East Somerset,13.7,19.2,69.5,59.1,538.7,65,66.7,BathandNorthEastSomerset
Bedford,17.1,23.1,59.8,52.9,537.4,65.6,62.5,Bedford
Bexley,14.1,25.9,53.9,49.4,468.6,66.1,64.2,Bexley
Birmingham,15.9,28.5,51.1,40.4,695,58.4,59.4,Birmingham
Blackburn with Darwen,21.3,27.7,48.7,45,797.4,58,60.3,BlackburnwithDarwen
Blackpool,25.3,30.2,47.9,44.9,1223.2,56.4,59,Blackpool
Bolton,18.5,25.2,55.2,44.6,693.1,62.4,59.8,Bolton
Bournemouth,18.8,21.8,52.9,60.5,745.7,62.6,65.7,Bournemouth
Bracknell Forest,16.7,22.5,63.8,55.8,459.3,68.4,69.3,BracknellForest
Bradford,20.9,26.2,55.9,49.4,796.4,62.9,60.5,Bradford
Brent,12.3,21,49.2,41.2,519.4,64.2,65.3,Brent
Brighton and Hove,20.9,17.8,68.4,60.8,613.2,62.4,61.3,BrightonandHove
"Bristol, City of",18.1,19.4,62.2,53.3,775.9,59.7,64.5,BristolCityof
Bromley,14.2,20.8,62.9,53.8,502.8,68.5,69.5,Bromley
Buckinghamshire,11,20.1,62.8,59.9,502.3,69.6,70.1,Buckinghamshire
Bury,19.4,23.7,57.6,50.6,596.2,60.6,62.1,Bury
Calderdale,18.7,25,56.5,52.4,596.2,63.4,65.7,Calderdale
Cambridgeshire,16.4,23.1,58.6,58.1,610.9,65.7,67.3,Cambridgeshire
Camden,16,15.2,64,52.5,572.1,63.7,65.1,Camden
Central Bedfordshire,16.7,25.2,66.9,49.5,523.3,64.7,63.1,CentralBedfordshire
Cheshire East,12.5,23.3,60.1,55.2,598.3,65.5,64.7,CheshireEast
Cheshire West and Chester,13.1,24,60.4,55.2,566.4,65.4,66.7,CheshireWestandChester
Cornwall,18.2,26.9,54.7,62.1,724,64.6,64.3,Cornwall
County Durham,19,28.1,57.3,53.4,745.9,58,57,CountyDurham
Coventry,16.6,23.1,58.8,46.3,766.7,62.9,63.8,Coventry
Croydon,17.9,20.9,60.6,51.1,455.2,63.1,63.8,Croydon
Cumbria,15.6,24.3,55.9,54.6,728.4,62.6,64.7,Cumbria
Darlington,17.9,25.6,56.5,51.3,708.5,61.8,61.3,Darlington
Derby,18.7,27.2,58.3,52.4,774.2,60.9,59.6,Derby
Derbyshire,17.9,27.2,55.6,53.3,705.3,63.5,63.8,Derbyshire
Devon,12.2,22,60.7,61.5,630.5,65.3,66.5,Devon
Doncaster,19.6,31.8,52.6,51.2,713.6,59.7,61,Doncaster
Dorset,15.2,23.1,58.2,59.7,514.5,68,65.2,Dorset
Dudley,18.5,26.5,46.5,46.1,792.5,60.7,62.7,Dudley
Ealing,15.2,22.7,54.7,47.4,559.1,64.1,61.1,Ealing
