code,industry,sector,size,rate,days
ag,agriculture forestry and fishing,private,<25,1.7,5.1
ag,agriculture forestry and fishing,private,25-49,0,-
ag,agriculture forestry and fishing,private,50-499,0,-
ag,agriculture forestry and fishing,private,500+,0,-
ag,agriculture forestry and fishing,public,<25,0,-
ag,agriculture forestry and fishing,public,25-49,-,-
ag,agriculture forestry and fishing,public,50-499,2.3,6.4
ag,agriculture forestry and fishing,public,500+,-,-
en,energy and water,private,<25,0.8,2.1
en,energy and water,private,25-49,3.6,10.3
en,energy and water,private,50-499,1.1,2.9
en,energy and water,private,500+,2.3,5.6
en,energy and water,public,<25,1.2,-
en,energy and water,public,25-49,0,-
en,energy and water,public,50-499,5.5,13.2
en,energy and water,public,500+,4.4,11.8
ma,manufacturing,private,<25,1.7,4.1
ma,manufacturing,private,25-49,2.1,5.4
ma,manufacturing,private,50-499,2,5.0
ma,manufacturing,private,500+,1.7,4.4
ma,manufacturing,public,<25,0,-
ma,manufacturing,public,25-49,-,-
ma,manufacturing,public,50-499,3.4,8.1
ma,manufacturing,public,500+,0.8,1.9
co,construction,private,<25,0.8,2.2
co,construction,private,25-49,1.9,5.2
co,construction,private,50-499,1.7,4.8
co,construction,private,500+,1.1,3.0
co,construction,public,<25,5.7,13.3
co,construction,public,25-49,2.7,7.3
co,construction,public,50-499,2.1,5.0
co,construction,public,500+,2,4.7
di,distribution hotels and restaurants,private,<25,1.4,2.7
di,distribution hotels and restaurants,private,25-49,1.5,3.2
di,distribution hotels and restaurants,private,50-499,2.2,4.5
di,distribution hotels and restaurants,private,500+,1.8,4.1
di,distribution hotels and restaurants,public,<25,2,2.8
di,distribution hotels and restaurants,public,25-49,0.6,1.0
di,distribution hotels and restaurants,public,50-499,0.3,0.6
di,distribution hotels and restaurants,public,500+,0,-
tr,transport and communication,private,<25,1.5,3.6
tr,transport and communication,private,25-49,2.7,6.9
tr,transport and communication,private,50-499,1.8,4.5
tr,transport and communication,private,500+,2.6,6.6
tr,transport and communication,public,<25,2.6,5.6
tr,transport and communication,public,25-49,0.3,0.6
tr,transport and communication,public,50-499,3.3,6.9
tr,transport and communication,public,500+,1.6,3.9
ba,banking and finance,private,<25,1.4,3.1
ba,banking and finance,private,25-49,1.2,2.8
ba,banking and finance,private,50-499,1.2,3.0
ba,banking and finance,private,500+,2,5.1
ba,banking and finance,public,<25,1.5,2.8
ba,banking and finance,public,25-49,2.6,5.5
ba,banking and finance,public,50-499,3.4,7.5
ba,banking and finance,public,500+,2,4.6
pu,public admin education and health,private,<25,2.3,4.5
pu,public admin education and health,private,25-49,3.2,6.4
pu,public admin education and health,private,50-499,2.1,4.4
pu,public admin education and health,private,500+,1.4,3.2
pu,public admin education and health,public,<25,2.4,4.5
pu,public admin education and health,public,25-49,2.3,4.5
pu,public admin education and health,public,50-499,2.7,5.6
pu,public admin education and health,public,500+,2.8,6.1
ot,other services,private,<25,1.5,3.1
ot,other services,private,25-49,1.6,3.2
ot,other services,private,50-499,1,2.2
ot,other services,private,500+,1.3,3.2
ot,other services,public,<25,1.4,2.5
ot,other services,public,25-49,0.3,0.6
ot,other services,public,50-499,0.8,1.6
ot,other services,public,500+,2.6,6.1
