Liability,Asset,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015
PC,PC,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,1,1,1,1,1,1,1,1,1,1,1,1,1
PC,PNFC,1,1,2,2,2,2,2,2,2,3,4,4,4,2,1,1,1,1,1
PC,MFI,0.0006,0.0006,0.0006,1,0.0006,9,1,1,1,1,1,1,1,1,1,1,0.0006,0.0006,0.0006
PC,OFI,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,1,2,12,6,8,11,21,21,21
PC,ICPF,1,1,1,0.0006,0.0006,0.0006,1,1,1,1,1,1,2,3,4,3,5,3,3
PC,CG,18,16,15,13,12,12,12,11,17,13,11,12,7,6,6,5,4,5,5
PC,LG,76,78,73,72,79,87,96,107,118,112,113,116,117,120,122,124,126,128,131
PC,RoW,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,4,4,6,9,1,1,1,1,1,1,1
PC,Unknown,0.0006,0.0006,3,3,3,4,5,5,5,5,5,4,4,4,4,0.0006,0.0006,0.0006,0.0006
PNFC,PNFC,44,49,66,64,53,40,46,50,57,61,64,42,55,63,59,60,70,69,71
PNFC,MFI,193,208,224,252,269,279,289,317,395,451,532,627,555,516,498,468,439,430,421
PNFC,OFI,29,27,28,29,32,34,34,34,40,45,53,56,61,60,75,66,48,55,63
PNFC,ICPF,229,354,230,339,385,546,505,533,502,442,488,584,505,501,764,759,677,1135,1059
PNFC,CG,5,5,6,7,9,9,7,7,7,8,6,6,6,8,11,8,11,12,11
PNFC,HH&NPISH,4,4,4,4,4,17,17,17,17,17,17,41,4,4,4,4,4,4,4
PNFC,RoW,252,323,373,428,503,498,490,511,642,739,770,958,864,914,923,1109,1098,1148,1136
PNFC,Unknown,1220,1375,1803,1819,1542,1234,1399,1483,1670,1764,1824,1280,1669,1852,1784,1855,2046,2015,2036
MFI,PC,3,5,5,6,8,7,6,6,6,7,6,4,4,4,5,3,4,4,4
MFI,PNFC,132,137,145,161,172,177,193,221,249,275,297,324,319,339,332,349,365,396,429
MFI,MFI,419,434,443,476,543,632,851,1205,1463,1778,1482,2686,2195,1951,2387,2429,2225,2023,1868
MFI,OFI,164,197,220,272,315,319,345,542,691,797,1122,2815,2129,2338,2587,2329,2054,1931,1425
MFI,ICPF,90,95,92,102,107,115,124,173,175,190,255,365,312,298,349,309,303,349,284
MFI,CG,2,2,2,21,10,5,7,7,7,11,14,45,48,37,47,62,29,27,25
MFI,LG,15,15,16,17,17,20,21,25,25,29,33,30,23,24,22,27,27,28,29
MFI,HH&NPISH,440,466,505,539,585,630,680,739,797,864,935,988,1009,1036,1064,1119,1166,1212,1256
MFI,RoW,1047,1115,1120,1402,1528,1604,1761,2728,3196,3455,4754,7749,5324,5456,6133,5556,4482,4778,4434
MFI,Unknown,169,192,183,177,182,189,287,330,394,419,509,605,668,709,761,744,648,679,672
OFI,PC,0.0006,0.0006,2,1,1,1,1,1,1,1,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
OFI,PNFC,20,18,25,29,31,27,26,26,30,48,50,82,69,127,94,74,61,58,62
OFI,MFI,214,207,240,294,322,349,413,633,746,850,1274,2855,1959,2053,2306,2126,1839,1687,1245
OFI,OFI,39,41,17,17,17,17,18,22,27,33,40,34,43,161,164,156,136,199,222
OFI,ICPF,97,124,148,156,138,118,154,177,263,310,359,322,424,547,574,668,713,738,759
OFI,CG,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,14,43,58,30,47,52,52,34
OFI,HH&NPISH,116,120,181,193,179,157,176,207,218,263,251,222,311,356,323,277,310,352,376
OFI,RoW,248,248,312,361,459,434,475,584,737,705,728,676,685,1590,1820,1796,2052,2164,1810
OFI,Unknown,264,296,395,475,500,451,522,630,775,930,1004,974,1225,1194,1127,1199,1208,1326,1326
ICPF,PNFC,11,12,11,15,13,13,16,16,17,16,13,13,11,7,5,4,4,4,4
ICPF,MFI,9,7,10,11,10,9,10,47,42,40,65,155,100,91,133,125,134,151,100
ICPF,OFI,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,5,9,9,8,12,11
ICPF,ICPF,5,8,5,8,8,12,11,10,9,7,8,9,8,8,13,10,8,12,13
