Liability,Asset,Y1,Y2,Y3
In Work Adult - Poverty,In Work Adult - Poverty,1.2,0,8
In Work Adult - Poverty,Out of Work Adult - Poverty,0.3,0,1.6
In Work Adult - Poverty,Child - Poverty,0,0,0
In Work Adult - Poverty,Retired - Poverty,0,0,0.2
In Work Adult - Poverty,In Work Adult - Not in Poverty,1.5,0,9.9
In Work Adult - Poverty,Out of Work Adult - Not in Poverty,0,0,0.3
In Work Adult - Poverty,Child - Not in Poverty,0,0,0.2
In Work Adult - Poverty,Retired - Not in Poverty,0.1,0,0.4
Out of Work Adult - Poverty,In Work Adult - Poverty,0.2,0,1.2
Out of Work Adult - Poverty,Out of Work Adult - Poverty,2.1,0,13.3
Out of Work Adult - Poverty,Child - Poverty,0,0,0
Out of Work Adult - Poverty,Retired - Poverty,0.1,0,0.6
Out of Work Adult - Poverty,In Work Adult - Not in Poverty,0.6,0,3.6
Out of Work Adult - Poverty,Out of Work Adult - Not in Poverty,1,0,6.2
Out of Work Adult - Poverty,Child - Not in Poverty,0,0,0.1
Out of Work Adult - Poverty,Retired - Not in Poverty,0.1,0,0.4
Child - Poverty,In Work Adult - Poverty,0.1,0,0.3
Child - Poverty,Out of Work Adult - Poverty,0,0,0
Child - Poverty,Child - Poverty,3,0,19.5
Child - Poverty,Retired - Poverty,0,0,0
Child - Poverty,In Work Adult - Not in Poverty,0.2,0,1.1
Child - Poverty,Out of Work Adult - Not in Poverty,0,0,0
Child - Poverty,Child - Not in Poverty,1.7,0,11.1
Child - Poverty,Retired - Not in Poverty,0,0,0
Retired - Poverty,In Work Adult - Poverty,0,0,0.1
Retired - Poverty,Out of Work Adult - Poverty,0.1,0,0.5
Retired - Poverty,Child - Poverty,0,0,0
Retired - Poverty,Retired - Poverty,1.9,0,12.3
Retired - Poverty,In Work Adult - Not in Poverty,0.1,0,0.5
Retired - Poverty,Out of Work Adult - Not in Poverty,0,0,0.2
Retired - Poverty,Child - Not in Poverty,0,0,0
Retired - Poverty,Retired - Not in Poverty,1.2,0,7.8
In Work Adult - Not in Poverty,In Work Adult - Poverty,2.3,2.7,0
In Work Adult - Not in Poverty,Out of Work Adult - Poverty,0.4,0.4,0
In Work Adult - Not in Poverty,Child - Poverty,0,0.1,0
In Work Adult - Not in Poverty,Retired - Poverty,0.2,0.2,0
In Work Adult - Not in Poverty,In Work Adult - Not in Poverty,36.6,43.2,0
In Work Adult - Not in Poverty,Out of Work Adult - Not in Poverty,1.1,1.3,0
In Work Adult - Not in Poverty,Child - Not in Poverty,0.2,0.3,0
In Work Adult - Not in Poverty,Retired - Not in Poverty,0.8,0.9,0
Out of Work Adult - Not in Poverty,In Work Adult - Poverty,0.1,0.1,0
Out of Work Adult - Not in Poverty,Out of Work Adult - Poverty,1.3,1.5,0
Out of Work Adult - Not in Poverty,Child - Poverty,0,0,0
Out of Work Adult - Not in Poverty,Retired - Poverty,0.1,0.1,0
Out of Work Adult - Not in Poverty,In Work Adult - Not in Poverty,1,1.2,0
Out of Work Adult - Not in Poverty,Out of Work Adult - Not in Poverty,3.6,4.3,0
Out of Work Adult - Not in Poverty,Child - Not in Poverty,0,0,0
Out of Work Adult - Not in Poverty,Retired - Not in Poverty,0.5,0.6,0
Child - Not in Poverty,In Work Adult - Poverty,0.1,0.1,0
Child - Not in Poverty,Out of Work Adult - Poverty,0,0,0
Child - Not in Poverty,Child - Poverty,2.6,3,0
Child - Not in Poverty,Retired - Poverty,0,0,0
Child - Not in Poverty,In Work Adult - Not in Poverty,0.9,1.1,0
Child - Not in Poverty,Out of Work Adult - Not in Poverty,0.1,0.1,0
Child - Not in Poverty,Child - Not in Poverty,16.8,19.9,0
Child - Not in Poverty,Retired - Not in Poverty,0,0,0
Retired - Not in Poverty,In Work Adult - Poverty,0,0,0
Retired - Not in Poverty,Out of Work Adult - Poverty,0.1,0.1,0
Retired - Not in Poverty,Child - Poverty,0,0,0
Retired - Not in Poverty,Retired - Poverty,1.6,1.9,0
Retired - Not in Poverty,In Work Adult - Not in Poverty,0.3,0.4,0
Retired - Not in Poverty,Out of Work Adult - Not in Poverty,0.4,0.5,0
Retired - Not in Poverty,Child - Not in Poverty,0,0,0
Retired - Not in Poverty,Retired - Not in Poverty,13.5,15.9,0
