"Figure 8. Non-EU long-term student immigration trends by data source, UK, year ending June 2008 to year ending June 2018 ",,,,,,,,,,,,,,,,,,,,,
"UK, 2008 to 2018 ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Units:,Thousands,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Year ending,Non-EU study,Non-EU Study  95% CI,Non-EU Study 60% CI,Non-EU Study 30% CI, Visas ,HESA,,,,,,,,,,,,,,,
Dec-08,126,16,7,3,154,,,,,,,,,,,,,,,,
,,,,,156,,,,,,,,,,,,,,,,
,126,15,6,3,154,,,,,,,,,,,,,,,,
Sep-09,,,,,184,134,,,,,,,,,,,,,,,
,155,13,6,3,214,,,,,,,,,,,,,,,,
,179,14,6,3,224,,,,,,,,,,,,,,,,
,178,13,6,3,227,,,,,,,,,,,,,,,,
Sep-10,190,13,6,3,216,146,,,,,,,,,,,,,,,
,181,13,6,3,196,,,,,,,,,,,,,,,,
,175,13,6,3,204,,,,,,,,,,,,,,,,
,183,13,6,3,210,,,,,,,,,,,,,,,,
Sep-11,196,15,6,3,199,144,,,,,,,,,,,,,,,
,180,14,6,3,184,,,,,,,,,,,,,,,,
,163,13,6,3,158,,,,,,,,,,,,,,,,
,148,13,6,3,147,,,,,,,,,,,,,,,,
Sep-12,143,13,6,3,144,144,,,,,,,,,,,,,,,
,139,13,6,3,142,,,,,,,,,,,,,,,,
,132,13,6,3,139,,,,,,,,,,,,,,,,
,132,13,6,3,134,,,,,,,,,,,,,,,,
Sep-13,123,14,6,3,141,153,,,,,,,,,,,,,,,
,122,13,6,3,141,,,,,,,,,,,,,,,,
,123,13,6,3,140,,,,,,,,,,,,,,,,
,120,13,6,3,141,,,,,,,,,,,,,,,,
Sep-14,132,15,6,3,145,150,,,,,,,,,,,,,,,
,134,17,7,3,143,,,,,,,,,,,,,,,,
,134,17,7,3,140,,,,,,,,,,,,,,,,
,131,16,7,3,140,,,,,,,,,,,,,,,,
Sep-15,118,14,6,3,139,148,,,,,,,,,,,,,,,
,112,13,6,3,137,,,,,,,,,,,,,,,,
,113,13,6,3,136,,,,,,,,,,,,,,,,
,113,14,6,3,137,,,,,,,,,,,,,,,,
Sep-16,120,:,:,:,141,147,,,,,,,,,,,,,,,
,125,:,:,:,141,,,,,,,,,,,,,,,,
,126,:,:,:,142,,,,,,,,,,,,,,,,
,126,:,:,:,144,,,,,,,,,,,,,,,,
Sep-17,133,16,7,3,153,,,,,,,,,,,,,,,,
,131,15,6,3,153,,,,,,,,,,,,,,,,
,130,15,6,3,153,,,,,,,,,,,,,,,,
,135,15,6,3,154,,,,,,,,,,,,,,,,
Sep-18,163,20,9,4,168,,,,,,,,,,,,,,,,
