AREANM,AREACD,time1998,time1999,time2000,time2001,time2002,time2003,time2004,time2005,time2006,time2007,time2008,time2009,time2010,time2011,time2012,time2013,time2014,time2015,time2016,time2017
Hartlepool,E06000001,75.6,81.2,57.4,61.8,56,68.3,63.6,76.9,64.1,64.5,62.6,53.9,52.2,37.7,36.3,33,28.9,35.9,34.9,33.2
Middlesbrough,E06000002,66.5,70.4,53.1,54.2,60.9,59.7,64.3,61.2,54.5,70.7,53.4,60.9,63.7,48.9,52.2,40.7,35.9,33.9,36.5,43.8
Redcar and Cleveland,E06000003,58.3,57.4,57,54.5,48.5,48.3,58.7,51.8,48.6,49,46.3,49.6,45.5,47,35.4,33.2,31,33.7,31.6,24.8
Stockton-on-Tees,E06000004,48.3,47,38.5,37.2,43.4,51.1,48.7,46.1,52,52.5,52.2,41.6,38.9,35.4,39.9,33.4,34.4,28.9,27.7,28.3
Darlington,E06000005,64,51.7,51.8,50.6,48.3,48.2,46.6,46.5,52.4,54.9,47.1,44,34.7,39.5,38.2,28.1,26.7,25.1,24.1,23.3
Halton,E06000006,47.1,55,53.3,46.5,42.9,48.2,43.1,54.5,47.8,68.2,50.3,54.9,58.5,41.5,40.4,33.2,31.5,36.6,26.2,34.9
Warrington,E06000007,48.8,48.1,45.1,42.4,46,39.9,40.2,43.1,39.5,30.8,31.3,40.5,32.7,32,24.8,24.6,22.7,20.3,16.9,18.9
Blackburn with Darwen,E06000008,58.2,57.1,54.8,46.2,52.1,43.7,53.3,48.4,42.7,45.7,43.3,39.8,40.9,28.7,33.1,23.9,20.4,25.3,20.3,17.6
Blackpool,E06000009,64.8,75.7,69.9,63,77.2,80.9,72,66.2,67.1,61.4,61.6,66.8,50.1,58.1,42.9,41.7,37.1,43.7,34.6,32.9
"Kingston upon Hull, City of",E06000010,84.6,71.4,73.2,70.9,66.6,70.7,82.3,73.5,69.3,68.1,66.8,64.5,56.2,50.4,39.3,35.9,39.3,38.5,30.6,32.7
East Riding of Yorkshire,E06000011,34.7,30,30.8,29.9,29.7,28.8,31.5,31.9,32.9,33.3,34.4,34.7,29.2,27.4,21.2,20.4,17.2,18.7,14.4,13.5
North East Lincolnshire,E06000012,69.8,78.2,63.6,63.7,61.7,65,65.7,66.1,64.2,63.3,57.5,59.2,60.2,41.1,41.5,43.3,40.8,37.6,33.1,33.2
North Lincolnshire,E06000013,53.9,56.2,44.7,46.6,47.4,46.6,49.5,46,47.3,54.6,41.1,43.3,45.6,37.7,36.1,29.5,24.4,18.7,18.8,20.1
York,E06000014,34,32.2,33.5,30.8,40.1,35.4,36,44,41,44.3,35.8,27.7,27,25.3,23.1,21.6,15.7,20.4,14.8,15.6
Derby,E06000015,63.8,53.6,48.1,46.4,53.3,53.3,55.3,55.1,46.7,55.9,50.6,48.7,40.2,41.4,33.5,29.3,26.1,26.9,26,22.3
Leicester,E06000016,64.6,59.1,58.3,47.1,52.5,56.6,48.4,52.4,56.6,44.4,41.7,41.3,38.6,30,32.8,29.6,25.3,26.2,24,23.5
Rutland,E06000017,16.9,21.7,27.5,14.5,20.3,10.9,12.4,16,17.9,25.8,17.9,18.3,7.6,9.4,18.8,9.1,9.7,5.7,4.7,6.1
Nottingham,E06000018,74.7,74.4,72.9,68.6,82.8,80.4,82.6,84.1,84.7,75,60.6,57.7,50.1,49.5,37.7,37.6,32.9,31.4,26.9,26.5
