"Figure 5: Long-term immigration trends by reason for migration, UK, year ending December 2008 to year ending December 2018",,,,,,,,,,,,
All citizenships,,,,,,,,,,,,
Units: thousands,,,,,,,,,,,,
Source: Office for National Statistics – Long-Term International Migration,,,,,,,,,,,,
Notes:,,,,,,,,,,,,
"1.              	""Other"" and ""No Reason Stated"" reason for migration groupings are not included in this chart.",,,,,,,,,,,,
"2.       Confidence intervals are not available for immigration and net migration estimates for the years ending September 2016, December 2016, March 2017 and June 2017 following revisions to the non-EU immigration for formal study. This does not mean the revised estimates are more certain.",,,,,,,,,,,,
Year ending,Work immigration,Work immigration 95% CI,Work immigration 60% CI,Work immigration 30% CI,Acc/join immigration,Acc/join immigration 95% CI,Acc/join immigration 60% CI,Acc/join immigration 30% CI,Study immigration,Study immigration 95% CI,Study immigration 60% CI,Study immigration 30% CI
YE Dec 08,220,25,10.71428571,4.974489796,88,15,6.428571429,2.984693878,175,21,9,4.178571429
YE Mar 09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
YE Jun 09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
YE Sep 09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
YE Dec 09,193,20,9,4,76,12,5,2,211,16,7,3
YE Mar 10,194,19,8,4,78,11,5,2,235,17,7,3
YE Jun 10,196,20,9,4,73,10,4,2,235,16,7,3
YE Sep 10,204,21,9,4,76,11,5,2,245,18,8,4
YE Dec 10,203,20,9,4,80,11,5,2,238,17,7,3
YE Mar 11,194,19,8,4,81,12,5,2,232,17,7,3
YE Jun 11,194,20,9,4,85,12,5,2,239,17,7,3
YE Sep 11,183,17,7,3,80,11,5,2,246,17,7,3
YE Dec 11,184,17,7,3,74,11,5,2,232,16,7,3
YE Mar 12,177,16,7,3,71,12,5,2,213,15,6,3
YE Jun 12,173,15,6,3,68,9,4,2,197,15,6,3
YE Sep 12,175,16,7,3,63,9,4,2,187,15,6,3
YE Dec 12,180,17,7,3,62,9,4,2,180,16,7,3
YE Mar 13,190,18,8,4,59,9,4,2,176,15,6,3
YE Jun 13,202,20,9,4,60,9,4,2,175,15,6,3
YE Sep 13,217,20,9,4,66,9,4,2,175,17,7,3
YE Dec 13,214,20,9,4,71,10,4,2,177,17,7,3
YE Mar 14,225,21,9,4,80,11,5,2,176,16,7,3
YE Jun 14,241,21,9,4,82,11,5,2,175,16,7,3
YE Sep 14,265,25,11,5,88,12,5,2,190,19,8,4
YE Dec 14,278,26,11,5,89,12,5,2,191,20,9,4
YE Mar 15,292,24,10,5,84,11,5,2,192,20,9,4
YE Jun 15,294,25,11,5,80,11,5,2,193,19,8,4
YE Sep 15,289,23,10,5,77,10,4,2,175,17,7,3
YE Dec 15,308,25,11,5,74,9,4,2,168,16,7,3
YE Mar 16,303,25,11,5,80,10,4,2,166,16,7,3
YE Jun 16,312,25,11,5,80,11,5,2,164,16,7,3
YE Sep 161,293,26,11,5,74,10,4,2,167,#N/A,#N/A,#N/A
YE Dec 161,275,24,10,5,85,12,5,2,169,#N/A,#N/A,#N/A
YE Mar 171,272,24,10,5,80,12,5,2,171,#N/A,#N/A,#N/A
YE Jun 171,258,24,10,5,79,12,5,2,172,#N/A,#N/A,#N/A
YE Sep 17,273,26,11,5,86,14,6,3,194,22,9,4
YE Dec 17,276,27,12,5,80,14,6,3,196,21,9,4
YE Mar 18p,261,27,12,5,77,16,7,3,191,21,9,4
YE Jun 18p,242,26,11,5,73,14,6,3,202,21,9,4
YE Sep 18p,231,27,12,5,60,13,6,3,217,24,10,5
YE Dec 18p,216,27,12,5,51,12,5,2,211,23,10,5
