name,value
Mainly rural,48.1275027
Largely rural,45.6965471
Urban with significant rural,44.5003645
Urban with city and town,36.8319145
Urban with minor conurbation,37.1716333
Urban with major conurbation,18.9509293
Mainly rural,-38.6692481
Largely rural,-38.4698516
Urban with significant rural,-39.5862528
Urban with city and town,-37.7370232
Urban with minor conurbation,-36.1323922
Urban with major conurbation,-24.9051877
Mainly rural,9.5
Largely rural,7.2
Urban with significant rural,4.9
Urban with city and town,-0.9
Urban with minor conurbation,1.0
Urban with major conurbation,-6.0
