"Figure 3: EU Long-Term International Migration, UK, year ending June 2009 to year ending March 2019",,,,,,,,,,,,,,,,,,,,,,,,,
Unit: Thousands,,,,,,,,,,,,,,,,,,,,,,,,,
: = Not available,,,,,,,,,,,,,,,,,,,,,,,,,
p = Year includes provisional estimates for 2018 and 2019,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Office for National Statistics – Long-Term International Migration (LTIM), LTIM with preliminary adjustments based on DWP and Home Office data",,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,
1.      Preliminary adjusted estimates are shown as dashed lines on the chart. ,,,,,,,,,,,,,,,,,,,,,,,,,
2.      Preliminary adjusted estimates for EU8 citizens have been produced for year ending June 2009 to year ending March 2016.,,,,,,,,,,,,,,,,,,,,,,,,,
"3.      Confidence intervals for the unadjusted estimates are not shown in the chart, but are available in the accompanying dataset. ",,,,,,,,,,,,,,,,,,,,,,,,,
"4.      Confidence intervals for the preliminary adjusted estimates are not yet available. This does not mean that the estimates are more certain. As we refine our methods, we will develop our approach for displaying uncertainty around estimates based on multiple data sources.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year ending,EU immigration3,EU emigration3,EU net migration3,EU immigration preliminary adjusted estimates1 2 4,EU net migration preliminary adjusted estimates1 2 4,,,,,,,,,,,,,,,,,,,,
YE Jun 09,183,121,62,239,118,,,,,,,,,,,,,,,,,,,,
YE Sep 09,:,:,:,:,:,,,,,,,,,,,,,,,,,,,,
YE Dec 09,167,109,58,202,93,,,,,,,,,,,,,,,,,,,,
YE Mar 10,172,115,58,207,92,,,,,,,,,,,,,,,,,,,,
YE Jun 10,176,104,72,211,107,,,,,,,,,,,,,,,,,,,,
YE Sep 10,182,101,81,217,116,,,,,,,,,,,,,,,,,,,,
YE Dec 10,176,99,77,211,112,,,,,,,,,,,,,,,,,,,,
YE Mar 11,169,92,77,216,124,,,,,,,,,,,,,,,,,,,,
YE Jun 11,175,95,79,222,127,,,,,,,,,,,,,,,,,,,,
YE Sep 11,166,91,75,213,122,,,,,,,,,,,,,,,,,,,,
YE Dec 11,174,92,82,218,126,,,,,,,,,,,,,,,,,,,,
YE Mar 12,166,90,76,206,116,,,,,,,,,,,,,,,,,,,,
YE Jun 12,158,86,72,198,112,,,,,,,,,,,,,,,,,,,,
YE Sep 12,149,84,65,189,105,,,,,,,,,,,,,,,,,,,,
YE Dec 12,158,75,82,188,113,,,,,,,,,,,,,,,,,,,,
YE Mar 13,170,75,95,198,123,,,,,,,,,,,,,,,,,,,,
YE Jun 13,183,77,106,211,134,,,,,,,,,,,,,,,,,,,,
YE Sep 13,208,78,130,236,158,,,,,,,,,,,,,,,,,,,,
YE Dec 13,201,78,123,229,151,,,,,,,,,,,,,,,,,,,,
YE Mar 14,213,83,130,243,160,,,,,,,,,,,,,,,,,,,,
YE Jun 14,223,85,138,253,168,,,,,,,,,,,,,,,,,,,,
YE Sep 14,246,87,158,276,189,,,,,,,,,,,,,,,,,,,,
YE Dec 14,264,89,174,294,205,,,,,,,,,,,,,,,,,,,,
YE Mar 15,270,86,184,305,219,,,,,,,,,,,,,,,,,,,,
YE Jun 15,265,85,180,300,215,,,,,,,,,,,,,,,,,,,,
YE Sep 15,256,85,171,291,206,,,,,,,,,,,,,,,,,,,,
YE Dec 15,269,86,184,304,218,,,,,,,,,,,,,,,,,,,,
YE Mar 16,267,89,178,296,207,,,,,,,,,,,,,,,,,,,,
YE Jun 16,284,95,189,:,:,,,,,,,,,,,,,,,,,,,,
YE Sep 16,267,102,165,:,:,,,,,,,,,,,,,,,,,,,,
YE Dec 16,249,116,133,:,:,,,,,,,,,,,,,,,,,,,,
YE Mar 17,245,121,123,:,:,,,,,,,,,,,,,,,,,,,,
YE Jun 17,226,123,103,:,:,,,,,,,,,,,,,,,,,,,,
YE Sep 17,248,142,106,:,:,,,,,,,,,,,,,,,,,,,,
YE Dec 17,243,144,99,:,:,,,,,,,,,,,,,,,,,,,,
YE Mar 18p,230,144,85,:,:,,,,,,,,,,,,,,,,,,,,
YE Jun 18p,220,146,74,:,:,,,,,,,,,,,,,,,,,,,,
YE Sep 18p,202,145,57,:,:,,,,,,,,,,,,,,,,,,,,
YE Dec 18p,202,127,75,:,:,,,,,,,,,,,,,,,,,,,,
YE Mar 19p,200,141,59,:,:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
