id,parentId,name,size,realsize,percent,level
World,NULL,World,112031.1169,112031.1169,null,0
Non_EU,World,Non-EU,20858.58585,20858.58585,null,1
EU,World,EU,10394.39112,10394.39112,null,1
British,World,British,76501.96242,76501.96242,null,1
Unknown,World,Unknown,4276.17753,4276.17753,null,1
Asia,Non_EU,Asia,14589.7979,14589.7979,null,2
Rest_of_the_World,Non_EU,Rest of the World,5928,5928,null,2
Other_Europe,Non_EU,Other Europe,340.74891,340.74891,null,2
EU15,EU,EU15,7532.63013,7532.63013,null,2
EU2,EU,EU2,942.5736,942.5736,null,2
OTHER_EU,EU,OTHER EU,483.30504,483.30504,null,2
EU8,EU,EU8,1435.88235,1435.88235,null,2
Middle_East_and_Central_Asia,Asia,Middle East and Central Asia,899.45674,899.45674,null,3
South_Asia,Asia,South Asia,11024.09861,11024.09861,null,3
South_East_Asia,Asia,South East Asia,2335.18552,2335.18552,null,3
East_Asia,Asia,East Asia,331.05703,331.05703,null,3
North_Africa,Rest_of_the_World,North Africa,1689.21318,1689.21318,null,3
North_America,Rest_of_the_World,North America,526.339,526.339,null,3
Sub_Saharan_Africa,Rest_of_the_World,Sub-Saharan Africa,2831.32033,2831.32033,null,3
Central_and_South_America,Rest_of_the_World,Central and South America,420.68235,420.68235,null,3
Oceania,Rest_of_the_World,Oceania,460.48418,460.48418,null,3
Albanian,Other_Europe,Albanian,13.7,13.7,null,3
Armenian,Other_Europe,Armenian,2,2,null,3
Azerbaijani,Other_Europe,Azerbaijani,6,6,null,3
Belarusian,Other_Europe,Belarusian,9.8,9.8,null,3
Bosnian,Other_Europe,Bosnian,4,4,null,3
Georgian,Other_Europe,Georgian,5,5,null,3
Icelandic,Other_Europe,Icelandic,10.75,10.75,null,3
Macedonian,Other_Europe,Macedonian,6.5,6.5,null,3
Moldovan,Other_Europe,Moldovan,2,2,null,3
Montenegrin,Other_Europe,Montenegrin,1,1,null,3
Norwegian,Other_Europe,Norwegian,40.99432,40.99432,null,3
Russian,Other_Europe,Russian,64.7725,64.7725,null,3
Serbian,Other_Europe,Serbian,19.85284,19.85284,null,3
Swiss,Other_Europe,Swiss,69.01675,69.01675,null,3
Turkish,Other_Europe,Turkish,52.85,52.85,null,3
Ukrainian,Other_Europe,Ukrainian,32.5125,32.5125,null,3
Austrian,EU15,Austrian,65.79144,65.79144,null,3
Belgian,EU15,Belgian,104.95273,104.95273,null,3
Danish,EU15,Danish,61.17747,61.17747,null,3
Dutch,EU15,Dutch,376.14862,376.14862,null,3
Faroese,EU15,Faroese,1,1,null,3
Finnish,EU15,Finnish,32.725,32.725,null,3
French,EU15,French,254.11484,254.11484,null,3
French_Guianese,EU15,French Guianese,0,0,null,3
French_Polynesian,EU15,French Polynesian,0,0,null,3
German,EU15,German,827.48916,827.48916,null,3
Greek,EU15,Greek,1669.5774,1669.5774,null,3
Guadeloupian,EU15,Guadeloupian,0,0,null,3
Irish,EU15,Irish,2106.9512,2106.9512,null,3
Italian,EU15,Italian,988.39804,988.39804,null,3
Luxembourg,EU15,Luxembourg,1,1,null,3
Mahoran,EU15,Mahoran,1,1,null,3
Martiniquais,EU15,Martiniquais,1,1,null,3
Portuguese,EU15,Portuguese,294.31407,294.31407,null,3
Reunionese,EU15,Reunionese,0,0,null,3
Spanish,EU15,Spanish,611.15986,611.15986,null,3
Swedish,EU15,Swedish,135.8303,135.8303,null,3
Bulgarian,EU2,Bulgarian,197.325,197.325,null,3
Romanian,EU2,Romanian,745.2486,745.2486,null,3
Croatian,OTHER_EU,Croatian,63.4758,63.4758,null,3
Cypriot,OTHER_EU,Cypriot,221.41784,221.41784,null,3
Maltese,OTHER_EU,Maltese,198.4114,198.4114,null,3
Czech,EU8,Czech,144.46618,144.46618,null,3
Estonian,EU8,Estonian,24.39375,24.39375,null,3
Hungarian,EU8,Hungarian,339.12235,339.12235,null,3
Latvian,EU8,Latvian,55.55,55.55,null,3
Lithuanian,EU8,Lithuanian,127.713,127.713,null,3
Polish,EU8,Polish,599.68207,599.68207,null,3
Slovak,EU8,Slovak,102.67875,102.67875,null,3
Slovenian,EU8,Slovenian,42.27625,42.27625,null,3
Afghan,Middle_East_and_Central_Asia,Afghan,24.45,24.45,null,4
Bahraini,Middle_East_and_Central_Asia,Bahraini,28,28,null,4
Emirati,Middle_East_and_Central_Asia,Emirati,4,4,null,4
Iranian,Middle_East_and_Central_Asia,Iranian,110.88136,110.88136,null,4
Iraqi,Middle_East_and_Central_Asia,Iraqi,279.88125,279.88125,null,4
Israeli,Middle_East_and_Central_Asia,Israeli,24.95,24.95,null,4
Jordanian,Middle_East_and_Central_Asia,Jordanian,151.4,151.4,null,4
Kazakhstani,Middle_East_and_Central_Asia,Kazakhstani,4,4,null,4
Kuwaiti,Middle_East_and_Central_Asia,Kuwaiti,15,15,null,4
Kyrgyzstani,Middle_East_and_Central_Asia,Kyrgyzstani,0,0,null,4
Lebanese,Middle_East_and_Central_Asia,Lebanese,41.4,41.4,null,4
Omani,Middle_East_and_Central_Asia,Omani,14,14,null,4
Palestinian,Middle_East_and_Central_Asia,Palestinian,22.7,22.7,null,4
Qatari,Middle_East_and_Central_Asia,Qatari,1,1,null,4
Saudi_Arabian,Middle_East_and_Central_Asia,Saudi Arabian,24.9375,24.9375,null,4
