date,Net migration,Emigration,Immigration
1964,-60000,271000,211000
1965,-78000,284000,206000
1966,-82000,302000,219000
1967,-84000,309000,225000
1968,-56000,278000,222000
1969,-87000,293000,206000
1970,-65000,291000,226000
1971,-40000,240000,200000
1972,-11000,233000,222000
1973,-50000,246000,196000
1974,-85000,269000,184000
1975,-41000,238000,197000
1976,-19000,210000,191000
1977,-46000,208000,162000
1978,-5000,192000,187000
1979,6000,189000,195000
1980,-55000,228000,173000
1981,-79000,232000,153000
1982,-56000,257000,201000
1983,17000,184000,202000
1984,37000,164000,201000
1985,58000,174000,232000
1986,37000,213000,250000
1987,2000,209000,211000
1988,-21000,237000,216000
1989,44000,205000,250000
1990,36000,231000,267000
1991,44000,285000,329000
1992,-13000,281000,268000
1993,-1000,266000,266000
1994,77000,238000,315000
1995,76000,236000,312000
1996,55000,264000,318000
1997,48000,279000,327000
1998,140000,251000,391000
1999,163000,291000,454000
2000,158000,321000,479000
2001,179000,309000,481000
2002,172000,363000,516000
2003,185000,363000,511000
2004,268000,344000,589000
2005,267000,361000,567000
2006,265000,398000,596000
2007,273000,341000,574000
2008,229000,427000,590000
2009,229000,368000,567000
2010,256000,339000,591000
2011,205000,351000,566000
2012,177000,321000,498000
2013,209000,317000,526000
2014,313000,319000,632000
2015,332000,299000,631000
2016,281000,340000,622000
2017,285000,360000,644000
