"Figure 3: non-EU Long-Term International Migration, UK, year ending December 2008 to year ending September 2018 ",,,,,,,,,,,,
"UK, 2008 to 2018",,,,,,,,,,,,
Units:,Thousands,,,,,,,,,,,
,Non-EU Net Migration ,Non-EU 95% CI,Non-EU 60% CI,Non-EU 30% CI,Non-EU Immigration,Non-EU 95% CI,Non-EU 60% CI,Non-EU 30% CI,Non-EU Emigration,Non-EU 95% CI,Non-EU 60% CI,Non-EU 30% CI
Dec-08,187,25,11,5,307,22,9,4,120,12,5,2
,174,23,10,5,292,20,9,4,118,11,5,2
,184,20,9,4,303,18,8,4,119,9,4,2
,199,20,9,4,318,18,8,4,119,9,4,2
,196,19,8,4,311,17,7,3,115,8,3,2
Sep-10,218,19,8,4,326,18,8,4,108,8,3,2
,217,19,8,4,322,17,7,3,104,8,3,2
,215,19,8,4,317,17,7,3,102,7,3,1
,222,20,9,4,327,18,8,4,104,9,4,2
Sep-11,228,21,9,4,334,19,8,4,106,10,4,2
,204,20,9,4,314,18,8,4,110,10,4,2
,185,21,9,4,296,18,8,4,112,10,4,2
,172,19,8,4,282,17,7,3,110,9,4,2
Sep-12,160,19,8,4,269,17,7,3,108,8,3,2
,157,19,8,4,260,17,7,3,103,8,3,2
,145,18,8,4,246,17,7,3,102,8,3,2
,139,18,8,4,242,16,7,3,103,8,3,2
Sep-13,138,19,8,4,242,17,7,3,104,8,3,2
,142,19,8,4,248,17,7,3,105,9,4,2
,156,20,9,4,260,18,8,4,104,8,3,2
,164,20,9,4,268,18,8,4,105,9,4,2
Sep-14,188,24,10,5,289,21,9,4,101,11,5,2
,194,25,11,5,287,22,9,4,93,10,4,2
,200,23,10,5,290,21,9,4,90,10,4,2
,202,22,9,4,288,20,9,4,86,10,4,2
Sep-15,192,20,9,4,275,19,8,4,84,8,3,2
,189,20,9,4,279,19,8,4,90,9,4,2
,193,21,9,4,288,19,8,4,95,9,4,2
,196,21,9,4,291,19,8,4,95,9,4,2
Sep-16,197,,,,292,,,,95,11,5,2
,208,,,,298,,,,90,10,4,2
,212,,,,299,,,,87,10,4,2
,204,,,,294,,,,90,10,4,2
Sep-17,222,26,11,5,314,24,10,5,91,10,4,2
,234,26,11,5,321,24,10,5,87,11,5,2
,235,27,12,5,319,24,10,5,84,11,5,2
,248,27,12,5,326,25,11,5,78,11,5,2
Sep-18,261,29,12,6,340,27,12,5,79,12,5,2
